img_id,img_path,img_rel_path,width,height,aspect_ratio,raw_abnormal_score,sha1,calibrated_abnormal_score,rank
00144755,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00144755.png,train/Normal/00144755.png,720,576,1.25,0.971142618,50749f4a2ec66701eb7febd7391f851bc9fec022,0.8271893827,1
00314262,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00314262.png,train/Normal/00314262.png,352,288,1.222222,0.9396736212,721bb8a65928cfb09b868d6b62566182d95b2a56,0.772552038,2
00509588,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00509588.png,train/Normal/00509588.png,480,576,0.833333,0.8040930629,b224b435ae30dffe7c92c5a0ee86238105ea2590,0.6522271117,3
00295908,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00295908.png,train/Normal/00295908.png,352,288,1.222222,0.7832642645,6087dca8a5cb453d2461eff564e34eeaee1a4ea6,0.639261318,4
00382971,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00382971.png,train/Normal/00382971.png,352,288,1.222222,0.7623239607,c6fa3e99d9d459fa706ed69945604d37e6a442d2,0.6269182799,5
00149792,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00149792.png,train/Normal/00149792.png,720,576,1.25,0.6864705086,a5c87ecfb6e0690b32a8e049837240ca28aaf42b,0.5863735431,6
00407075,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00407075.png,train/Normal/00407075.png,352,288,1.222222,0.646266371,b8a1e1fc69cec8da6d35ce7dff0fed492ded3568,0.5666970049,7
00449921,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00449921.png,train/Normal/00449921.png,352,288,1.222222,0.6449874341,18481caec169ba98c197da56727fab55eeb232b5,0.5660856321,8
00144495,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00144495.png,train/Normal/00144495.png,720,576,1.25,0.6249946356,2a28c3825af14d4d16d05fa8cda8800d935a094b,0.5566253137,9
00160652,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00160652.png,train/Normal/00160652.png,720,576,1.25,0.615763396,64e0832889e5920ebf66954529cf9fd48fd7e83e,0.5523130446,10
00269153,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00269153.png,train/Normal/00269153.png,352,288,1.222222,0.6112494767,eddd3b968db5c2227a576c7b1770a3eb33d1b5cd,0.5502158898,11
00299960,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00299960.png,train/Normal/00299960.png,352,288,1.222222,0.5990731716,913f87de9420ec10532f46230361e26b90f8f185,0.5445931291,12
00373636,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00373636.png,train/Normal/00373636.png,352,288,1.222222,0.5525323451,abe7cd4e34a5fe97fac636a6c9ee63f43c910f7c,0.5234637752,13
00354090,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00354090.png,train/Normal/00354090.png,352,288,1.222222,0.5485249758,9c6e1d510a2abee68a0232c69ea285ad038097a2,0.5216644131,14
00394189,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00394189.png,train/Normal/00394189.png,352,288,1.222222,0.5418279469,6745d8bdb4b9a26aff22a332f4aef1b37bbfd316,0.5186623124,15
00365492,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00365492.png,train/Normal/00365492.png,352,288,1.222222,0.5244372189,a49fd27755e305c4ad91ba57203c3cb722a225e6,0.5108896461,16
