evidence_id,title,authors,year,venue,primary_url,doi,topic,direction_id,screening_depth,reading_basis,sections_checked,method_family,measured_quantity,selection_unit,training_stage_dependency,distinguishes_beneficial_harmful,required_fields,stage1_testability,stage1_implication,method_summary,claim_boundary,evidence_relation,primary_source_verified,verified_at,abstract
OPENALEX_W2774918944,Active Learning for Convolutional Neural Networks: A Core-Set Approach,Ozan Şener; Silvio Savarese,2017,arXiv (Cornell University),https://doi.org/10.48550/arxiv.1708.00489,https://doi.org/10.48550/arxiv.1708.00489,ACTIVE_LEARNING,D6_DIVERSITY_COVERAGE,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,uncertainty and diversity acquisition,"uncertainty, coverage, or gradient embedding",batch of samples,YES,PARTIAL,model_uncertainty;sample_or_gradient_embedding;budget,ADAPTABLE_NOT_DIRECT,Use diversity after defining a tail-relevant candidate pool.,"As an active learning algorithm, we choose the subset which is expected to yield best result according to our characterization.",Label-acquisition value is not identical to replay value for already labeled samples.,CONTEXT,True,2026-08-07,"Convolutional neural networks (CNNs) have been successfully applied to many recognition and learning tasks using a universal recipe; training a deep model on a very large dataset of supervised examples. However, this approach is rather restrictive in practice since collecting a large set of labeled images is very expensive. One way to ease this problem is coming up with smart ways for choosing images to be labelled from a very large collection (ie. active learning). Our empirical study suggests that many of the active learning heuristics in the literature are not effective when applied to CNNs in batch setting. Inspired by these limitations, we define the problem of active learning as core-set selection, ie. choosing set of points such that a model learned over the selected subset is competitive for the remaining data points. We further present a theoretical result characterizing the performance of any selected subset using the geometry of the datapoints. As an active learning algorithm, we choose the subset which is expected to yield best result according to our characterization. Our experiments show that the proposed method significantly outperforms existing approaches in image classification experiments by a large margin."
OPENALEX_W2767623047,Deep Active Learning over the Long Tail,Yonatan Geifman; Ran El‐Yaniv,2017,arXiv (Cornell University),https://doi.org/10.48550/arxiv.1711.00941,https://doi.org/10.48550/arxiv.1711.00941,ACTIVE_LEARNING,D6_DIVERSITY_COVERAGE,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,uncertainty and diversity acquisition,"uncertainty, coverage, or gradient embedding",batch of samples,YES,PARTIAL,model_uncertainty;sample_or_gradient_embedding;budget,ADAPTABLE_NOT_DIRECT,Use diversity after defining a tail-relevant candidate pool.,"Motivated by coreset dataset compression ideas, we present a novel active learning algorithm that queries consecutive points from the pool using farthest-first traversals in the space of neural activation over a representation layer.",Label-acquisition value is not identical to replay value for already labeled samples.,CONTEXT,True,2026-08-07,"This paper is concerned with pool-based active learning for deep neural networks. Motivated by coreset dataset compression ideas, we present a novel active learning algorithm that queries consecutive points from the pool using farthest-first traversals in the space of neural activation over a representation layer. We show consistent and overwhelming improvement in sample complexity over passive learning (random sampling) for three datasets: MNIST, CIFAR-10, and CIFAR-100. In addition, our algorithm outperforms the traditional uncertainty sampling technique (obtained using softmax activations), and we identify cases where uncertainty sampling is only slightly better than random sampling."
OPENALEX_W2597787948,Deep Bayesian Active Learning with Image Data,"Ghahramani, Z; Gal, Y; Islam, R",2017,Oxford University Research Archive (ORA) (University of Oxford),https://doi.org/10.17863/cam.11070,https://doi.org/10.17863/cam.11070,ACTIVE_LEARNING,D6_DIVERSITY_COVERAGE,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,uncertainty and diversity acquisition,"uncertainty, coverage, or gradient embedding",batch of samples,YES,PARTIAL,model_uncertainty;sample_or_gradient_embedding;budget,ADAPTABLE_NOT_DIRECT,Use diversity after defining a tail-relevant candidate pool.,"First, active learning (AL) methods generally rely on being able to learn and update models from small amounts of data.",Label-acquisition value is not identical to replay value for already labeled samples.,CONTEXT,True,2026-08-07,"Even though active learning forms an important pillar of machine learning, deep learning tools are not prevalent within it. Deep learning poses several difficulties when used in an active learning setting. First, active learning (AL) methods generally rely on being able to learn and update models from small amounts of data. Recent advances in deep learning, on the other hand, are notorious for their dependence on large amounts of data. Second, many AL acquisition functions rely on model uncertainty, yet deep learning methods rarely represent such model uncertainty. In this paper we combine recent advances in Bayesian deep learning into the active learning framework in a practical way. We develop an active learning framework for high dimensional data, a task which has been extremely challenging so far, with very sparse existing literature. Taking advantage of specialised models such as Bayesian convolutional neural networks, we demonstrate our active learning techniques with image data, obtaining a significant improvement on existing active learning approaches. We demonstrate this on both the MNIST dataset, as well as for skin cancer diagnosis from lesion images (ISIC2016 task)."
OPENALEX_W2171332245,Active Learning with Multiple Views,Ion Muslea; Steven Minton; Craig A. Knoblock,2006,Journal of Artificial Intelligence Research,https://doi.org/10.1613/jair.2005,https://doi.org/10.1613/jair.2005,ACTIVE_LEARNING,D6_DIVERSITY_COVERAGE,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,uncertainty and diversity acquisition,"uncertainty, coverage, or gradient embedding",batch of samples,YES,PARTIAL,model_uncertainty;sample_or_gradient_embedding;budget,ADAPTABLE_NOT_DIRECT,Use diversity after defining a tail-relevant candidate pool.,"First, we introduce Co-Testing, which is the first approach to multi-view active learning.",Label-acquisition value is not identical to replay value for already labeled samples.,CONTEXT,True,2026-08-07,"Active learners alleviate the burden of labeling large amounts of data by detecting and asking the user to label only the most informative examples in the domain. We focus here on active learning for multi-view domains, in which there are several disjoint subsets of features (views), each of which is sufficient to learn the target concept. In this paper we make several contributions. First, we introduce Co-Testing, which is the first approach to multi-view active learning. Second, we extend the multi-view learning framework by also exploiting weak views, which are adequate only for learning a concept that is more general/specific than the target concept. Finally, we empirically show that Co-Testing outperforms existing active learners on a variety of real world domains such as wrapper induction, Web page classification, advertisement removal, and discourse tree parsing."
OPENALEX_W4393159663,Contributing Dimension Structure of Deep Feature for Coreset Selection,Zhijing Wan; Zhixiang Wang; Yuran Wang; Zheng Wang; Hongyuan Zhu; Shin’ichi Satoh,2024,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v38i8.28758,https://doi.org/10.1609/aaai.v38i8.28758,DATA_SUBSET_PRUNING,D6_DIVERSITY_COVERAGE,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,coreset and data pruning,"difficulty, coverage, redundancy, or gradient match",subset,METHOD_DEPENDENT,PARTIAL,sample_embedding;difficulty_or_gradient_signal;selection_budget,NEXT_CAMPAIGN_OR_OFFLINE_SELECTION,Evaluate value jointly with coverage and redundancy at the actual replay budget.,"Existing methods typically measure both the representation and diversity of data based on similarity metrics, such as L2-norm.",Subset-pruning accuracy results do not prove tail-safe replay under repeated exposure.,SUPPORTS,True,2026-08-07,"Coreset selection seeks to choose a subset of crucial training samples for efficient learning. It has gained traction in deep learning, particularly with the surge in training dataset sizes. Sample selection hinges on two main aspects: a sample's representation in enhancing performance and the role of sample diversity in averting overfitting. Existing methods typically measure both the representation and diversity of data based on similarity metrics, such as L2-norm. They have capably tackled representation via distribution matching guided by the similarities of features, gradients, or other information between data. However, the results of effectively diverse sample selection are mired in sub-optimality. This is because the similarity metrics usually simply aggregate dimension similarities without acknowledging disparities among the dimensions that significantly contribute to the final similarity. As a result, they fall short of adequately capturing diversity. To address this, we propose a feature-based diversity constraint, compelling the chosen subset to exhibit maximum diversity. Our key lies in the introduction of a novel Contributing Dimension Structure (CDS) metric. Different from similarity metrics that measure the overall similarity of high-dimensional features, our CDS metric considers not only the reduction of redundancy in feature dimensions, but also the difference between dimensions that contribute significantly to the final similarity. We reveal that existing methods tend to favor samples with similar CDS, leading to a reduced variety of CDS types within the coreset and subsequently hindering model performance. In response, we enhance the performance of five classical selection methods by integrating the CDS constraint. Our experiments on three datasets demonstrate the general effectiveness of the proposed method in boosting existing methods."
OPENALEX_W4393159567,Feature Distribution Matching by Optimal Transport for Effective and Robust Coreset Selection,Weiwei Xiao; Yongyong Chen; Qiben Shan; Yaowei Wang; Jingyong Su,2024,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v38i8.28771,https://doi.org/10.1609/aaai.v38i8.28771,DATA_SUBSET_PRUNING,D6_DIVERSITY_COVERAGE,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,coreset and data pruning,"difficulty, coverage, redundancy, or gradient match",subset,METHOD_DEPENDENT,PARTIAL,sample_embedding;difficulty_or_gradient_signal;selection_budget,NEXT_CAMPAIGN_OR_OFFLINE_SELECTION,Evaluate value jointly with coverage and redundancy at the actual replay budget.,Training neural networks with good generalization requires large computational costs in many deep learning methods due to large-scale datasets and over-parameterized models.,Subset-pruning accuracy results do not prove tail-safe replay under repeated exposure.,SUPPORTS,True,2026-08-07,"Training neural networks with good generalization requires large computational costs in many deep learning methods due to large-scale datasets and over-parameterized models. Despite the emergence of a number of coreset selection methods to reduce the computational costs, the problem of coreset distribution bias, i.e., the skewed distribution between the coreset and the entire dataset, has not been well studied. In this paper, we find that the closer the feature distribution of the coreset is to that of the entire dataset, the better the generalization performance of the coreset, particularly under extreme pruning. This motivates us to propose a simple yet effective method for coreset selection to alleviate the distribution bias between the coreset and the entire dataset, called feature distribution matching (FDMat). Unlike gradient-based methods, which selects samples with larger gradient values or approximates gradient values of the entire dataset, FDMat aims to select coreset that is closest to feature distribution of the entire dataset. Specifically, FDMat transfers coreset selection as an optimal transport problem from the coreset to the entire dataset in feature embedding spaces. Moreover, our method shows strong robustness due to the removal of samples far from the distribution, especially for the entire dataset containing noisy and class-imbalanced samples. Extensive experiments on multiple benchmarks show that FDMat can improve the performance of coreset selection than existing coreset methods. The code is available at https://github.com/successhaha/FDMat."
OPENALEX_W4402915941,Large-scale Dataset Pruning with Dynamic Uncertainty,Muyang He; Shuo Yang; Tiejun Huang; Bo Zhao,2024,nan,https://doi.org/10.1109/cvprw63382.2024.00767,https://doi.org/10.1109/cvprw63382.2024.00767,DATA_SUBSET_PRUNING,D6_DIVERSITY_COVERAGE,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,coreset and data pruning,"difficulty, coverage, redundancy, or gradient match",subset,METHOD_DEPENDENT,PARTIAL,sample_embedding;difficulty_or_gradient_signal;selection_budget,NEXT_CAMPAIGN_OR_OFFLINE_SELECTION,Evaluate value jointly with coverage and redundancy at the actual replay budget.,We propose a simple yet effective dataset pruning method by exploring both the prediction uncertainty and training dynamics.,Subset-pruning accuracy results do not prove tail-safe replay under repeated exposure.,SUPPORTS,True,2026-08-07,"The state of the art of many learning tasks, e.g., image classification, is advanced by collecting larger datasets and then training larger models on them. As the outcome, the increasing computational cost is becoming unaffordable. In this paper, we investigate how to prune the large-scale datasets, and thus produce an informative subset for training sophisticated deep models with negligible performance drop. We propose a simple yet effective dataset pruning method by exploring both the prediction uncertainty and training dynamics. We study dataset pruning by measuring the variation of predictions during the whole training process on large-scale datasets, i.e., ImageNet-1K and ImageNet-21K, and advanced models, i.e., Swin Transformer and ConvNeXt. Extensive experimental results indicate that our method outperforms the state of the art and achieves 25% lossless pruning ratio on both ImageNet1K and ImageNet-21K. The code and pruned datasets are available at https://github.com/BAAI-DCAI/Dataset-Pruning."
OPENALEX_W4385806592,Adversarial Coreset Selection for Efficient Robust Training,Hadi M. Dolatabadi; Sarah Erfani; Christopher Leckie,2023,International Journal of Computer Vision,https://doi.org/10.1007/s11263-023-01860-4,https://doi.org/10.1007/s11263-023-01860-4,DATA_SUBSET_PRUNING,D6_DIVERSITY_COVERAGE,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,coreset and data pruning,"difficulty, coverage, redundancy, or gradient match",subset,METHOD_DEPENDENT,PARTIAL,sample_embedding;difficulty_or_gradient_signal;selection_budget,NEXT_CAMPAIGN_OR_OFFLINE_SELECTION,Evaluate value jointly with coverage and redundancy at the actual replay budget.,"Unfortunately, this method is much slower than vanilla training of neural networks since it needs to construct adversarial examples for the entire training data at every iteration.",Subset-pruning accuracy results do not prove tail-safe replay under repeated exposure.,SUPPORTS,True,2026-08-07,"Abstract It has been shown that neural networks are vulnerable to adversarial attacks: adding well-crafted, imperceptible perturbations to their input can modify their output. Adversarial training is one of the most effective approaches to training robust models against such attacks. Unfortunately, this method is much slower than vanilla training of neural networks since it needs to construct adversarial examples for the entire training data at every iteration. By leveraging the theory of coreset selection, we show how selecting a small subset of training data provides a principled approach to reducing the time complexity of robust training. To this end, we first provide convergence guarantees for adversarial coreset selection. In particular, we show that the convergence bound is directly related to how well our coresets can approximate the gradient computed over the entire training data. Motivated by our theoretical analysis, we propose using this gradient approximation error as our adversarial coreset selection objective to reduce the training set size effectively. Once built, we run adversarial training over this subset of the training data. Unlike existing methods, our approach can be adapted to a wide variety of training objectives, including TRADES, $$\ell _p$$ <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""> <mml:msub> <mml:mi>ℓ</mml:mi> <mml:mi>p</mml:mi> </mml:msub> </mml:math> -PGD, and Perceptual Adversarial Training. We conduct extensive experiments to demonstrate that our approach speeds up adversarial training by 2–3 times while experiencing a slight degradation in the clean and robust accuracy."
OPENALEX_W4381329328,GoodCore: Data-effective and Data-efficient Machine Learning through Coreset Selection over Incomplete Data,Chengliang Chai; Jiabin Liu; Nan Tang; Ju Fan; Dongjing Miao; Jiayi Wang; Yuyu Luo; Guoliang Li,2023,Proceedings of the ACM on Management of Data,https://doi.org/10.1145/3589302,https://doi.org/10.1145/3589302,DATA_SUBSET_PRUNING,D6_DIVERSITY_COVERAGE,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,coreset and data pruning,"difficulty, coverage, redundancy, or gradient match",subset,METHOD_DEPENDENT,PARTIAL,sample_embedding;difficulty_or_gradient_signal;selection_budget,NEXT_CAMPAIGN_OR_OFFLINE_SELECTION,Evaluate value jointly with coverage and redundancy at the actual replay budget.,"The first-data-effective-then-data-efficient methods are too costly, because they are expensive to clean the whole data; while the first-data-efficient-then-data-effective methods have low model quality, because they cannot select high-quality coreset for incomplete data.",Subset-pruning accuracy results do not prove tail-safe replay under repeated exposure.,SUPPORTS,True,2026-08-07,"Given a dataset with incomplete data (e.g., missing values), training a machine learning model over the incomplete data requires two steps. First, it requires a data-effective step that cleans the data in order to improve the data quality (and the model quality on the cleaned data). Second, it requires a data-efficient step that selects a core subset of the data (called coreset) such that the trained models on the entire data and the coreset have similar model quality, in order to improve the training efficiency. The first-data-effective-then-data-efficient methods are too costly, because they are expensive to clean the whole data; while the first-data-efficient-then-data-effective methods have low model quality, because they cannot select high-quality coreset for incomplete data. In this paper, we investigate the problem of coreset selection over incomplete data for data-effective and data-efficient machine learning. The essential challenge is how to model the incomplete data for selecting high-quality coreset. To this end, we propose the GoodCore framework towards selecting a good coreset over incomplete data with low cost. To model the unknown complete data, we utilize the combinations of possible repairs as possible worlds of the incomplete data. Based on possible worlds, GoodCore selects an expected optimal coreset through gradient approximation without training ML models. We formally define the expected optimal coreset selection problem, prove its NP-hardness, and propose a greedy algorithm with an approximation ratio. To make GoodCore more efficient, we further propose optimization methods that incorporate human-in-the-loop imputation or automatic imputation method into our framework. Experimental results show the effectiveness and efficiency of our framework with low cost."
OPENALEX_W4323924513,Provable Data Subset Selection For Efficient Neural Network Training,Murad Tukan; Samson Zhou; Alaa Maalouf; Daniela Rus; Vladimir Braverman; Dan Feldman,2023,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2303.05151,https://doi.org/10.48550/arxiv.2303.05151,DATA_SUBSET_PRUNING,D6_DIVERSITY_COVERAGE,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,coreset and data pruning,"difficulty, coverage, redundancy, or gradient match",subset,METHOD_DEPENDENT,PARTIAL,sample_embedding;difficulty_or_gradient_signal;selection_budget,NEXT_CAMPAIGN_OR_OFFLINE_SELECTION,Evaluate value jointly with coverage and redundancy at the actual replay budget.,"In this paper, we introduce the first algorithm to construct coresets for \emph{RBFNNs}, i.e., small weighted subsets that approximate the loss of the input data on any radial basis function network and thus approximate any function defined by an \emph{RBFNN} on the larger input data.",Subset-pruning accuracy results do not prove tail-safe replay under repeated exposure.,SUPPORTS,True,2026-08-07,"Radial basis function neural networks (\emph{RBFNN}) are {well-known} for their capability to approximate any continuous function on a closed bounded set with arbitrary precision given enough hidden neurons. In this paper, we introduce the first algorithm to construct coresets for \emph{RBFNNs}, i.e., small weighted subsets that approximate the loss of the input data on any radial basis function network and thus approximate any function defined by an \emph{RBFNN} on the larger input data. In particular, we construct coresets for radial basis and Laplacian loss functions. We then use our coresets to obtain a provable data subset selection algorithm for training deep neural networks. Since our coresets approximate every function, they also approximate the gradient of each weight in a neural network, which is a particular function on the input. We then perform empirical evaluations on function approximation and dataset subset selection on popular network architectures and data sets, demonstrating the efficacy and accuracy of our coreset construction."
