evidence_id,title,screening_depth,reading_basis,sections_checked,method_summary,claim_boundary,stage1_implication,primary_url
OPENALEX_W2774918944,Active Learning for Convolutional Neural Networks: A Core-Set Approach,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"As an active learning algorithm, we choose the subset which is expected to yield best result according to our characterization.",Label-acquisition value is not identical to replay value for already labeled samples.,Use diversity after defining a tail-relevant candidate pool.,https://doi.org/10.48550/arxiv.1708.00489
OPENALEX_W2767623047,Deep Active Learning over the Long Tail,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"Motivated by coreset dataset compression ideas, we present a novel active learning algorithm that queries consecutive points from the pool using farthest-first traversals in the space of neural activation over a representation layer.",Label-acquisition value is not identical to replay value for already labeled samples.,Use diversity after defining a tail-relevant candidate pool.,https://doi.org/10.48550/arxiv.1711.00941
OPENALEX_W2597787948,Deep Bayesian Active Learning with Image Data,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"First, active learning (AL) methods generally rely on being able to learn and update models from small amounts of data.",Label-acquisition value is not identical to replay value for already labeled samples.,Use diversity after defining a tail-relevant candidate pool.,https://doi.org/10.17863/cam.11070
OPENALEX_W2171332245,Active Learning with Multiple Views,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"First, we introduce Co-Testing, which is the first approach to multi-view active learning.",Label-acquisition value is not identical to replay value for already labeled samples.,Use diversity after defining a tail-relevant candidate pool.,https://doi.org/10.1613/jair.2005
OPENALEX_W4393159663,Contributing Dimension Structure of Deep Feature for Coreset Selection,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"Existing methods typically measure both the representation and diversity of data based on similarity metrics, such as L2-norm.",Subset-pruning accuracy results do not prove tail-safe replay under repeated exposure.,Evaluate value jointly with coverage and redundancy at the actual replay budget.,https://doi.org/10.1609/aaai.v38i8.28758
OPENALEX_W4393159567,Feature Distribution Matching by Optimal Transport for Effective and Robust Coreset Selection,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,Training neural networks with good generalization requires large computational costs in many deep learning methods due to large-scale datasets and over-parameterized models.,Subset-pruning accuracy results do not prove tail-safe replay under repeated exposure.,Evaluate value jointly with coverage and redundancy at the actual replay budget.,https://doi.org/10.1609/aaai.v38i8.28771
OPENALEX_W4402915941,Large-scale Dataset Pruning with Dynamic Uncertainty,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,We propose a simple yet effective dataset pruning method by exploring both the prediction uncertainty and training dynamics.,Subset-pruning accuracy results do not prove tail-safe replay under repeated exposure.,Evaluate value jointly with coverage and redundancy at the actual replay budget.,https://doi.org/10.1109/cvprw63382.2024.00767
OPENALEX_W4385806592,Adversarial Coreset Selection for Efficient Robust Training,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"Unfortunately, this method is much slower than vanilla training of neural networks since it needs to construct adversarial examples for the entire training data at every iteration.",Subset-pruning accuracy results do not prove tail-safe replay under repeated exposure.,Evaluate value jointly with coverage and redundancy at the actual replay budget.,https://doi.org/10.1007/s11263-023-01860-4
OPENALEX_W4381329328,GoodCore: Data-effective and Data-efficient Machine Learning through Coreset Selection over Incomplete Data,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"The first-data-effective-then-data-efficient methods are too costly, because they are expensive to clean the whole data; while the first-data-efficient-then-data-effective methods have low model quality, because they cannot select high-quality coreset for incomplete data.",Subset-pruning accuracy results do not prove tail-safe replay under repeated exposure.,Evaluate value jointly with coverage and redundancy at the actual replay budget.,https://doi.org/10.1145/3589302
OPENALEX_W4323924513,Provable Data Subset Selection For Efficient Neural Network Training,METHOD_READ,PRIMARY_ABSTRACT_AND_METHOD_MECHANISM,ABSTRACT;METHOD_MECHANISM;EXPERIMENT_SCOPE,"In this paper, we introduce the first algorithm to construct coresets for \emph{RBFNNs}, i.e., small weighted subsets that approximate the loss of the input data on any radial basis function network and thus approximate any function defined by an \emph{RBFNN} on the larger input data.",Subset-pruning accuracy results do not prove tail-safe replay under repeated exposure.,Evaluate value jointly with coverage and redundancy at the actual replay budget.,https://doi.org/10.48550/arxiv.2303.05151
