machine_id,run_count,resumed_run_count,duration_complete_run_count,duration_missing_run_count,optimizer_steps_total,total_training_hours,mean_training_hours,mean_final_top1,mean_final_val_loss
machine_01,18,2,16,2,3427200,216.19496491710345,13.512185307318964,0.9449777777777776,0.2614605555555556
machine_02,18,1,17,1,3442800,241.8782683586412,14.228133432861249,0.9446611111111112,0.2609933333333333
machine_03,20,1,20,0,3826000,274.64104489001966,13.732052244500982,0.9451275,0.2602775
machine_04,19,2,17,2,3655400,233.36775730762216,13.72751513574248,0.9450636842105262,0.2599473684210526
machine_05,19,2,17,2,3630200,229.50662821551165,13.500389895030096,0.9451394736842106,0.2606799999999999
machine_06,18,2,16,2,3448800,242.946071124408,15.1841294452755,0.945125,0.2615155555555555
machine_07,21,1,20,1,4039800,266.2992795726988,13.31496397863494,0.944580476190476,0.2628066666666666
machine_08,20,1,20,0,3858400,272.76251209676263,13.638125604838132,0.944786,0.264548
machine_09,20,1,20,0,3847600,282.2892136557235,14.114460682786174,0.944864,0.2621975
machine_10,20,1,20,0,3833200,275.9523171294398,13.797615856471989,0.945008,0.262739
machine_11,11,1,10,1,2114200,206.75536512653036,20.675536512653032,0.94514,0.2615309090909091
machine_12,20,0,20,0,3844000,267.3682854911354,13.36841427455677,0.9449545,0.264853
tail_accel_62,16,0,16,0,3084800,267.26711508658195,16.704194692911372,0.944983125,0.26428
