condition_slot,control,analysis_set,n,mean_delta_FN,std_delta_FN,worst_delta_FN,FN_one_sided_95_upper,safety_noninferior,strict_safety_improvement,mean_delta_TN,std_delta_TN,worst_delta_TN,TN_one_sided_95_lower,confirmed_TN_improvement,FN_win_rate,TN_win_rate
A02,R1,all,8,5.875,5.409977554746151,11.0,9.49879063599136,False,False,-789.5,1002.4948877675138,-2064.0,-1461.005851948324,False,0.125,0.25
A02,R1,current_pair_no_resume,8,5.875,5.409977554746151,11.0,9.49879063599136,False,False,-789.5,1002.4948877675138,-2064.0,-1461.005851948324,False,0.125,0.25
A02,R1,full_triad_no_resume,8,5.875,5.409977554746151,11.0,9.49879063599136,False,False,-789.5,1002.4948877675138,-2064.0,-1461.005851948324,False,0.125,0.25
A02,R1,same_machine,3,2.0,7.0,7.0,13.80098122592934,False,False,-673.6666666666666,1083.4123560922376,-1800.0,-2500.1422201215764,False,0.3333333333333333,0.3333333333333333
A02,R1,cross_machine,5,8.2,2.949576240750525,11.0,11.012099047588116,False,False,-859.0,1075.0586030538057,-2064.0,-1883.951052962024,False,0.0,0.2
A02,R1,snapshot_pair:9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598__9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,7,5.571428571428571,5.769377287516763,11.0,9.808765666971546,False,False,-625.1428571428571,959.3599304695168,-2064.0,-1329.7477423445516,False,0.1428571428571428,0.2857142857142857
A02,R1,snapshot_pair:9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598__F6EB65A7878DEFF112BC81661D2D227419F9D7B0CF31BCDDBED923AFF4DE3AC8,1,8.0,0.0,8.0,,False,False,-1940.0,0.0,-1940.0,,False,0.0,0.0
A02,R1,resume_pair_max:0,8,5.875,5.409977554746151,11.0,9.49879063599136,False,False,-789.5,1002.4948877675138,-2064.0,-1461.005851948324,False,0.125,0.25
A02,R2,all,8,5.0,9.841602656942763,19.0,11.59224686063421,False,False,-571.625,1434.2162556104092,-2620.0,-1532.3128003602842,False,0.375,0.5
A02,R2,current_pair_no_resume,8,5.0,9.841602656942763,19.0,11.59224686063421,False,False,-571.625,1434.2162556104092,-2620.0,-1532.3128003602842,False,0.375,0.5
A02,R2,full_triad_no_resume,8,5.0,9.841602656942763,19.0,11.59224686063421,False,False,-571.625,1434.2162556104092,-2620.0,-1532.3128003602842,False,0.375,0.5
A02,R2,same_machine,3,1.3333333333333333,12.096831541082704,15.0,21.726830748982884,False,False,-345.6666666666667,1973.0140225891284,-2620.0,-3671.881157962328,False,0.6666666666666666,0.6666666666666666
A02,R2,cross_machine,5,7.2,8.955445270895245,19.0,15.73803972553156,False,False,-707.2,1261.7637259011688,-2048.0,-1910.1540117888476,False,0.2,0.4
A02,R2,snapshot_pair:9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598__9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,7,4.142857142857143,10.302565561201597,19.0,11.709608467337272,False,False,-410.7142857142857,1469.0624804372928,-2620.0,-1489.671794264853,False,0.4285714285714285,0.5714285714285714
A02,R2,snapshot_pair:9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598__F6EB65A7878DEFF112BC81661D2D227419F9D7B0CF31BCDDBED923AFF4DE3AC8,1,11.0,0.0,11.0,,False,False,-1698.0,0.0,-1698.0,,False,0.0,0.0
A02,R2,resume_pair_max:0,8,5.0,9.841602656942763,19.0,11.59224686063421,False,False,-571.625,1434.2162556104092,-2620.0,-1532.3128003602842,False,0.375,0.5
