run_slot,triad_id,condition_slot,arm,budget,training_seed,unique_group_count,largest_group_share,group_entropy,normalized_group_entropy,fold_counts_json,fold_total_variation_from_uniform,primary_class_counts_json,mean_p_defect_mean,mean_p_defect_std,correct_rate_mean,correct_rate_std,std_p_defect_mean,std_p_defect_std
RUN_001,TRIAD_001,A01,T,600,1829910790,419,0.0133333333333333,5.915790980462107,0.9797809623492904,"{""00"": 47, ""01"": 43, ""02"": 48, ""03"": 62, ""04"": 70, ""05"": 77, ""06"": 66, ""07"": 63, ""08"": 74, ""09"": 50}",0.0866666666666666,"{""Normal"": 600}",0.4852863568923334,0.1301929765788857,0.4479333333333333,0.1546406443626283,0.2946146348658333,0.0354631295997086
RUN_002,TRIAD_001,A01,R1,600,1829910790,454,0.0083333333333333,6.026433949346004,0.9850176867532132,"{""00"": 55, ""01"": 53, ""02"": 65, ""03"": 42, ""04"": 68, ""05"": 51, ""06"": 55, ""07"": 79, ""08"": 73, ""09"": 59}",0.075,"{""Normal"": 600}",0.0675402149998333,0.1357063365345169,0.9605083333333334,0.1433397476762425,0.0456950647313333,0.0600650358168259
RUN_003,TRIAD_001,A01,R2,600,1829910790,412,0.0133333333333333,5.896226096120008,0.9792730826657564,"{""00"": 45, ""01"": 47, ""02"": 42, ""03"": 57, ""04"": 70, ""05"": 79, ""06"": 67, ""07"": 60, ""08"": 75, ""09"": 58}",0.0849999999999999,"{""Normal"": 600}",0.480317747488,0.1315511998252984,0.4542166666666666,0.1585377548794678,0.2911098351218333,0.0357587560320837
RUN_004,TRIAD_002,A01,T,600,1385197443,419,0.0133333333333333,5.915790980462107,0.9797809623492904,"{""00"": 47, ""01"": 43, ""02"": 48, ""03"": 62, ""04"": 70, ""05"": 77, ""06"": 66, ""07"": 63, ""08"": 74, ""09"": 50}",0.0866666666666666,"{""Normal"": 600}",0.4852863568923334,0.1301929765788857,0.4479333333333333,0.1546406443626283,0.2946146348658333,0.0354631295997086
RUN_005,TRIAD_002,A01,R1,600,1385197443,441,0.0083333333333333,5.99495916115948,0.984548362475246,"{""00"": 58, ""01"": 63, ""02"": 60, ""03"": 48, ""04"": 50, ""05"": 60, ""06"": 56, ""07"": 56, ""08"": 75, ""09"": 74}",0.0533333333333333,"{""Normal"": 600}",0.056927109374,0.1118568459626798,0.9773083333333332,0.1113143294035208,0.0414552174245,0.0513644266587603
RUN_006,TRIAD_002,A01,R2,600,1385197443,416,0.0133333333333333,5.908390049363253,0.979721175020712,"{""00"": 43, ""01"": 47, ""02"": 38, ""03"": 66, ""04"": 74, ""05"": 78, ""06"": 62, ""07"": 58, ""08"": 76, ""09"": 58}",0.0933333333333333,"{""Normal"": 600}",0.4803201869456666,0.132365458549748,0.4567083333333332,0.1594146791564552,0.2910194162515,0.0366342369598559
RUN_007,TRIAD_003,A01,T,600,1343723075,419,0.0133333333333333,5.915790980462107,0.9797809623492904,"{""00"": 47, ""01"": 43, ""02"": 48, ""03"": 62, ""04"": 70, ""05"": 77, ""06"": 66, ""07"": 63, ""08"": 74, ""09"": 50}",0.0866666666666666,"{""Normal"": 600}",0.4852863568923334,0.1301929765788857,0.4479333333333333,0.1546406443626283,0.2946146348658333,0.0354631295997086
RUN_008,TRIAD_003,A01,R1,600,1343723075,440,0.0066666666666666,6.000828171723585,0.985879787072008,"{""00"": 69, ""01"": 42, ""02"": 48, ""03"": 54, ""04"": 58, ""05"": 57, ""06"": 67, ""07"": 79, ""08"": 63, ""09"": 63}",0.0683333333333333,"{""Normal"": 600}",0.0679536568763333,0.1436096986598354,0.9586666666666668,0.1613217971082092,0.0425867276941666,0.053366575958661
RUN_009,TRIAD_003,A01,R2,600,1343723075,415,0.0133333333333333,5.912302659503677,0.9807613632419588,"{""00"": 51, ""01"": 46, ""02"": 44, ""03"": 61, ""04"": 64, ""05"": 79, ""06"": 66, ""07"": 53, ""08"": 75, ""09"": 61}",0.0766666666666666,"{""Normal"": 600}",0.4771258486011666,0.1319474348332794,0.460125,0.1594392027545295,0.2910806532975,0.0357818895254828
RUN_010,TRIAD_004,A02,T,3000,1829910790,959,0.007,6.642503981303449,0.9674642240688648,"{""00"": 263, ""01"": 223, ""02"": 226, ""03"": 377, ""04"": 317, ""05"": 334, ""06"": 300, ""07"": 319, ""08"": 358, ""09"": 283}",0.0683333333333333,"{""Normal"": 3000}",0.3568561374608333,0.1680454947889539,0.6822016666666667,0.2715938959744043,0.2170236403578,0.053373187542927
RUN_011,TRIAD_004,A02,R1,3000,1829910790,955,0.0046666666666666,6.661372525114873,0.9708033746357186,"{""00"": 285, ""01"": 305, ""02"": 294, ""03"": 304, ""04"": 323, ""05"": 305, ""06"": 307, ""07"": 315, ""08"": 294, ""09"": 268}",0.0196666666666666,"{""Normal"": 3000}",0.0572722899448333,0.1227086093949469,0.9714566666666666,0.1309068808564147,0.0384310296835666,0.049323073320681
RUN_012,TRIAD_004,A02,R2,3000,1829910790,962,0.0066666666666666,6.64515277759881,0.967409928356578,"{""00"": 259, ""01"": 228, ""02"": 250, ""03"": 376, ""04"": 318, ""05"": 322, ""06"": 292, ""07"": 315, ""08"": 365, ""09"": 275}",0.0653333333333333,"{""Normal"": 3000}",0.3474225458920667,0.1704860432190673,0.699665,0.2739901995357984,0.2116579729601333,0.0540105088238339
RUN_013,TRIAD_005,A02,T,3000,1385197443,959,0.007,6.642503981303449,0.9674642240688648,"{""00"": 263, ""01"": 223, ""02"": 226, ""03"": 377, ""04"": 317, ""05"": 334, ""06"": 300, ""07"": 319, ""08"": 358, ""09"": 283}",0.0683333333333333,"{""Normal"": 3000}",0.3568561374608333,0.1680454947889539,0.6822016666666667,0.2715938959744043,0.2170236403578,0.053373187542927
RUN_014,TRIAD_005,A02,R1,3000,1385197443,951,0.0036666666666666,6.678802374525029,0.9739392896040192,"{""00"": 306, ""01"": 306, ""02"": 309, ""03"": 313, ""04"": 271, ""05"": 297, ""06"": 304, ""07"": 298, ""08"": 301, ""09"": 295}",0.0129999999999999,"{""Normal"": 3000}",0.0591691796940666,0.1273798162504875,0.9693216666666667,0.139194821014369,0.0388494359427,0.0489686595798373
RUN_015,TRIAD_005,A02,R2,3000,1385197443,970,0.0073333333333333,6.651341219772947,0.9671448125287292,"{""00"": 268, ""01"": 226, ""02"": 242, ""03"": 379, ""04"": 318, ""05"": 314, ""06"": 293, ""07"": 313, ""08"": 368, ""09"": 279}",0.064,"{""Normal"": 3000}",0.3480688560538333,0.1701609950515791,0.6990766666666666,0.2737816601884713,0.2116531926275666,0.0541278052099852
RUN_016,TRIAD_006,A02,T,3000,1343723075,959,0.007,6.642503981303449,0.9674642240688648,"{""00"": 263, ""01"": 223, ""02"": 226, ""03"": 377, ""04"": 317, ""05"": 334, ""06"": 300, ""07"": 319, ""08"": 358, ""09"": 283}",0.0683333333333333,"{""Normal"": 3000}",0.3568561374608333,0.1680454947889539,0.6822016666666667,0.2715938959744043,0.2170236403578,0.053373187542927
RUN_017,TRIAD_006,A02,R1,3000,1343723075,936,0.0036666666666666,6.659896441310809,0.973439162754534,"{""00"": 321, ""01"": 301, ""02"": 308, ""03"": 294, ""04"": 324, ""05"": 279, ""06"": 287, ""07"": 284, ""08"": 294, ""09"": 308}",0.0206666666666666,"{""Normal"": 3000}",0.0597576003059666,0.1300594329969173,0.96727,0.143903603499009,0.0386600172190333,0.0484298468238865
RUN_018,TRIAD_006,A02,R2,3000,1343723075,966,0.0066666666666666,6.649375540743691,0.9674402794889194,"{""00"": 265, ""01"": 226, ""02"": 238, ""03"": 374, ""04"": 329, ""05"": 319, ""06"": 294, ""07"": 314, ""08"": 360, ""09"": 281}",0.0653333333333333,"{""Normal"": 3000}",0.3462369594268999,0.1697321581176601,0.7011333333333334,0.2730713866779568,0.2116823332028333,0.0540245432105697
RUN_019,TRIAD_007,A03,T,6000,1829910790,1083,0.0061666666666666,6.772456232538538,0.9692258583752952,"{""00"": 518, ""01"": 535, ""02"": 491, ""03"": 773, ""04"": 642, ""05"": 614, ""06"": 596, ""07"": 574, ""08"": 649, ""09"": 608}",0.0476666666666666,"{""Normal"": 6000}",0.2706871829228833,0.1829866065543771,0.8025225,0.2692798101611345,0.1692667350734666,0.0643311515075815
