triad_id,phase,budget,guard_ratio,control,scope,treatment_count,control_count,overlap_count,overlap_rate,jaccard,unique_to_treatment,unique_to_control,effective_unique_contrast,condition_id,condition_slot,effective_unique_contrast_rate
TRIAD_001,A,600,0.0,R2,all,600,600,552,0.92,0.8518518518518519,48,48,0.08,A01_GapCritical-Strict_B600,A01,0.08
TRIAD_002,A,600,0.0,R2,all,600,600,541,0.9016666666666666,0.8209408194233687,59,59,0.0983333333333333,A01_GapCritical-Strict_B600,A01,0.0983333333333333
TRIAD_003,A,600,0.0,R2,all,600,600,531,0.885,0.7937219730941704,69,69,0.115,A01_GapCritical-Strict_B600,A01,0.115
TRIAD_004,A,3000,0.0,R2,all,3000,3000,2753,0.9176666666666666,0.8478595626732368,247,247,0.0823333333333333,A02_GapCritical-Strict_B3000,A02,0.0823333333333333
TRIAD_005,A,3000,0.0,R2,all,3000,3000,2744,0.9146666666666666,0.8427518427518428,256,256,0.0853333333333333,A02_GapCritical-Strict_B3000,A02,0.0853333333333333
TRIAD_006,A,3000,0.0,R2,all,3000,3000,2759,0.9196666666666666,0.8512804689910521,241,241,0.0803333333333333,A02_GapCritical-Strict_B3000,A02,0.0803333333333333
TRIAD_007,A,6000,0.0,R2,all,6000,6000,5576,0.9293333333333332,0.8679950186799502,424,424,0.0706666666666666,A03_GapCritical-Strict_B6000,A03,0.0706666666666666
TRIAD_008,A,6000,0.0,R2,all,6000,6000,5578,0.9296666666666666,0.8685767673621925,422,422,0.0703333333333333,A03_GapCritical-Strict_B6000,A03,0.0703333333333333
TRIAD_009,A,6000,0.0,R2,all,6000,6000,5576,0.9293333333333332,0.8679950186799502,424,424,0.0706666666666666,A03_GapCritical-Strict_B6000,A03,0.0706666666666666
TRIAD_010,A,3000,0.0,R2,all,3000,3000,2761,0.9203333333333332,0.8524235875270145,239,239,0.0796666666666666,A04_GapCritical-Global_B3000,A04,0.0796666666666666
TRIAD_011,A,3000,0.0,R2,all,3000,3000,2777,0.9256666666666666,0.8616196090598821,223,223,0.0743333333333333,A04_GapCritical-Global_B3000,A04,0.0743333333333333
TRIAD_012,A,3000,0.0,R2,all,3000,3000,2756,0.9186666666666666,0.8495684340320592,244,244,0.0813333333333333,A04_GapCritical-Global_B3000,A04,0.0813333333333333
