triad_id,phase,budget,guard_ratio,control,scope,treatment_count,control_count,overlap_count,overlap_rate,jaccard,unique_to_treatment,unique_to_control,effective_unique_contrast,condition_id,condition_slot,effective_unique_contrast_rate
TRIAD_013,A,600,0.0,R2,all,600,600,556,0.9266666666666666,0.8633540372670807,44,44,0.0733333333333333,A05_Confidence-Clean_B600,A05,0.0733333333333333
TRIAD_014,A,600,0.0,R2,all,600,600,554,0.9233333333333332,0.8575851393188855,46,46,0.0766666666666666,A05_Confidence-Clean_B600,A05,0.0766666666666666
TRIAD_015,A,600,0.0,R2,all,600,600,561,0.935,0.8779342723004695,39,39,0.065,A05_Confidence-Clean_B600,A05,0.065
TRIAD_016,A,3000,0.0,R2,all,3000,3000,2905,0.9683333333333334,0.938610662358643,95,95,0.0316666666666666,A06_Confidence-Clean_B3000,A06,0.0316666666666666
TRIAD_017,A,3000,0.0,R2,all,3000,3000,2903,0.9676666666666668,0.9373587342589604,97,97,0.0323333333333333,A06_Confidence-Clean_B3000,A06,0.0323333333333333
TRIAD_018,A,3000,0.0,R2,all,3000,3000,2907,0.969,0.9398642095053348,93,93,0.031,A06_Confidence-Clean_B3000,A06,0.031
TRIAD_019,A,600,0.0,R2,all,600,600,64,0.1066666666666666,0.056338028169014,536,536,0.8933333333333333,A07_Boundary-0.5-Clean_B600,A07,0.8933333333333333
TRIAD_020,A,600,0.0,R2,all,600,600,87,0.145,0.0781671159029649,513,513,0.855,A07_Boundary-0.5-Clean_B600,A07,0.855
TRIAD_021,A,600,0.0,R2,all,600,600,92,0.1533333333333333,0.0830324909747292,508,508,0.8466666666666667,A07_Boundary-0.5-Clean_B600,A07,0.8466666666666667
TRIAD_022,A,3000,0.0,R2,all,3000,3000,2623,0.8743333333333333,0.7767249037607343,377,377,0.1256666666666666,A08_Boundary-0.5-Clean_B3000,A08,0.1256666666666666
TRIAD_023,A,3000,0.0,R2,all,3000,3000,2633,0.8776666666666667,0.782001782001782,367,367,0.1223333333333333,A08_Boundary-0.5-Clean_B3000,A08,0.1223333333333333
TRIAD_024,A,3000,0.0,R2,all,3000,3000,2640,0.88,0.7857142857142857,360,360,0.12,A08_Boundary-0.5-Clean_B3000,A08,0.12
TRIAD_025,A,600,0.0,R2,all,600,600,559,0.9316666666666666,0.8720748829953198,41,41,0.0683333333333333,A09_Persistent-0.5-Clean_B600,A09,0.0683333333333333
TRIAD_026,A,600,0.0,R2,all,600,600,566,0.9433333333333334,0.8927444794952681,34,34,0.0566666666666666,A09_Persistent-0.5-Clean_B600,A09,0.0566666666666666
TRIAD_027,A,600,0.0,R2,all,600,600,562,0.9366666666666666,0.8808777429467085,38,38,0.0633333333333333,A09_Persistent-0.5-Clean_B600,A09,0.0633333333333333
TRIAD_028,A,3000,0.0,R2,all,3000,3000,2907,0.969,0.9398642095053348,93,93,0.031,A10_Persistent-0.5-Clean_B3000,A10,0.031
TRIAD_029,A,3000,0.0,R2,all,3000,3000,2907,0.969,0.9398642095053348,93,93,0.031,A10_Persistent-0.5-Clean_B3000,A10,0.031
TRIAD_030,A,3000,0.0,R2,all,3000,3000,2907,0.969,0.9398642095053348,93,93,0.031,A10_Persistent-0.5-Clean_B3000,A10,0.031
TRIAD_031,A,600,0.0,R2,all,600,600,0,0.0,0.0,600,600,1.0,A11_EndpointTrend_B600,A11,1.0
TRIAD_032,A,600,0.0,R2,all,600,600,0,0.0,0.0,600,600,1.0,A11_EndpointTrend_B600,A11,1.0
TRIAD_033,A,600,0.0,R2,all,600,600,0,0.0,0.0,600,600,1.0,A11_EndpointTrend_B600,A11,1.0
TRIAD_034,A,3000,0.0,R2,all,3000,3000,0,0.0,0.0,3000,3000,1.0,A12_EndpointTrend_B3000,A12,1.0
TRIAD_035,A,3000,0.0,R2,all,3000,3000,0,0.0,0.0,3000,3000,1.0,A12_EndpointTrend_B3000,A12,1.0
TRIAD_036,A,3000,0.0,R2,all,3000,3000,0,0.0,0.0,3000,3000,1.0,A12_EndpointTrend_B3000,A12,1.0
TRIAD_037,A,3000,0.0,R2,all,3000,3000,0,0.0,0.0,3000,3000,1.0,A13_BottomGap-3000-stress-control_B3000,A13,1.0
TRIAD_038,A,3000,0.0,R2,all,3000,3000,0,0.0,0.0,3000,3000,1.0,A13_BottomGap-3000-stress-control_B3000,A13,1.0
TRIAD_039,A,3000,0.0,R2,all,3000,3000,0,0.0,0.0,3000,3000,1.0,A13_BottomGap-3000-stress-control_B3000,A13,1.0
TRIAD_040,A,3000,0.0,R2,all,3000,3000,2751,0.917,0.8467220683287165,249,249,0.083,A14_FoldBalanced-Gap_B3000,A14,0.083
TRIAD_041,A,3000,0.0,R2,all,3000,3000,2738,0.9126666666666666,0.8393623543838136,262,262,0.0873333333333333,A14_FoldBalanced-Gap_B3000,A14,0.0873333333333333
TRIAD_042,A,3000,0.0,R2,all,3000,3000,2747,0.9156666666666666,0.8444512757454657,253,253,0.0843333333333333,A14_FoldBalanced-Gap_B3000,A14,0.0843333333333333
TRIAD_043,A,3000,0.0,R2,all,3000,3000,2828,0.9426666666666668,0.8915510718789408,172,172,0.0573333333333333,A15_GroupDiverse-Gap_B3000,A15,0.0573333333333333
TRIAD_044,A,3000,0.0,R2,all,3000,3000,2828,0.9426666666666668,0.8915510718789408,172,172,0.0573333333333333,A15_GroupDiverse-Gap_B3000,A15,0.0573333333333333
TRIAD_045,A,3000,0.0,R2,all,3000,3000,2830,0.9433333333333334,0.8927444794952681,170,170,0.0566666666666666,A15_GroupDiverse-Gap_B3000,A15,0.0566666666666666
TRIAD_046,A,3000,0.0,R2,all,3000,3000,2718,0.906,0.8281535648994516,282,282,0.094,A16_GapResidual-Strict_B3000,A16,0.094
TRIAD_047,A,3000,0.0,R2,all,3000,3000,2729,0.9096666666666666,0.8343014368694589,271,271,0.0903333333333333,A16_GapResidual-Strict_B3000,A16,0.0903333333333333
TRIAD_048,A,3000,0.0,R2,all,3000,3000,2728,0.9093333333333332,0.8337408312958435,272,272,0.0906666666666666,A16_GapResidual-Strict_B3000,A16,0.0906666666666666
TRIAD_049,A,3000,0.0,R2,all,3000,3000,2771,0.9236666666666666,0.8581604211830288,229,229,0.0763333333333333,A17_WindowEarlyLate40_B3000,A17,0.0763333333333333
TRIAD_050,A,3000,0.0,R2,all,3000,3000,2772,0.924,0.8587360594795539,228,228,0.076,A17_WindowEarlyLate40_B3000,A17,0.076
TRIAD_051,A,3000,0.0,R2,all,3000,3000,2787,0.929,0.8674136321195145,213,213,0.071,A17_WindowEarlyLate40_B3000,A17,0.071
TRIAD_052,A,6000,0.0,R2,all,6000,6000,5392,0.8986666666666666,0.8159806295399515,608,608,0.1013333333333333,A18_GapCritical-Global-B6000_B6000,A18,0.1013333333333333
TRIAD_053,A,6000,0.0,R2,all,6000,6000,5329,0.8881666666666667,0.7988307600059961,671,671,0.1118333333333333,A18_GapCritical-Global-B6000_B6000,A18,0.1118333333333333
TRIAD_054,A,6000,0.0,R2,all,6000,6000,5391,0.8985,0.8157058556513844,609,609,0.1015,A18_GapCritical-Global-B6000_B6000,A18,0.1015
TRIAD_055,A,3000,0.0,R2,all,3000,3000,2769,0.923,0.8570102135561746,231,231,0.077,A19_GapCritical-Strict-TimeMatched_B3000,A19,0.077
TRIAD_056,A,3000,0.0,R2,all,3000,3000,2791,0.9303333333333332,0.869741352446245,209,209,0.0696666666666666,A19_GapCritical-Strict-TimeMatched_B3000,A19,0.0696666666666666
TRIAD_057,A,3000,0.0,R2,all,3000,3000,2760,0.92,0.8518518518518519,240,240,0.08,A19_GapCritical-Strict-TimeMatched_B3000,A19,0.08
TRIAD_058,B,3000,0.1,R2,all,3000,3000,2984,0.9946666666666668,0.9893899204244032,16,16,0.0053333333333333,B01_LowConfidence-Defect_B3000,B01,0.0053333333333333
TRIAD_059,B,3000,0.1,R2,all,3000,3000,2987,0.9956666666666668,0.9913707268503154,13,13,0.0043333333333333,B01_LowConfidence-Defect_B3000,B01,0.0043333333333333
TRIAD_060,B,3000,0.1,R2,all,3000,3000,2986,0.9953333333333332,0.9907100199071002,14,14,0.0046666666666666,B01_LowConfidence-Defect_B3000,B01,0.0046666666666666
TRIAD_061,B,3000,0.1,R2,all,3000,3000,2975,0.9916666666666668,0.9834710743801652,25,25,0.0083333333333333,B02_Persistent-FN_B3000,B02,0.0083333333333333
TRIAD_062,B,3000,0.1,R2,all,3000,3000,2969,0.9896666666666668,0.9795447047179148,31,31,0.0103333333333333,B02_Persistent-FN_B3000,B02,0.0103333333333333
TRIAD_063,B,3000,0.1,R2,all,3000,3000,2974,0.9913333333333332,0.982815598149372,26,26,0.0086666666666666,B02_Persistent-FN_B3000,B02,0.0086666666666666
TRIAD_064,B,3000,0.05,R2,all,3000,3000,2989,0.9963333333333332,0.9926934573231484,11,11,0.0036666666666666,B03_GapGuard-Raw_B3000,B03,0.0036666666666666
TRIAD_065,B,3000,0.05,R2,all,3000,3000,2987,0.9956666666666668,0.9913707268503154,13,13,0.0043333333333333,B03_GapGuard-Raw_B3000,B03,0.0043333333333333
TRIAD_066,B,3000,0.05,R2,all,3000,3000,2989,0.9963333333333332,0.9926934573231484,11,11,0.0036666666666666,B03_GapGuard-Raw_B3000,B03,0.0036666666666666
TRIAD_067,B,3000,0.1,R2,all,3000,3000,2969,0.9896666666666668,0.9795447047179148,31,31,0.0103333333333333,B04_GapGuard-Raw_B3000,B04,0.0103333333333333
TRIAD_068,B,3000,0.1,R2,all,3000,3000,2976,0.992,0.984126984126984,24,24,0.008,B04_GapGuard-Raw_B3000,B04,0.008
TRIAD_069,B,3000,0.1,R2,all,3000,3000,2974,0.9913333333333332,0.982815598149372,26,26,0.0086666666666666,B04_GapGuard-Raw_B3000,B04,0.0086666666666666
TRIAD_070,B,3000,0.2,R2,all,3000,3000,2954,0.9846666666666668,0.9697964543663822,46,46,0.0153333333333333,B05_GapGuard-Raw_B3000,B05,0.0153333333333333
TRIAD_071,B,3000,0.2,R2,all,3000,3000,2957,0.9856666666666668,0.9717384160368058,43,43,0.0143333333333333,B05_GapGuard-Raw_B3000,B05,0.0143333333333333
TRIAD_072,B,3000,0.2,R2,all,3000,3000,2951,0.9836666666666668,0.9678583142013776,49,49,0.0163333333333333,B05_GapGuard-Raw_B3000,B05,0.0163333333333333
TRIAD_073,B,3000,0.1,R2,all,3000,3000,2975,0.9916666666666668,0.9834710743801652,25,25,0.0083333333333333,B06_GapGuard-ClassStrat_B3000,B06,0.0083333333333333
TRIAD_074,B,3000,0.1,R2,all,3000,3000,2976,0.992,0.984126984126984,24,24,0.008,B06_GapGuard-ClassStrat_B3000,B06,0.008
TRIAD_075,B,3000,0.1,R2,all,3000,3000,2977,0.9923333333333332,0.9847833278200464,23,23,0.0076666666666666,B06_GapGuard-ClassStrat_B3000,B06,0.0076666666666666
TRIAD_076,C,3000,0.0,R2,all,3000,3000,2746,0.9153333333333332,0.8438844499078058,254,254,0.0846666666666666,C_A02_GapCritical-Strict_B3000,A02,0.0846666666666666
TRIAD_077,C,3000,0.0,R2,all,3000,3000,2742,0.914,0.8416206261510129,258,258,0.086,C_A02_GapCritical-Strict_B3000,A02,0.086
TRIAD_078,C,3000,0.0,R2,all,3000,3000,2748,0.916,0.8450184501845018,252,252,0.084,C_A02_GapCritical-Strict_B3000,A02,0.084
TRIAD_079,C,3000,0.0,R2,all,3000,3000,2759,0.9196666666666666,0.8512804689910521,241,241,0.0803333333333333,C_A02_GapCritical-Strict_B3000,A02,0.0803333333333333
TRIAD_080,C,3000,0.0,R2,all,3000,3000,2748,0.916,0.8450184501845018,252,252,0.084,C_A02_GapCritical-Strict_B3000,A02,0.084
