run_slot,triad_id,phase,condition_slot,condition_id,method,budget,guard_ratio,arm,training_seed,selection_seed,discovery_or_confirmation,attempt_dir,attempt_id,package,machine_id,input_snapshot_id,release_ref,release_commit,selection_sha256,resume_count,resume_mode,TN_at_FN95,actual_FN_at_FN95,threshold_at_FN95,tie_group_at_FN95,FN_at_TN68253,actual_TN_at_TN68253,threshold_at_TN68253,tie_group_at_TN68253,normal_q68,normal_q90,defect_q50,defect_q05,gap_q68_q050,tail_gap_q90_q05,prediction_rows,normal_count,defect_count,metric_version
RUN_001,TRIAD_001,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,T,1829910790,1228591616,discovery,C:\baidunetdiskdownload\stage1_gapvalue240_all_uploads_extracted\stage1_gapvalue240_P35_upload\runs\RUN_001\attempt_20260712T115555_T_a9ca77035d,attempt_20260712T115555_T_a9ca77035d,P35,machine_01,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,stage1-gapvalue240-runtime-v1.2.0,73662c8d4fdcc1dc682308b65c7f021de645f41e,D3294DBA791B624D71A1F2730CA071A656709918262176417BDBC4B67BBB1776,0,native_approximate,66236,95,0.0267052748188605,1,107,68253,0.0302446528100815,1,0.0297958684210775,0.2232999470986362,0.9905022802414868,0.5073119058832322,0.9607064118204092,0.2840119587845959,120000,100000,20000,operational_v2_tie_safe
RUN_002,TRIAD_001,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,R1,1829910790,402136193,discovery,C:\baidunetdiskdownload\stage1_gapvalue240_all_uploads_extracted\stage1_gapvalue240_P35_upload\runs\RUN_002\attempt_20260713T024032_R1_b14edae899,attempt_20260713T024032_R1_b14edae899,P35,machine_01,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,stage1-gapvalue240-runtime-v1.2.0,73662c8d4fdcc1dc682308b65c7f021de645f41e,378D10064277231CB20584ACA6D449589EE9CEFEE7817861CC3C8A813BF337CD,0,native_approximate,66159,95,0.0266833310755103,1,110,68253,0.0305825670318435,1,0.030070995286758,0.2325121408041518,0.9904932478519068,0.490940755193845,0.9604222525651488,0.2584286143896932,120000,100000,20000,operational_v2_tie_safe
RUN_003,TRIAD_001,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,R2,1829910790,496611123,discovery,C:\baidunetdiskdownload\stage1_gapvalue240_all_uploads_extracted\stage1_gapvalue240_P35_upload\runs\RUN_003\attempt_20260713T163829_R2_8ddb6a6203,attempt_20260713T163829_R2_8ddb6a6203,P35,machine_01,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,stage1-gapvalue240-runtime-v1.2.0,73662c8d4fdcc1dc682308b65c7f021de645f41e,F0B0BB2FE22002B016583B80F4A9A56797009E32520EDE8F9CD5584C0302C9C8,0,native_approximate,66935,95,0.0279064722382609,1,102,68253,0.030361614924749,1,0.0298903908529359,0.2201964443294219,0.991070162561106,0.4954493206683578,0.96117977170817,0.2752528763389359,120000,100000,20000,operational_v2_tie_safe
RUN_004,TRIAD_002,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,T,1385197443,1344845072,discovery,C:\baidunetdiskdownload\stage1_gapvalue240_all_uploads_extracted\stage1_gapvalue240_P63_upload\runs\RUN_004\attempt_20260712T120408_T_a1ddbd27b2,attempt_20260712T120408_T_a1ddbd27b2,P63,machine_02,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,stage1-gapvalue240-runtime-v1.2.0,73662c8d4fdcc1dc682308b65c7f021de645f41e,EB0062DB8248BB5AFCBA301B0CCF5085554A56B8DADD2D6B56E5FBFB42546C12,0,native_approximate,69127,95,0.033201484817637,1,91,68253,0.0315163669165572,1,0.030988238341737,0.2160208801075784,0.9912449267352444,0.4869774234900729,0.9602566883935074,0.2709565433824945,120000,100000,20000,operational_v2_tie_safe
RUN_005,TRIAD_002,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,R1,1385197443,1367143950,discovery,C:\baidunetdiskdownload\stage1_gapvalue240_all_uploads_extracted\stage1_gapvalue240_P63_upload\runs\RUN_005\attempt_20260713T024312_R1_cb3c50f03b,attempt_20260713T024312_R1_cb3c50f03b,P63,machine_02,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,stage1-gapvalue240-runtime-v1.2.0,73662c8d4fdcc1dc682308b65c7f021de645f41e,97FC534990FA30D8813A6465A4F145438FE0D9E01CC814CB96F8CD454BA1E273,0,native_approximate,65320,95,0.0263835922094782,1,109,68253,0.0317562631662028,1,0.0311933732315429,0.2280854832081299,0.9904430062462845,0.4949302842869818,0.9592496330147414,0.2668448010788519,120000,100000,20000,operational_v2_tie_safe
RUN_006,TRIAD_002,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,R2,1385197443,1383653485,discovery,C:\baidunetdiskdownload\stage1_gapvalue240_all_uploads_extracted\stage1_gapvalue240_P63_upload\runs\RUN_006\attempt_20260713T172744_R2_3106b6d45a,attempt_20260713T172744_R2_3106b6d45a,P63,machine_02,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,stage1-gapvalue240-runtime-v1.2.0,73662c8d4fdcc1dc682308b65c7f021de645f41e,E36DD331CC0E9682A3A88A8A1366898407D5C6F4ACEEE481CBAD1798235A3EAC,0,native_approximate,65463,95,0.0270450369914113,1,113,68253,0.0317351124596426,1,0.0312801392867758,0.2225464453619483,0.9896871032114094,0.5070853586393975,0.9584069639246336,0.2845389132774492,120000,100000,20000,operational_v2_tie_safe
RUN_007,TRIAD_003,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,T,1343723075,1633096071,discovery,C:\baidunetdiskdownload\stage1_gapvalue240_all_uploads_extracted\stage1_gapvalue240_P24_upload\runs\RUN_007\attempt_20260712T121828_T_1cd2f197c3,attempt_20260712T121828_T_1cd2f197c3,P24,machine_03,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,stage1-gapvalue240-runtime-v1.2.0,73662c8d4fdcc1dc682308b65c7f021de645f41e,AA2EF0C9950666CED9DFD7871A0AE791B3608CA40B444B04D41E0C08A0ECF2CE,0,native_approximate,65550,95,0.0275297900311697,1,108,68253,0.0323222909139149,1,0.0318372468110798,0.2229919682480652,0.9909088278870388,0.4919766554404386,0.9590715810759592,0.2689846871923734,120000,100000,20000,operational_v2_tie_safe
RUN_008,TRIAD_003,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,R1,1343723075,1901889585,discovery,C:\baidunetdiskdownload\stage1_gapvalue240_all_uploads_extracted\stage1_gapvalue240_P24_upload\runs\RUN_008\attempt_20260713T025633_R1_cad8cd4900,attempt_20260713T025633_R1_cad8cd4900,P24,machine_03,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,stage1-gapvalue240-runtime-v1.2.0,73662c8d4fdcc1dc682308b65c7f021de645f41e,7E8FE5E9FB3F3D65548FEA1C4E66BD43D857CBD1C23686992BFB054BE51FAE59,0,native_approximate,67323,95,0.0300449634294021,1,103,68253,0.0319224687772704,1,0.0313741752850933,0.2313690639219899,0.9903080642661178,0.4948192495978389,0.9589338889810244,0.263450185675849,120000,100000,20000,operational_v2_tie_safe
RUN_009,TRIAD_003,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,R2,1343723075,1965280128,discovery,C:\baidunetdiskdownload\stage1_gapvalue240_all_uploads_extracted\stage1_gapvalue240_P24_upload\runs\RUN_009\attempt_20260713T170753_R2_09a7ee7403,attempt_20260713T170753_R2_09a7ee7403,P24,machine_03,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,stage1-gapvalue240-runtime-v1.2.0,73662c8d4fdcc1dc682308b65c7f021de645f41e,8A37F633FA749FA49B4A82B1F23240C72B0BE41CD40D3C2585BD2EF22A93F50A,0,native_approximate,65132,95,0.0276811929332262,1,110,68253,0.0332650126501344,1,0.0327631842156478,0.2219370331373733,0.9907229152904552,0.4858374649533497,0.9579597310748073,0.2639004318159763,120000,100000,20000,operational_v2_tie_safe
RUN_010,TRIAD_004,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,T,1829910790,213681350,discovery,C:\baidunetdiskdownload\stage1_gapvalue240_all_uploads_extracted\stage1_gapvalue240_P25_upload\runs\RUN_010\attempt_20260712T122529_T_6828c0fb93,attempt_20260712T122529_T_6828c0fb93,P25,machine_04,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,stage1-gapvalue240-runtime-v1.2.0,73662c8d4fdcc1dc682308b65c7f021de645f41e,DFDADC5D75B39A78E0C8995BD46F063C5D969BEA1024E4A332A051D00A172689,0,native_approximate,67594,95,0.0290344954455483,1,102,68253,0.0303070480763695,1,0.0298044647450417,0.2218134149342193,0.989872046791787,0.489603509414439,0.9600675820467452,0.2677900944802197,120000,100000,20000,operational_v2_tie_safe
RUN_011,TRIAD_004,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R1,1829910790,1871590197,discovery,C:\baidunetdiskdownload\stage1_gapvalue240_all_uploads_extracted\stage1_gapvalue240_P25_upload\runs\RUN_011\attempt_20260713T025644_R1_796a21ea3b,attempt_20260713T025644_R1_796a21ea3b,P25,machine_04,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,stage1-gapvalue240-runtime-v1.2.0,73662c8d4fdcc1dc682308b65c7f021de645f41e,5CE45613F59A3CEB100125F5631C93E79620030AFD9CED5F0CCF5F34F5E8106E,0,native_approximate,68176,95,0.0301795239664083,1,97,68253,0.0303112532157001,1,0.0297997884688262,0.2273198002700396,0.9898273719790702,0.5071591716241897,0.960027583510244,0.27983937135415,120000,100000,20000,operational_v2_tie_safe
RUN_012,TRIAD_004,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R2,1829910790,274805210,discovery,C:\baidunetdiskdownload\stage1_gapvalue240_all_uploads_extracted\stage1_gapvalue240_P25_upload\runs\RUN_012\attempt_20260713T172742_R2_d29d456fb7,attempt_20260713T172742_R2_d29d456fb7,P25,machine_04,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,stage1-gapvalue240-runtime-v1.2.0,73662c8d4fdcc1dc682308b65c7f021de645f41e,D0A28038162BABB9AE3013F95C009DFB1855CDA54BC658BB4943E9D9B07037A7,0,native_approximate,66918,95,0.0289504730311959,1,105,68253,0.0313269683789458,1,0.0308569308599751,0.224127625300464,0.9899312137854692,0.5046339411243131,0.959074282925494,0.2805063158238491,120000,100000,20000,operational_v2_tie_safe
RUN_013,TRIAD_005,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,T,1385197443,663082709,discovery,C:\baidunetdiskdownload\stage1_gapvalue240_all_uploads_extracted\stage1_gapvalue240_P14_upload\runs\RUN_013\attempt_20260712T124648_T_53f15153f5,attempt_20260712T124648_T_53f15153f5,P14,machine_05,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,stage1-gapvalue240-runtime-v1.2.0,73662c8d4fdcc1dc682308b65c7f021de645f41e,DC8D38D80A4404EA215786A92EC58F74123D533FE1E005377485BA0F880C97DC,0,native_approximate,66359,95,0.0287433429674216,1,107,68253,0.0320111635753817,1,0.0315819134801918,0.2145208853317102,0.9909973362729532,0.4708250525596208,0.9594154227927614,0.2563041672279106,120000,100000,20000,operational_v2_tie_safe
RUN_014,TRIAD_005,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R1,1385197443,587133428,discovery,C:\baidunetdiskdownload\stage1_gapvalue240_all_uploads_extracted\stage1_gapvalue240_P14_upload\runs\RUN_014\attempt_20260713T033037_R1_7386867fc7,attempt_20260713T033037_R1_7386867fc7,P14,machine_05,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,stage1-gapvalue240-runtime-v1.2.0,73662c8d4fdcc1dc682308b65c7f021de645f41e,C5F512CE17FF218B345F3C7EA3ABA254EAFD41BB15D062ED74CDE922BC981C1E,0,native_approximate,65998,95,0.0286637669446685,1,113,68253,0.0325236089609784,1,0.031985256275891,0.2213269925924737,0.9908960841436054,0.5044855155608375,0.9589108278677144,0.2831585229683637,120000,100000,20000,operational_v2_tie_safe
RUN_015,TRIAD_005,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R2,1385197443,1066367518,discovery,C:\baidunetdiskdownload\stage1_gapvalue240_all_uploads_extracted\stage1_gapvalue240_P14_upload\runs\RUN_015\attempt_20260713T181322_R2_a316c7ba8d,attempt_20260713T181322_R2_a316c7ba8d,P14,machine_05,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,stage1-gapvalue240-runtime-v1.2.0,73662c8d4fdcc1dc682308b65c7f021de645f41e,CECB4EC8183241E73ACE83D9A40CAFE398F2F1112A8761100B2B211311383534,0,native_approximate,65452,95,0.0260031451511997,1,115,68253,0.0305971830111239,1,0.0301323221519158,0.2128332096086568,0.9913499424790696,0.5015474034842595,0.961217620327154,0.2887141938756027,120000,100000,20000,operational_v2_tie_safe
RUN_016,TRIAD_006,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,T,1343723075,1331300276,discovery,C:\baidunetdiskdownload\stage1_gapvalue240_all_uploads_extracted\stage1_gapvalue240_P26_upload\runs\RUN_016\attempt_20260712T125452_T_389b831b8f,attempt_20260712T125452_T_389b831b8f,P26,machine_06,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,stage1-gapvalue240-runtime-v1.2.0,73662c8d4fdcc1dc682308b65c7f021de645f41e,DFE7F3DCBD3055DFA55795AA9F3A2987E445A716A12BB69DE07A32957593B362,0,native_approximate,65207,95,0.0255690478957405,1,112,68253,0.0306494039904206,1,0.0301871431397141,0.2151818935591489,0.9904797031711128,0.4834916912559018,0.9602925600313984,0.2683097976967529,120000,100000,20000,operational_v2_tie_safe
RUN_017,TRIAD_006,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R1,1343723075,672619350,discovery,C:\baidunetdiskdownload\stage1_gapvalue240_all_uploads_extracted\stage1_gapvalue240_P26_upload\runs\RUN_017\attempt_20260713T041333_R1_0a2e15565b,attempt_20260713T041333_R1_0a2e15565b,P26,machine_06,9C51D6B23600CBED36CFFA2537C7DC9C02A093536976ECA80D4968F18691E598,stage1-gapvalue240-runtime-v1.2.0,73662c8d4fdcc1dc682308b65c7f021de645f41e,7AF4CA72283BDBC4DE99FDDFA01B3EDFA92FDFD96FE95701FB4987331F296CCC,0,native_approximate,67007,95,0.0277441197404576,1,105,68253,0.0300857037708595,1,0.0295887863991492,0.2252671832708131,0.9899440953628308,0.5111793800831749,0.9603553089636816,0.2859121968123618,120000,100000,20000,operational_v2_tie_safe
