reading_rank,selection_role,paper_id,queue_id,title,source_action,artifact_role,url,destination,source_authority,resolution_reason,broad_source_path,broad_source_format,primary_url,full_text_url,doi,screened_credit
1,PRIMARY,P0342,RG8045FE4D3005F3AF,Self-paced Learning for Pedestrian Trajectory Prediction,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,NO_FULL_TEXT_URL_IN_DISCOVERY_METADATA,sources/P0342.html,HTML,https://doi.org/10.1109/icarm54641.2022.9959497,NOT_REPORTED_BY_SOURCE,10.1109/icarm54641.2022.9959497,NOT_ASSESSED_AT_BROAD_LEVEL
2,PRIMARY,P0392,RGF0703315B96EA08D,Cost-Sensitive Self-Paced Learning With Adaptive Regularization for Classification of Image Time Series,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,FULL_TEXT_FIELD_IS_LANDING_PAGE,sources/P0392.html,HTML,https://doi.org/10.1109/jstars.2021.3127754,https://doi.org/10.1109/jstars.2021.3127754,10.1109/jstars.2021.3127754,NOT_ASSESSED_AT_BROAD_LEVEL
3,PRIMARY,P0464,RGF42CC730BDD8DD9B,Partitioned Gradient Matching-based Data Subset Selection for Compute-Efficient Robust ASR Training,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0464.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0464.pdf,PDF,http://dx.doi.org/10.18653/v1/2022.findings-emnlp.443,https://aclanthology.org/2022.findings-emnlp.443.pdf,10.18653/v1/2022.findings-emnlp.443;10.48550/arxiv.2210.16892,NOT_ASSESSED_AT_BROAD_LEVEL
4,PRIMARY,P0130,RG7743F30ED832B3A4,Reducing annotation effort in agricultural data: simple and fast unsupervised coreset selection with DINOv2 and K-means,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0130.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0130.pdf,PDF,https://doi.org/10.3389/fpls.2025.1546756,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2025.1546756/pdf,10.3389/fpls.2025.1546756,NOT_ASSESSED_AT_BROAD_LEVEL
5,PRIMARY,P0358,RGEF071C3DA2137D03,QADYNAMICS: Training Dynamics-Driven Synthetic QA Diagnostic for Zero-Shot Commonsense Question Answering,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0358.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0358.pdf,PDF,http://dx.doi.org/10.18653/v1/2023.findings-emnlp.1023,https://aclanthology.org/2023.findings-emnlp.1023.pdf,10.18653/v1/2023.findings-emnlp.1023;10.48550/arxiv.2310.11303,NOT_ASSESSED_AT_BROAD_LEVEL
6,PRIMARY,P0330,RG4C05ABF685E44621,Coverage-centric Coreset Selection for High Pruning Rates,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0330.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0330.pdf,PDF,https://arxiv.org/abs/2210.15809,https://arxiv.org/pdf/2210.15809,NOT_REPORTED_BY_SOURCE,NOT_ASSESSED_AT_BROAD_LEVEL
7,PRIMARY,P0175,RG5F2B30F793B2BCFB,Towards High Supervised Learning Utility Training Data Generation: Data Pruning and Column Reordering,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0175.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0175.pdf,PDF,http://arxiv.org/abs/2507.10088,https://arxiv.org/pdf/2507.10088,10.48550/arxiv.2507.10088,NOT_ASSESSED_AT_BROAD_LEVEL
8,PRIMARY,P0407,RG5E66990BE6C44DBF,Attentive Experience Replay,DISCOVERY_REQUIRED,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:no verified direct PDF URL,NOT_APPLICABLE_WITH_REASON:full-text source must be discovered first,NOT_APPLICABLE_WITH_REASON:full-text source not selected,FULL_TEXT_FIELD_IS_LANDING_PAGE,sources/P0407.html,HTML,https://doi.org/10.1609/aaai.v34i04.6049,https://doi.org/10.1609/aaai.v34i04.6049,10.1609/aaai.v34i04.6049,NOT_ASSESSED_AT_BROAD_LEVEL
9,PRIMARY,P0360,RG97EB18B8A5831355,Self-Paced Curriculum Learning for Visual Question Answering on Remote Sensing Data,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0360.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0360.pdf,PDF,https://doi.org/10.1109/igarss47720.2021.9553624,NOT_REPORTED_BY_SOURCE,10.1109/igarss47720.2021.9553624,NOT_ASSESSED_AT_BROAD_LEVEL
10,PRIMARY,P0367,RG33781731D2127BDA,S-OHEM: Stratified Online Hard Example Mining for Object Detection,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0367.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0367.pdf,PDF,http://arxiv.org/abs/1705.02233,https://arxiv.org/pdf/1705.02233,10.48550/arxiv.1705.02233,NOT_ASSESSED_AT_BROAD_LEVEL
