row_id,img_id,split,gt_label,y_true,img_rel_path,img_path,pred_label,pred_index,correct,top1_prob,p_normal_raw,p_abnormal_raw,logit_abnormal,embedding_index,embedding_dim,probs_json
0,00000004,train,Abnormal,1,train/Abnormal/00000004.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000004.png,Abnormal,0,1,1.0,5.9605e-08,0.999999940395,13.815509557935,0,512,"{""Abnormal"": 1.0, ""Normal"": 5.960464477539063e-08}"
1,00000004_rcis1,train,Abnormal,1,train/Abnormal/00000004_rcis1.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000004_rcis1.png,Abnormal,0,1,1.0,5.9605e-08,0.999999940395,13.815509557935,1,512,"{""Abnormal"": 1.0, ""Normal"": 5.960464477539063e-08}"
2,00000043,train,Abnormal,1,train/Abnormal/00000043.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000043.png,Abnormal,0,1,0.99462890625,0.005588531494,0.994411468506,5.181434522867,2,512,"{""Abnormal"": 0.99462890625, ""Normal"": 0.005588531494140625}"
3,00000043_rcis1,train,Abnormal,1,train/Abnormal/00000043_rcis1.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000043_rcis1.png,Abnormal,0,1,0.99462890625,0.005588531494,0.994411468506,5.181434522867,3,512,"{""Abnormal"": 0.99462890625, ""Normal"": 0.005588531494140625}"
4,00000043_rcis2,train,Abnormal,1,train/Abnormal/00000043_rcis2.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000043_rcis2.png,Abnormal,0,1,0.99462890625,0.005588531494,0.994411468506,5.181434522867,4,512,"{""Abnormal"": 0.99462890625, ""Normal"": 0.005588531494140625}"
5,00000078,train,Abnormal,1,train/Abnormal/00000078.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000078.png,Abnormal,0,1,1.0,0.000235915184,0.999764084816,8.35180226426,5,512,"{""Abnormal"": 1.0, ""Normal"": 0.0002359151840209961}"
6,00000078_rcis1,train,Abnormal,1,train/Abnormal/00000078_rcis1.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000078_rcis1.png,Abnormal,0,1,1.0,0.000235915184,0.999764084816,8.35180226426,6,512,"{""Abnormal"": 1.0, ""Normal"": 0.0002359151840209961}"
7,00000078_rcis2,train,Abnormal,1,train/Abnormal/00000078_rcis2.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000078_rcis2.png,Abnormal,0,1,1.0,0.000235915184,0.999764084816,8.35180226426,7,512,"{""Abnormal"": 1.0, ""Normal"": 0.0002359151840209961}"
8,00000079,train,Abnormal,1,train/Abnormal/00000079.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000079.png,Abnormal,0,1,1.0,9.2089176e-05,0.999907910824,9.29266105069,8,512,"{""Abnormal"": 1.0, ""Normal"": 9.208917617797852e-05}"
9,00000079_rcis1,train,Abnormal,1,train/Abnormal/00000079_rcis1.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000079_rcis1.png,Abnormal,0,1,1.0,9.2089176e-05,0.999907910824,9.29266105069,9,512,"{""Abnormal"": 1.0, ""Normal"": 9.208917617797852e-05}"
10,00000079_rcis2,train,Abnormal,1,train/Abnormal/00000079_rcis2.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000079_rcis2.png,Abnormal,0,1,1.0,9.2089176e-05,0.999907910824,9.29266105069,10,512,"{""Abnormal"": 1.0, ""Normal"": 9.208917617797852e-05}"
11,00000079_rcis3,train,Abnormal,1,train/Abnormal/00000079_rcis3.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000079_rcis3.png,Abnormal,0,1,1.0,9.2089176e-05,0.999907910824,9.29266105069,11,512,"{""Abnormal"": 1.0, ""Normal"": 9.208917617797852e-05}"
12,00000082,train,Abnormal,1,train/Abnormal/00000082.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000082.png,Abnormal,0,1,0.9814453125,0.018768310547,0.981231689453,3.956638770103,12,512,"{""Abnormal"": 0.9814453125, ""Normal"": 0.018768310546875}"
13,00000082_rcis1,train,Abnormal,1,train/Abnormal/00000082_rcis1.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000082_rcis1.png,Abnormal,0,1,0.9814453125,0.018768310547,0.981231689453,3.956638770103,13,512,"{""Abnormal"": 0.9814453125, ""Normal"": 0.018768310546875}"
14,00000082_rcis2,train,Abnormal,1,train/Abnormal/00000082_rcis2.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000082_rcis2.png,Abnormal,0,1,0.9814453125,0.018768310547,0.981231689453,3.956638770103,14,512,"{""Abnormal"": 0.9814453125, ""Normal"": 0.018768310546875}"
15,00000085,train,Abnormal,1,train/Abnormal/00000085.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000085.png,Abnormal,0,1,0.86572265625,0.13427734375,0.86572265625,1.863657208408,15,512,"{""Abnormal"": 0.86572265625, ""Normal"": 0.13427734375}"
16,00000085_rcis1,train,Abnormal,1,train/Abnormal/00000085_rcis1.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000085_rcis1.png,Abnormal,0,1,0.86572265625,0.13427734375,0.86572265625,1.863657208408,16,512,"{""Abnormal"": 0.86572265625, ""Normal"": 0.13427734375}"
17,00000085_rcis2,train,Abnormal,1,train/Abnormal/00000085_rcis2.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000085_rcis2.png,Abnormal,0,1,0.86572265625,0.13427734375,0.86572265625,1.863657208408,17,512,"{""Abnormal"": 0.86572265625, ""Normal"": 0.13427734375}"
18,00000085_rcis3,train,Abnormal,1,train/Abnormal/00000085_rcis3.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000085_rcis3.png,Abnormal,0,1,0.86572265625,0.13427734375,0.86572265625,1.863657208408,18,512,"{""Abnormal"": 0.86572265625, ""Normal"": 0.13427734375}"
19,00000086,train,Abnormal,1,train/Abnormal/00000086.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000086.png,Abnormal,0,1,0.99658203125,0.003234863281,0.996765136719,5.730528507525,19,512,"{""Abnormal"": 0.99658203125, ""Normal"": 0.00323486328125}"
20,00000086_rcis1,train,Abnormal,1,train/Abnormal/00000086_rcis1.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000086_rcis1.png,Abnormal,0,1,0.99658203125,0.003234863281,0.996765136719,5.730528507525,20,512,"{""Abnormal"": 0.99658203125, ""Normal"": 0.00323486328125}"
21,00000086_rcis2,train,Abnormal,1,train/Abnormal/00000086_rcis2.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000086_rcis2.png,Abnormal,0,1,0.99658203125,0.003234863281,0.996765136719,5.730528507525,21,512,"{""Abnormal"": 0.99658203125, ""Normal"": 0.00323486328125}"
22,00000086_rcis3,train,Abnormal,1,train/Abnormal/00000086_rcis3.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000086_rcis3.png,Abnormal,0,1,0.99658203125,0.003234863281,0.996765136719,5.730528507525,22,512,"{""Abnormal"": 0.99658203125, ""Normal"": 0.00323486328125}"
23,00000087,train,Abnormal,1,train/Abnormal/00000087.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000087.png,Abnormal,0,1,0.939453125,0.060699462891,0.939300537109,2.739200639382,23,512,"{""Abnormal"": 0.939453125, ""Normal"": 0.060699462890625}"
24,00000087_rcis1,train,Abnormal,1,train/Abnormal/00000087_rcis1.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000087_rcis1.png,Abnormal,0,1,0.939453125,0.060699462891,0.939300537109,2.739200639382,24,512,"{""Abnormal"": 0.939453125, ""Normal"": 0.060699462890625}"
25,00000087_rcis2,train,Abnormal,1,train/Abnormal/00000087_rcis2.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000087_rcis2.png,Abnormal,0,1,0.939453125,0.060699462891,0.939300537109,2.739200639382,25,512,"{""Abnormal"": 0.939453125, ""Normal"": 0.060699462890625}"
26,00000087_rcis3,train,Abnormal,1,train/Abnormal/00000087_rcis3.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000087_rcis3.png,Abnormal,0,1,0.939453125,0.060699462891,0.939300537109,2.739200639382,26,512,"{""Abnormal"": 0.939453125, ""Normal"": 0.060699462890625}"
27,00000088,train,Abnormal,1,train/Abnormal/00000088.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000088.png,Abnormal,0,1,0.9560546875,0.044006347656,0.955993652344,3.078417384794,27,512,"{""Abnormal"": 0.9560546875, ""Normal"": 0.04400634765625}"
28,00000088_rcis1,train,Abnormal,1,train/Abnormal/00000088_rcis1.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_rcis\yolo11l_gate2_hn02_rcis_full\train\Abnormal\00000088_rcis1.png,Abnormal,0,1,0.9560546875,0.044006347656,0.955993652344,3.078417384794,28,512,"{""Abnormal"": 0.9560546875, ""Normal"": 0.04400634765625}"
