reading_rank,selection_role,paper_id,queue_id,title,source_action,artifact_role,url,destination,source_authority,resolution_reason,broad_source_path,broad_source_format,method_source_path,method_source_format,method_source_sha256,method_source_bytes,method_source_origin,primary_url,full_text_url,doi,screened_credit
1,PRIMARY,P0082,RG6D524C9306BAED95,Learning from Long-Tailed Noisy Data with Sample Selection and Balanced Loss,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0082.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0082.pdf,PDF,sources/P0082.pdf,PDF,1A2E018AD69D41F13551F2AE1AFE2D478C85DA159B66A08355E51C8D959D1327,625319,BROAD_SOURCE,http://arxiv.org/abs/2211.10906,https://arxiv.org/pdf/2211.10906,10.48550/arxiv.2211.10906,NOT_ASSESSED_AT_BROAD_LEVEL
2,PRIMARY,P0327,RGA82414DB45D68A66,Data-efficient flood depth prediction through domain-aware coreset selection and tabular foundation models,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0327.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0327.pdf,PDF,sources/P0327.pdf,PDF,16A96B380FED4FE13F94A49F3ACC8A87B35815BD559704F2E548D147C7A8E05C,8243584,BROAD_SOURCE,https://arxiv.org/abs/2606.05265,https://arxiv.org/pdf/2606.05265,10.48550/arxiv.2606.05265,NOT_ASSESSED_AT_BROAD_LEVEL
3,PRIMARY,P0255,RG62D350DB6CD76259,Adversarial Coreset Selection for Efficient Robust Training,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0255.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0255.pdf,PDF,sources/P0255.pdf,PDF,966733F44997F9262AB853AD2DE7BA97B1858B1658119E9F2390104A9EB9B53F,1028154,BROAD_SOURCE,https://doi.org/10.1007/s11263-023-01860-4,https://link.springer.com/content/pdf/10.1007/s11263-023-01860-4.pdf,10.1007/s11263-023-01860-4;10.48550/arxiv.2209.05785,NOT_ASSESSED_AT_BROAD_LEVEL
4,PRIMARY,P0463,RGFC6945DFC35CF021,It was the training data pruning too!,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0463.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0463.pdf,PDF,sources/P0463.pdf,PDF,4596B775218E6D02F2B3EEC87FFAFD3CBC681D54DB7453BC1626708D82745031,64044,BROAD_SOURCE,http://arxiv.org/abs/1803.04579,https://arxiv.org/pdf/1803.04579,10.48550/arxiv.1803.04579,NOT_ASSESSED_AT_BROAD_LEVEL
5,PRIMARY,P0059,RG7847D09333510B20,Efficient Adversarial Contrastive Learning via Robustness-Aware Coreset Selection,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0059.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0059.pdf,PDF,sources/P0059.pdf,PDF,C1710EC056EE6009EA9B8B9E01876096A47399C820374700A7665BFCC7693D9B,954412,BROAD_SOURCE,http://arxiv.org/abs/2302.03857,https://arxiv.org/pdf/2302.03857,10.48550/arxiv.2302.03857,NOT_ASSESSED_AT_BROAD_LEVEL
6,PRIMARY,P0011,RG8567435198F1DCE7,Improved Hard Example Mining Approach for Single Shot Object Detectors,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0011.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0011.pdf,PDF,sources/P0011.pdf,PDF,80BC7A8742C2714052D4EA6AD9D86F72BCC3EE93E4ACF8CBAFBF6D7E3F6A8687,764975,BROAD_SOURCE,https://doi.org/10.1109/icip46576.2022.9897806,https://arxiv.org/pdf/2202.13080,10.1109/icip46576.2022.9897806;10.48550/arxiv.2202.13080,NOT_ASSESSED_AT_BROAD_LEVEL
7,PRIMARY,P0290,RGE8A424B22CF65CEC,SSR: An Efficient and Robust Framework for Learning with Unknown Label Noise,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0290.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0290.pdf,PDF,sources/P0290.pdf,PDF,367B71881B372D42B8F4BF8C5CFC84EF1B1EF2DF14E239627C562F2875F3F551,8833197,BROAD_SOURCE,http://arxiv.org/abs/2111.11288,https://arxiv.org/pdf/2111.11288,10.48550/arxiv.2111.11288,NOT_ASSESSED_AT_BROAD_LEVEL
8,PRIMARY,P0005,RG71345855BAAFF5D6,Active Self-Paced Learning for Cost-Effective and Progressive Face Identification,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0005.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0005.pdf,PDF,sources/P0005.pdf,PDF,2C994C2FCB39F5E32D1530A23839212F47D4679291DAA47F27D4C48BAE99B741,8380460,BROAD_SOURCE,https://doi.org/10.1109/tpami.2017.2652459,https://arxiv.org/pdf/1701.03555,10.1109/tpami.2017.2652459,NOT_ASSESSED_AT_BROAD_LEVEL
9,PRIMARY,P0118,RG2ED0CE82003600F6,Generic and Trend-aware Curriculum Learning for Relation Extraction,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0118.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0118.pdf,PDF,sources/P0118.pdf,PDF,9A7F32ACE6EA27C25B0A10BDE747F6D0E2A57B23FAF3A2C8A741E5C8680FCBF0,2022632,BROAD_SOURCE,https://doi.org/10.18653/v1/2022.naacl-main.160,https://aclanthology.org/2022.naacl-main.160.pdf,10.18653/v1/2022.naacl-main.160,NOT_ASSESSED_AT_BROAD_LEVEL
10,PRIMARY,P0379,RGBBDE7FEFA3C75C54,Learning to Weight Parameters for Training Data Attribution,REUSE_VERIFIED_BROAD_PDF,METHOD_SOURCE,NOT_APPLICABLE_WITH_REASON:verified BROAD PDF is reused,sources/P0379.pdf,NOT_APPLICABLE_WITH_REASON:authority retained in BROAD acquisition ledger,BROAD_SOURCE_IS_VERIFIED_PDF,sources/P0379.pdf,PDF,sources/P0379.pdf,PDF,F3BAE7A11099C99CB0394F3CA42CC9E7D77B6C7DABA50CEA26FEE6C232D84AF4,1924982,BROAD_SOURCE,http://arxiv.org/abs/2506.05647,https://arxiv.org/pdf/2506.05647,10.48550/arxiv.2506.05647,NOT_ASSESSED_AT_BROAD_LEVEL
