checked_at_local,manifest,expected_rows,actual_rows,row_count_ok,image_split_dir,folder_file_count,folder_count_ok,missing_images,missing_ok,manifest_sha256,duplicate_filenames,duplicate_relpaths,duplicates_ok
2026-06-16T16:30:09,train_manifest.csv,60000,60000,True,train,60000,True,0,True,964193654D91483BA5C28411F56716E4057B6E1D5C9A0DA1EBBD24D30018C07C,,,
2026-06-16T16:30:13,normal_train_manifest.csv,60000,60000,True,normal_train,60000,True,0,True,196474FC6EEF08D982FBECEE94DD544A4A5AC7220587DD58C9B2C186EAD7652C,,,
2026-06-16T16:30:13,val_model_manifest.csv,12000,12000,True,val_model,12000,True,0,True,9606AE90933008E49D7EE354616BA998351CCFB578AEFF25F07C9D8B0058F2D9,,,
2026-06-16T16:30:14,normal_val_model_manifest.csv,12000,12000,True,normal_val_model,12000,True,0,True,73B53C0498E74A76BAF43F926DE318CF3AB2179FFE2958F78A5333FE900D7AB4,,,
2026-06-16T16:30:15,val_cal_manifest.csv,20000,20000,True,val_cal,20000,True,0,True,0AD8A680031C8193A6818C418E1C7CDF1EFA9AD573E17156F94B44E9F90EA2C4,,,
2026-06-16T16:30:21,normal_val_cal_manifest.csv,100000,100000,True,normal_val_cal,100000,True,0,True,4284D6788F53898919719A68AD1E6359F30807578C0AF719DAC444A7772A8276,,,
2026-06-16T16:30:22,val_op_manifest.csv,20000,20000,True,val_op,20000,True,0,True,7869591D76A8E55C0B14B34C7AA06CFDBEBA30EC531C294C6331EFE4839DD6ED,,,
2026-06-16T16:30:26,normal_val_op_manifest.csv,100000,100000,True,normal_val_op,100000,True,0,True,C255A261DF8EEFAFD573A1EBBD2D88C375D6D9244BB3077B319E648FFFC1E33E,,,
2026-06-16T16:30:27,test_manifest.csv,20000,20000,True,test,20000,True,0,True,2F8531F9C2A70A36E202A244D75609FCD661C9F652563CCEA640479C349878B2,,,
2026-06-16T16:30:33,normal_test_manifest.csv,100000,100000,True,normal_test,100000,True,0,True,DD79BA79F2EEDC782867939EFD51C473CBB847D0A96155E80C00E7FF37AF8DB9,,,
2026-06-16T16:30:33,__GLOBAL__,504000,504000,True,all,,,0,True,,0,0,True
