queue_id,decision,canonical_title,primary_url_checked,source_authority,checked_at,reading_scope,direct_rq_ids,relevance_class,problem_summary_zh,method_overview_zh,conclusion_summary_zh,critical_review_zh,stage1_transfer_zh,cannot_infer_zh,exclusion_reason,reviewer
"RGE7014358FFBBD881","ELIGIBLE_BROAD","Differential Privacy, Linguistic Fairness, and Training Data Influence: Impossibility and Possibility Theorems for Multilingual Language Models","https://arxiv.org/pdf/2308.08774","OFFICIAL_REPOSITORY","2026-08-10T00:10:58+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ3;RQ8","TRANSFER_COMPONENT","论文研究随机训练、差分隐私和稀疏化怎样改变多语言模型的训练数据影响分布及语言公平性。","作者给出影响均匀性与隐私公平目标之间的理论结果，并用最近三个检查点的 TracInCP 估计训练样本对不同语言预测的影响。","结果表明隐私训练、稀疏训练与影响均匀性并非单调兼容，训练目标和模型状态会显著改变归因结构。","论文没有进行固定 replay 预算的样本加入干预，也没有证明 TracInCP 排名能跨训练 seed 改善下游业务指标。","可迁移的是把影响或梯度归因视为受训练状态和目标约束的 A 类候选信号，并显式记录估计检查点。","不能由该研究推出高影响样本就是高价值回流样本，也不能推出其结论适用于二分类 FN95 安全前沿。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG5156030DBF440F53","ELIGIBLE_BROAD","Neyman-Pearson multiclass classification under label noise via empirical likelihood","https://arxiv.org/pdf/2603.21623","OFFICIAL_REPOSITORY","2026-08-10T00:10:58+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ7","TARGET_METRIC","论文研究存在标签噪声时，如何在多分类 Neyman-Pearson 约束下控制指定类别错误并优化其余错误。","方法使用经验似然和 EM 思路估计噪声转移与约束分类器，并给出可识别条件、误差控制和 oracle 型理论结果。","模拟重复和真实数据实验显示，在假设成立时方法可接近使用真实噪声信息的 oracle 错误控制。","这是约束分类目标研究而非训练样本 replay 研究，且其噪声模型与有限样本尾部误差控制假设需要单独核验。","可用于定义 Stage1 的 RQ7：FN 上限必须作为约束而非普通平均准确率，并为阈值不确定性保留统计校验。","不能据此选择任何具体训练照片，也不能证明某种 Q、R、A 或 D 代理能够优于随机回流。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG5D41AD28A27FD28C","ELIGIBLE_BROAD","FedSPL: federated self-paced learning for privacy-preserving disease diagnosis","https://oup.silverchair-cdn.com/article-minimal/6454650","PRIMARY_PUBLISHER","2026-08-10T00:10:58+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ1;RQ5","DIRECT_MECHANISM","论文关注联邦疾病诊断中客户端异质、隐私约束和训练样本难度不匹配造成的低效学习。","FedSPL 依据当前预测置信或损失先学习较容易样本，再随训练阶段放宽阈值纳入更困难样本，并在客户端间聚合模型。","作者在四个基因数据集上报告相对 FedAvg 和集中式方案的性能改善，平均 F1 增益约为论文所述的四个百分点。","比较对象是联邦学习算法而非同预算随机样本选择，样本曝光、候选池和训练步骤没有按 Stage1 要求严格配平。","可迁移的是使用上一阶段模型状态动态更新入选门槛，并把早期与后期样本暴露分开记录。","不能推出低损失课程一定胜过随机 replay，也不能把联邦隐私表述等同于形式化差分隐私保证。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RGA0C42B6F141443A0","ELIGIBLE_BROAD","Multi-Objective Interpolation Training for Robustness to Label Noise","https://arxiv.org/pdf/2012.04462","OFFICIAL_REPOSITORY","2026-08-10T00:10:58+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ1","DIRECT_MECHANISM","论文研究深度模型在合成和真实标签噪声下记忆错误标签并损害泛化的问题。","方法结合对比表示学习、近邻软标签修正和多目标插值训练，利用预测与修正标签分歧识别疑似噪声并平衡类别。","在 CIFAR、mini-ImageNet 和 WebVision 等设置中，组合方法及其消融显示可靠性修正能降低噪声监督的伤害。","多组件方法的提升不能归因于单一选样指标，且实验目标是抗噪分类而非固定预算 replay 的边际效用。","可将近邻一致性、类别平衡和跨阶段标签分歧作为 Q 门控候选，并保留各组件独立消融。","不能把低置信样本一律判成噪声，也不能声称可靠性过滤本身会改善 FN95 工作点。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RGF4AF8BFC1EAD51C4","ELIGIBLE_BROAD","Less is More: Sample Selection and Label Conditioning Improve Skin Lesion Segmentation","https://arxiv.org/pdf/2004.13856","OFFICIAL_REPOSITORY","2026-08-10T00:10:58+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ1;RQ4;RQ6","DIRECT_INTERVENTION","论文研究皮肤病灶分割中标注者一致性不同的图像是否应等同用于训练，以及数据质量对性能的影响。","作者按多标注者一致性选择约百分之八十一的图像，并在三套测试集、两种模型和大量重复训练中比较不同标签条件。","结果显示删除约五分之一低一致性图像后仍可改善分割表现，但样本选择只解释实验设计中有限比例的变化。","选择集合与全量训练同时改变了数量和标签质量，论文没有提供同规模随机子集，因此不能把增益视为纯粹的样本身份效应。","可迁移的是把人工复核一致性作为 Q 的外部证据，并在集合层记录来源覆盖和低一致性比例。","不能推出按一致性排序的图片在 Stage1 replay 中会稳定优于严格匹配随机集合。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG6849BE8B0047046A","EXCLUDE","Offline Imitation Learning upon Arbitrary Demonstrations by Pre-Training Dynamics Representations","https://arxiv.org/pdf/2508.14383","OFFICIAL_REPOSITORY","2026-08-10T00:10:58+08:00","TITLE;ABSTRACT;PROBLEM","NOT_APPLICABLE_WITH_REASON:research object is environment transition dynamics rather than training-sample dynamics","EXCLUDED","论文研究离线模仿学习如何利用同一环境动力学下的任意示范预训练状态转移表征。","NOT_APPLICABLE_WITH_REASON:标题和问题核对后确认其 dynamics 指环境转移规律，不是逐样本训练轨迹或回流选择。","NOT_APPLICABLE_WITH_REASON:研究对象在问题层已经偏离预注册的训练样本效用问题，因此未申请 broad 纳入。","关键词 training dynamics 在本文语境中指任务环境动力学，若仅靠关键词纳入会造成明确的概念错配。","NOT_APPLICABLE_WITH_REASON:该环境表征机制不直接映射到 Stage1 的 Q、R、A、D 或有限预算 replay。","该文不能回答哪些训练照片值得再次学习，也不能支持跨 seed 样本效用排序。","WRONG_DYNAMICS_OBJECT_ENVIRONMENT_TRANSITIONS","codex_primary_review"
"RG91D07CC36603D897","EXCLUDE","Meta Self-Paced Learning for Cross-Modal Matching","https://www.sigmm.org/opentoc/MM2021-TOC","PRIMARY_PUBLISHER","2026-08-10T00:10:58+08:00","TITLE;ABSTRACT;PROBLEM","NOT_APPLICABLE_WITH_REASON:full primary method and conclusion were unavailable in the acquired source","EXCLUDED","摘要描述元网络根据样本对相似性与交互信息生成权重，以解决跨模态匹配中的课程学习问题。","NOT_APPLICABLE_WITH_REASON:取得的 ACM 官方会议页只含摘要，无法核对完整算法、预算、实验和消融细节。","NOT_APPLICABLE_WITH_REASON:来源不足以核验论文结论范围，故不以摘要内容申请 broad 阅读信用。","研究主题表面相关，但在完整正文缺失时继续填写方法与结论会把二手概述冒充全文证据。","NOT_APPLICABLE_WITH_REASON:待取得可核验的官方或作者全文后，才可重新判断是否进入 Q 或 R 机制证据。","当前材料不能证明元权重能够胜过同预算随机样本，也不能用于 Stage1 施工。","SOURCE_UNAVAILABLE_FULL_METHOD_AND_CONCLUSION","codex_primary_review"
"RG7FDC422C9E0B1DC7","ELIGIBLE_BROAD","Prune to Protect: Faster Training and Enhanced Privacy by Dynamic Data Pruning","https://ndownloader.figshare.com/files/65794005","OFFICIAL_REPOSITORY","2026-08-10T00:10:58+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ1;RQ5;RQ8","DIRECT_MECHANISM","论文研究动态数据剪枝在加速训练时为何会在后期完整数据退火阶段增加样本记忆和隐私泄漏。","方法以 InfoBatch 的当前损失动态保留困难样本，并用累计剪枝率对后期退火损失重新加权以抑制记忆突增。","CIFAR 和 ImageNet 实验显示 WLIB 可在保持相近准确率与效率的同时降低成员推断风险。","论文主要优化隐私与效率，没有严格评估高召回 replay 效用；动态剪枝、损失重权和退火同时变化。","可迁移的是记录累计曝光和后期阶段，检验同一集合在后期继续回流是否触发额外记忆或伤害。","不能推出当前高损失样本具有正向业务价值，也不能把较低成员推断风险等同于更好的 FN95 前沿。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RGD709BAFF67BA1294","ELIGIBLE_BROAD","A Probabilistic Interpretation of Self-Paced Learning with Applications\n to Reinforcement Learning","https://arxiv.org/pdf/2102.13176","OFFICIAL_REPOSITORY","2026-08-10T00:10:58+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ1;RQ5;RQ6;RQ8","TRANSFER_COMPONENT","论文研究如何把自步学习解释为任务采样分布，并根据当前策略能力动态安排强化学习任务。","方法将当前任务表现和目标任务分布写入带 KL 约束的采样目标，在训练过程中更新课程分布并与默认及随机课程比较。","多次运行表明动态课程可在部分强化学习任务上改善样本效率，但结果对课程日程和任务结构敏感。","对象是任务级强化学习而非监督图像样本 replay，且价值单位和终点指标与 Stage1 不同。","可迁移的是把样本价值写成依赖当前模型状态的采样概率，并保留随机探索底座与日程敏感性分析。","不能直接复制其概率分布或超参数，也不能据此证明任何静态图像排名优于随机。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG1B00A6361F1E36CF","ELIGIBLE_BROAD","Label-Efficient Dataset Pruning via Semi-Supervised Pseudo-Labeling","https://arxiv.org/pdf/2605.23198","OFFICIAL_REPOSITORY","2026-08-10T00:10:58+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ1;RQ4;RQ6","DIRECT_INTERVENTION","论文研究在只标注少量样本时，怎样估计全数据训练动态并选择固定大小的高质量 coreset。","SemiPrune 先随机标注小子集并用半监督模型生成伪标签，再计算 AUM 或 DUAL 动态分数，采用中间窗口双端剪枝和分层随机抽样。","多数据集与多剪枝预算结果显示该方案可超过随机和既有无标签剪枝方法，且极端 Top-k 会产生明显分布偏置。","研究是一次性子集训练而非追加 replay，选择超参数、伪标签质量和最终训练预算需与 Stage1 重新配平。","可直接支持 Q 后去除不可学极端尾部，再以难度分层和随机覆盖形成集合，而不是确定性最高分 Top-k。","不能推出 AUM 或 DUAL 单分数就是 Stage1 价值，也不能省略独立 seed 和严格匹配随机对照。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
