queue_id,decision,canonical_title,primary_url_checked,source_authority,checked_at,reading_scope,direct_rq_ids,relevance_class,problem_summary_zh,method_overview_zh,conclusion_summary_zh,critical_review_zh,stage1_transfer_zh,cannot_infer_zh,exclusion_reason,reviewer
"RG904A68758AC8060A","ELIGIBLE_BROAD","Investigating Active-Learning-Based Training Data Selection for Speech Spoofing Countermeasure","https://arxiv.org/pdf/2203.14553","OFFICIAL_REPOSITORY","2026-08-10T01:23:34+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ5;RQ6;RQ7","DIRECT_INTERVENTION","论文研究语音反欺骗训练中，有限标注预算应从不断变化的未标注池选择哪些片段，并检验不同池组成是否改变主动学习收益。","作者从种子集出发迭代八轮，每轮选择二千五百六十段并微调五轮，比较负能量、对抗距离、随机被动、正能量负对照以及带随机探索的移除策略。","三个独立初始状态的结果表明，负能量和带探索的策略在困难测试集可明显降低错误率，但被动随机也很强；候选池更大且更丰富时收益更稳，某些池继续加样反而恶化。","实验有等轮次和随机基线，并诚实暴露了对抗距离不及随机以及池组成导致反转；但它优化的是语音反欺骗 EER，且选择后包含人工标注流程，不等同于有标签图像 replay。","Stage1 可迁移的是每轮更新候选池、保留随机探索、记录来源覆盖，并把相同预算随机作为硬对照；还应把候选池组成写入估计对象。","不能据此断言能量分数适用于 CCTV 图像，也不能把一次有效的主动标注策略直接解释成跨 seed 稳定的训练样本价值。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RGDEC48B539D1AAC51","ELIGIBLE_BROAD","Symbolic Mechanistic Data Attribution: Tracing Training Influence to Learned Behavioral Policies","https://arxiv.org/pdf/2606.29171","OFFICIAL_REPOSITORY","2026-08-10T01:23:34+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ3;RQ8","DIRECT_MECHANISM","论文研究监督微调样本如何通过内部特征变化影响模型行为，并试图把单点影响分解为可解释的行为策略，而非只给一个梯度大小。","方法在留出评估集上拟合由七十五个稀疏自编码器特征构成的 Ridge 符号策略，模拟每个训练对的一步梯度更新，再分解特征激活变化与拒答概率变化。","结果显示部分训练样本的主要作用落在非预期行为特征上，且归因在若干评估划分间有一定稳定性，说明强更新可能通过跨特征干扰产生目标外影响。","该方法只有一阶单步近似，符号策略准确率约为六成多到七成，作者没有用删除或完整重训验证因果效用；评估集合组成也会改变归因结果。","Stage1 可借鉴把方向拆成目标尾部收益和非目标尾部伤害，并记录跨 checkpoint 的方向变化，而不是把梯度范数直接当价值。","不能由符号归因分数推出某张图回流后会改善 FN95，也不能把行为特征的一步变化冒充真实两百轮训练干预。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG4D60DF0552DE16ED","ELIGIBLE_BROAD","Mitigating Catastrophic Forgetting in Robotic Waste Sorting: A Continual Learning Framework with Dynamic Experience Replay","https://ojs.aaai.org/index.php/AAAI-SS/article/download/42908/50468","PRIMARY_PUBLISHER","2026-08-10T01:23:34+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ5;RQ6","TRANSFER_COMPONENT","论文研究机器人垃圾分类的类增量学习中，如何用有限经验缓存保持旧类别并适应新类别，属于动态 replay 的跨领域案例。","框架使用类别平衡的 reservoir memory，在训练批次中按固定比例混合当前数据与回放数据，并依据特征距离保存代表性样本。","作者报告所提框架缓解遗忘，并比较 MobileNet 与 ViT 的最终表现，但正文没有把样本选择规则与同预算随机缓存做干净隔离。","研究对象、任务流和指标均不同，模型架构与 replay 机制共同变化，当前证据无法把性能差异归因于代表性选样；统计重复与严格预算控制也不足。","Stage1 仅可借鉴类别平衡缓存、代表性覆盖和实际 replay 比例字段，并把这些作为待检验组件而非已成立规律。","不能据此声称动态经验回放稳压随机，也不能把垃圾分类的类增量遗忘结论直接迁移为静态二分类 FN95 收益。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RGF50ED803CA18569B","ELIGIBLE_BROAD","Distill on a Diet: Efficient Knowledge Distillation via Learnable Data Pruning","https://arxiv.org/pdf/2606.25488","OFFICIAL_REPOSITORY","2026-08-10T01:23:34+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ2;RQ5;RQ7","DIRECT_INTERVENTION","论文研究知识蒸馏中固定 Top-K 数据剪枝为何随预算和蒸馏设置失效，以及能否学习一个比硬窗口更稳的选择分布。","作者以验证集上的 SAM 微调、对角 Fisher 逆和影响近似构造 IF-FVM 分数，再用双层策略梯度学习作用于排名分位的 Beta 采样分布。","在 CIFAR 与 ImageNet 的多种剪枝率、三个 seed 和随机基线下，学习分布通常优于随机及固定窗口；论文还发现随机替换固定最优窗口中的一部分样本有时会进一步改善。","证据支持预算依赖和软分布优于刚性 Top-K，但目标是知识蒸馏，分数依赖验证目标和近似曲率；只有三个 seed，且不是固定基础集上的额外 replay。","Stage1 可迁移的是把选择器与采样分布分开、按预算单独冻结，并设置随机探索或软优先采样，而非默认排序头部永久有效。","不能据此认定 IF-FVM 或 Beta 分布在 FN95 任务必然有效，也不能把蒸馏剪枝的同算力结论直接等价为额外曝光回流。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RGFBDF282AB125F492","ELIGIBLE_BROAD","Incorporate Online Hard Example Mining and Multi-Part Combination Into Automatic Safety Helmet Wearing Detection","https://ieeexplore.ieee.org/ielx7/6287639/9312710/09296219.pdf","PRIMARY_PUBLISHER","2026-08-10T01:23:34+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ2;RQ6","TRANSFER_COMPONENT","论文研究安全帽检测中大量容易背景区域淹没困难区域的问题，并将在线困难样本挖掘作为检测器训练组件。","方法在 Faster R-CNN 的候选区域层按当前损失挑选困难 ROI，并同时加入多尺度锚框和人体部件组合等检测结构改动。","组合消融中 OHEM 带来约一点五个百分点的检测准确率提升，完整系统在所用安全帽数据上优于若干检测基线。","选择单位是 ROI 而非训练图像，且 OHEM 与检测结构、锚框和部件模块同时出现；没有同预算随机 replay 或跨 seed 证据，增益不能解释为照片固有价值。","Stage1 可把它保留为 hardness 有训练影响的历史证据，并专门用 current-loss arm 检验困难度代理，但不能让它成为主方法依据。","不能由区域级 OHEM 的局部消融推出最高损失图片值得反复学习，也不能推出困难度能保护弱 defect 尾部。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG9BEB857C8E21735C","ELIGIBLE_BROAD","GoodCore: Data-effective and Data-efficient Machine Learning through Coreset Selection over Incomplete Data","https://dbgroup.cs.tsinghua.edu.cn/ligl/papers/goodcore.pdf","AUTHOR_HOSTED","2026-08-10T01:23:34+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ3;RQ5;RQ7","TRANSFER_COMPONENT","论文研究含缺失值表格数据中，怎样选择小而有代表性的 coreset，同时避免先插补再选样造成的偏差和额外成本。","GoodCore 以类别条件特征距离近似梯度匹配目标，在可能世界上定义期望 coreset 效用，并把插补过程嵌入贪心选择。","在多个不完整表格数据集和极小保留比例下，方法相对随机及多种 coreset 基线保持较好预测表现和效率。","理论保证主要落在凸问题与近似目标，深网结果仍是经验性的；数据缺失与清洗语境不同于视频图像动态 replay，且梯度近似不等于目标 FN95 方向。","Stage1 可迁移类别条件覆盖、集合代表性和严格同规模随机基线，并把梯度匹配视作近似组件而非价值证明。","不能据此推出特征最近中心样本一定值得回流，也不能把表格缺失值上的 coreset 保真直接解释为跨 seed 的图像干预收益。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RGE8A424B22CF65CEC","ELIGIBLE_BROAD","SSR: An Efficient and Robust Framework for Learning with Unknown Label Noise","https://arxiv.org/pdf/2111.11288","OFFICIAL_REPOSITORY","2026-08-10T01:23:34+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ1;RQ4","DIRECT_MECHANISM","论文研究噪声率未知时，如何动态区分干净样本和错误标签，避免固定 warm-up 或单次小损失筛选在不同噪声强度下失效。","SSR 每轮依据邻域标签一致性并作类别平衡修正来选择干净样本，再用模型置信度重标记高可信噪声样本，并通过半监督与特征一致性利用剩余数据。","多种合成和真实噪声实验显示动态选择与重标记优于多种噪声学习基线，干净样本选择的 F-score 在多数设置中较高且对阈值相对稳健。","可靠性判断依赖表示邻域和标签一致性，性能增益同时包含重标记与半监督模块；它证明了门控的必要性，但没有测试被选样本作为额外 replay 是否优于随机。","Stage1 可迁移按类别和邻域一致性构造 Q 门控、记录每轮入池与移出原因，并把未通过门控者留作风险层而非直接删除。","不能把 SSR 的 clean probability 当作 replay utility，也不能据此认定高置信重标记适用于未做人工复核的工业缺陷图像。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG3EF67134F23E18B8","ELIGIBLE_BROAD","DsDm: Model-Aware Dataset Selection with Datamodels","https://raw.githubusercontent.com/mlresearch/v235/main/assets/engstrom24a/engstrom24a.pdf","OFFICIAL_REPOSITORY","2026-08-10T01:23:34+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ2;RQ5;RQ7;RQ8","DIRECT_INTERVENTION","论文把数据选择定义为：在给定学习算法随机性和目标分布下，选择能最小化目标损失的子集，而非按样本自身难度排序。","方法用多个随机子集训练结果拟合线性 datamodel，并借助 TRAK 近似每个样本对目标集合损失的贡献，再按预测贡献选择数据。","在语言模型预训练中，DsDm 在等 token 计算下常优于随机、DSIR 和分类器筛选；反向选择的有害集合显著更差，但针对单一任务优化也会伤害其他任务。","随机基线很强，目标集合构成决定结果，且方法需大量子集训练来拟合 datamodel；这说明价值是目标和训练过程条件化的，不是廉价静态属性。","Stage1 可迁移独立 val_target、目标特异贡献、anti-selection 负对照和集合级真实干预，同时必须让 test 与方法构造完全隔离。","不能据此声称 TRAK 分数就是因果价值，也不能将某一目标上的优选集合外推为所有预算、seed 或业务尾部都有效。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RGCBDDF743A884393C","ELIGIBLE_BROAD","Batch Sampling for Experience Replay","https://krutsylo.neocities.org/share/pdf/RBS.pdf","AUTHOR_HOSTED","2026-08-10T01:23:34+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ3;RQ5;RQ6;RQ7","DIRECT_INTERVENTION","论文研究经验回放中逐样本分数忽略批内相互作用的问题，主张回放价值应以整个 batch 对表示的作用衡量。","方法以当前更新前后隐藏表示变化定义 Batch Contextual Diversity，每次从九个随机候选 batch 和一个 MIR 候选中选择 BCD 最大者回放。","在 Split MNIST 与 CIFAR-10、多个缓存容量和二十次独立运行中，RBS 总体优于随机 ER 与 MIR；但有一项 MNIST 设置中 MIR 略高且差异不显著。","它提供了罕见的同预算随机回放和多次运行证据，并明确承认当任何 replay 都足够时选择开销不值得；但在线类增量场景与固定二分类训练不同。","Stage1 可直接迁移集合价值优先于单样本永久分数的思想，并比较多个等预算候选集合，而不是只把 individual Top-K 拼成 batch。","不能据此认定 BCD 指标适合图像全程 replay，也不能忽略连续 batch 之间的多样性、候选生成成本和论文指出的失效情形。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG5C5851C06FA80A4C","ELIGIBLE_BROAD","Step-resolved data attribution for looped transformers","https://arxiv.org/pdf/2602.10097","OFFICIAL_REPOSITORY","2026-08-10T01:23:34+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ3;RQ6;RQ8","DIRECT_MECHANISM","论文研究循环 Transformer 中普通归因把多个内部计算步骤压成一个数后，无法解释样本影响发生在何时。","作者将 TracIn 分解为逐循环步骤的影响轨迹，并用 CountSketch 与 TensorSketch 压缩逐例梯度，使各步骤贡献之和严格回到普通 TracIn。","实验显示同一样本的难度、记忆和影响峰值可发生在不同循环步骤，逐步轨迹能够揭示单一总分掩盖的时间结构。","这里的 step 是模型内部循环而非训练 epoch；TracIn 仍是梯度相似度代理而非因果证书，并受优化器几何和截断反向传播影响。","Stage1 可迁移的是保存跨 epoch 或 checkpoint 的方向轨迹和峰值时机，并禁止只报告平均 alignment；计算上可先用分类头草图。","不能把内部循环步骤直接对应到 replay 阶段，也不能由 TracIn 守恒推出某个正贡献样本经过完整训练一定有益。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
