selection_id,selection_rank,role_rank,sample_id,y_true,replay_role
TREATMENT_GAPCRITICAL_NESTED,1,1,Det/images/normal_train/01286806.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,2,2,Det/images/normal_train/01278209.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,3,3,Det/images/normal_train/00604801.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,4,4,Det/images/normal_train/00744956.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,5,5,Det/images/normal_train/01167498.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,6,6,Det/images/normal_train/00462733.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,7,7,Det/images/normal_train/00399718.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,8,8,Det/images/normal_train/01014733.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,9,9,Det/images/normal_train/01232333.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,10,10,Det/images/normal_train/00382051.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,11,11,Det/images/normal_train/00944979.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,12,12,Det/images/normal_train/00920430.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,13,13,Det/images/normal_train/00712967.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,14,14,Det/images/normal_train/01171579.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,15,15,Det/images/normal_train/01287931.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,16,16,Det/images/normal_train/01049972.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,17,17,Det/images/normal_train/01199131.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,18,18,Det/images/normal_train/00447968.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,19,19,Det/images/normal_train/00698557.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,20,20,Det/images/normal_train/01085779.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,21,21,Det/images/normal_train/00509029.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,22,22,Det/images/normal_train/00808733.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,23,23,Det/images/normal_train/00690291.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,24,24,Det/images/normal_train/00577887.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,25,25,Det/images/normal_train/00242715.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,26,26,Det/images/normal_train/00323523.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,27,27,Det/images/normal_train/01073726.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,28,28,Det/images/normal_train/00713168.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,29,29,Det/images/normal_train/00491094.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,30,30,Det/images/normal_train/00381751.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,31,31,Det/images/normal_train/00241997.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,32,32,Det/images/normal_train/00954818.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,33,33,Det/images/normal_train/00964378.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,34,34,Det/images/normal_train/00916488.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,35,35,Det/images/normal_train/00786131.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,36,36,Det/images/normal_train/00796033.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,37,37,Det/images/normal_train/00971571.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,38,38,Det/images/normal_train/01195525.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,39,39,Det/images/normal_train/00954770.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,40,40,Det/images/normal_train/00651388.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,41,41,Det/images/normal_train/00854371.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,42,42,Det/images/normal_train/01127316.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,43,43,Det/images/normal_train/01199314.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,44,44,Det/images/normal_train/00243925.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,45,45,Det/images/normal_train/00425943.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,46,46,Det/images/normal_train/00674370.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,47,47,Det/images/normal_train/00353303.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,48,48,Det/images/normal_train/00532387.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,49,49,Det/images/normal_train/01230103.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,50,50,Det/images/normal_train/01292814.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,51,51,Det/images/normal_train/00248553.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,52,52,Det/images/normal_train/00194439.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,53,53,Det/images/normal_train/00573003.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,54,54,Det/images/normal_train/01245458.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,55,55,Det/images/normal_train/00240267.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,56,56,Det/images/normal_train/00967586.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,57,57,Det/images/normal_train/00746445.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,58,58,Det/images/normal_train/01139457.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,59,59,Det/images/normal_train/00533860.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,60,60,Det/images/normal_train/00626220.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,61,61,Det/images/normal_train/00483397.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,62,62,Det/images/normal_train/00338848.png,0,normal_replay
TREATMENT_GAPCRITICAL_NESTED,63,63,Det/images/normal_train/00240563.png,0,normal_replay
