run_slot,triad_id,condition_id,arm,training_seed,selection_seed,rank,sample_id,y_true,oof_fold,dynamic_bucket,mean_p_defect,correct_rate,std_p_defect,replay_role,source_method
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,1,Det/images/normal_train/01243608.png,0,00,easy_clean,0.0003933185,1.0,0.0034104656,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,2,Det/images/normal_train/00247388.png,0,01,easy_clean,0.0131784519,1.0,0.0471971886,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,3,Det/images/normal_train/01095089.png,0,01,learnable_hard,0.1135053726,0.995,0.0844514007,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,4,Det/images/normal_train/00258712.png,0,02,learnable_hard,0.2974610755,0.905,0.1334403799,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,5,Det/images/normal_train/00780885.png,0,00,easy_clean,0.0010268283,1.0,0.0014434874,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,6,Det/images/normal_train/00574766.png,0,03,learnable_hard,0.103469932,0.99,0.1245767447,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,7,Det/images/normal_train/01258566.png,0,03,ordinary,0.0910618305,1.0,0.0896899391,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,8,Det/images/normal_train/00559178.png,0,03,easy_clean,0.0101938354,1.0,0.0208009462,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,9,Det/images/normal_train/00342665.png,0,02,easy_clean,0.0237779424,1.0,0.039819891,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,10,Det/images/normal_train/00252481.png,0,08,easy_clean,0.0023969355,1.0,0.0034091542,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,11,Det/images/normal_train/01239839.png,0,04,easy_clean,0.0002785085,1.0,0.0005478696,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,12,Det/images/normal_train/01256747.png,0,02,easy_clean,0.0121388541,1.0,0.0223169991,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,13,Det/images/normal_train/00938559.png,0,08,easy_clean,4.0372e-05,1.0,7.33353e-05,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,14,Det/images/normal_train/00967134.png,0,04,learnable_hard,0.1695946812,0.98,0.143864081,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,15,Det/images/normal_train/00636825.png,0,08,easy_clean,0.0628046624,1.0,0.0505790024,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,16,Det/images/normal_train/00690406.png,0,03,learnable_hard,0.0083455119,0.995,0.0508748748,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,17,Det/images/normal_train/00314055.png,0,05,easy_clean,0.0098613524,1.0,0.0131983134,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,18,Det/images/normal_train/00251329.png,0,04,easy_clean,0.0048118116,1.0,0.0190697065,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,19,Det/images/normal_train/01261642.png,0,00,easy_clean,0.0855276416,1.0,0.0440407462,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,20,Det/images/normal_train/00877438.png,0,04,learnable_hard,0.0366729421,0.985,0.1156751564,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,21,Det/images/normal_train/00217131.png,0,07,easy_clean,0.0383763441,1.0,0.0412789854,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,22,Det/images/normal_train/01047006.png,0,07,learnable_hard,0.3231998957,0.92,0.1361735784,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,23,Det/images/normal_train/00626263.png,0,05,easy_clean,0.0049305494,1.0,0.00488614,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,24,Det/images/normal_train/00994038.png,0,04,learnable_hard,0.2104866267,0.99,0.0907736852,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,25,Det/images/normal_train/00814163.png,0,02,easy_clean,0.038379771,1.0,0.0495600858,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,26,Det/images/normal_train/00318774.png,0,01,easy_clean,0.0559248177,1.0,0.0566899702,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,27,Det/images/normal_train/00864057.png,0,07,learnable_hard,0.2855917268,0.66,0.2335234979,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,28,Det/images/normal_train/01074870.png,0,04,easy_clean,0.0176236538,1.0,0.0251514834,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,29,Det/images/normal_train/01265628.png,0,08,ordinary,0.2472408829,0.855,0.2273170024,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,30,Det/images/normal_train/00938930.png,0,08,learnable_hard,0.2750515503,0.93,0.1715425189,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,31,Det/images/normal_train/01148857.png,0,04,learnable_hard,0.2283662094,0.805,0.229080166,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,32,Det/images/normal_train/01200277.png,0,04,learnable_hard,0.1644255644,0.99,0.1087921756,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,33,Det/images/normal_train/00762291.png,0,06,easy_clean,0.0515711426,1.0,0.071701252,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,34,Det/images/normal_train/01159165.png,0,04,learnable_hard,0.0501732134,0.99,0.0816069297,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,35,Det/images/normal_train/00212087.png,0,05,easy_clean,0.0083325346,1.0,0.0105692536,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,36,Det/images/normal_train/01156168.png,0,00,easy_clean,0.0257675479,1.0,0.0335232908,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,37,Det/images/normal_train/01105791.png,0,05,easy_clean,0.0064770001,1.0,0.0050204992,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,38,Det/images/normal_train/01189112.png,0,05,learnable_hard,0.2073699219,0.955,0.1597990616,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,39,Det/images/normal_train/00977968.png,0,09,ordinary,0.3786622013,0.67,0.2149086252,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,40,Det/images/normal_train/00529013.png,0,03,easy_clean,0.0002845442,1.0,0.001447988,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,41,Det/images/normal_train/00445624.png,0,08,learnable_hard,0.0308146287,0.995,0.0677082774,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,42,Det/images/normal_train/01026982.png,0,07,easy_clean,0.0019445913,1.0,0.0030365768,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,43,Det/images/normal_train/00995491.png,0,05,easy_clean,0.0045346493,1.0,0.0060343315,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,44,Det/images/normal_train/00529974.png,0,03,easy_clean,0.0006567167,1.0,0.0014471903,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,45,Det/images/normal_train/00539653.png,0,06,easy_clean,0.0217254137,1.0,0.0302369451,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,46,Det/images/normal_train/00185706.png,0,00,easy_clean,0.0042031104,1.0,0.0052159149,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,47,Det/images/normal_train/00295144.png,0,03,easy_clean,0.0733128794,0.995,0.0554952868,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,48,Det/images/normal_train/00296916.png,0,01,easy_clean,0.0008448301,1.0,0.0022149477,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,49,Det/images/normal_train/01137274.png,0,03,learnable_hard,0.0198417453,0.995,0.0645819443,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,50,Det/images/normal_train/01031554.png,0,09,easy_clean,0.0087473884,1.0,0.0111947819,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,51,Det/images/normal_train/00331636.png,0,02,easy_clean,0.0017952465,1.0,0.002750297,normal_replay,Confidence-Clean
RUN_047,TRIAD_016,A06_Confidence-Clean_B3000,R1,1829910790,1134291800,52,Det/images/normal_train/00350796.png,0,04,ordinary,0.1126715772,1.0,0.0494339497,normal_replay,Confidence-Clean
