"view_relative_path","setting","smoke_tag","split","class_name","file_name","source_relative_path_original","source_relative_path_resolved","resolution_mode","source_exists_in_base_dataset"
"weighted_hn14_risk_consistency\train\Abnormal\00000004.png","weighted_hn14_risk_consistency","","train","Abnormal","00000004.png","train\\Abnormal\\00000004.png","train\\Abnormal\\00000004.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000043.png","weighted_hn14_risk_consistency","","train","Abnormal","00000043.png","train\\Abnormal\\00000043.png","train\\Abnormal\\00000043.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000078.png","weighted_hn14_risk_consistency","","train","Abnormal","00000078.png","train\\Abnormal\\00000078.png","train\\Abnormal\\00000078.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000079.png","weighted_hn14_risk_consistency","","train","Abnormal","00000079.png","train\\Abnormal\\00000079.png","train\\Abnormal\\00000079.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000082.png","weighted_hn14_risk_consistency","","train","Abnormal","00000082.png","train\\Abnormal\\00000082.png","train\\Abnormal\\00000082.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000085.png","weighted_hn14_risk_consistency","","train","Abnormal","00000085.png","train\\Abnormal\\00000085.png","train\\Abnormal\\00000085.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000086.png","weighted_hn14_risk_consistency","","train","Abnormal","00000086.png","train\\Abnormal\\00000086.png","train\\Abnormal\\00000086.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000087.png","weighted_hn14_risk_consistency","","train","Abnormal","00000087.png","train\\Abnormal\\00000087.png","train\\Abnormal\\00000087.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000088.png","weighted_hn14_risk_consistency","","train","Abnormal","00000088.png","train\\Abnormal\\00000088.png","train\\Abnormal\\00000088.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000089.png","weighted_hn14_risk_consistency","","train","Abnormal","00000089.png","train\\Abnormal\\00000089.png","train\\Abnormal\\00000089.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000090.png","weighted_hn14_risk_consistency","","train","Abnormal","00000090.png","train\\Abnormal\\00000090.png","train\\Abnormal\\00000090.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000091.png","weighted_hn14_risk_consistency","","train","Abnormal","00000091.png","train\\Abnormal\\00000091.png","train\\Abnormal\\00000091.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000101.png","weighted_hn14_risk_consistency","","train","Abnormal","00000101.png","train\\Abnormal\\00000101.png","train\\Abnormal\\00000101.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000144.png","weighted_hn14_risk_consistency","","train","Abnormal","00000144.png","train\\Abnormal\\00000144.png","train\\Abnormal\\00000144.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000153.png","weighted_hn14_risk_consistency","","train","Abnormal","00000153.png","train\\Abnormal\\00000153.png","train\\Abnormal\\00000153.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000266.png","weighted_hn14_risk_consistency","","train","Abnormal","00000266.png","train\\Abnormal\\00000266.png","train\\Abnormal\\00000266.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000301.png","weighted_hn14_risk_consistency","","train","Abnormal","00000301.png","train\\Abnormal\\00000301.png","train\\Abnormal\\00000301.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000305.png","weighted_hn14_risk_consistency","","train","Abnormal","00000305.png","train\\Abnormal\\00000305.png","train\\Abnormal\\00000305.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000321.png","weighted_hn14_risk_consistency","","train","Abnormal","00000321.png","train\\Abnormal\\00000321.png","train\\Abnormal\\00000321.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000322.png","weighted_hn14_risk_consistency","","train","Abnormal","00000322.png","train\\Abnormal\\00000322.png","train\\Abnormal\\00000322.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000353.png","weighted_hn14_risk_consistency","","train","Abnormal","00000353.png","train\\Abnormal\\00000353.png","train\\Abnormal\\00000353.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000357.png","weighted_hn14_risk_consistency","","train","Abnormal","00000357.png","train\\Abnormal\\00000357.png","train\\Abnormal\\00000357.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000360.png","weighted_hn14_risk_consistency","","train","Abnormal","00000360.png","train\\Abnormal\\00000360.png","train\\Abnormal\\00000360.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000368.png","weighted_hn14_risk_consistency","","train","Abnormal","00000368.png","train\\Abnormal\\00000368.png","train\\Abnormal\\00000368.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000409.png","weighted_hn14_risk_consistency","","train","Abnormal","00000409.png","train\\Abnormal\\00000409.png","train\\Abnormal\\00000409.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000416.png","weighted_hn14_risk_consistency","","train","Abnormal","00000416.png","train\\Abnormal\\00000416.png","train\\Abnormal\\00000416.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000477.png","weighted_hn14_risk_consistency","","train","Abnormal","00000477.png","train\\Abnormal\\00000477.png","train\\Abnormal\\00000477.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000500.png","weighted_hn14_risk_consistency","","train","Abnormal","00000500.png","train\\Abnormal\\00000500.png","train\\Abnormal\\00000500.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000505.png","weighted_hn14_risk_consistency","","train","Abnormal","00000505.png","train\\Abnormal\\00000505.png","train\\Abnormal\\00000505.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000525.png","weighted_hn14_risk_consistency","","train","Abnormal","00000525.png","train\\Abnormal\\00000525.png","train\\Abnormal\\00000525.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000607.png","weighted_hn14_risk_consistency","","train","Abnormal","00000607.png","train\\Abnormal\\00000607.png","train\\Abnormal\\00000607.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000658.png","weighted_hn14_risk_consistency","","train","Abnormal","00000658.png","train\\Abnormal\\00000658.png","train\\Abnormal\\00000658.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000755.png","weighted_hn14_risk_consistency","","train","Abnormal","00000755.png","train\\Abnormal\\00000755.png","train\\Abnormal\\00000755.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000763.png","weighted_hn14_risk_consistency","","train","Abnormal","00000763.png","train\\Abnormal\\00000763.png","train\\Abnormal\\00000763.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000772.png","weighted_hn14_risk_consistency","","train","Abnormal","00000772.png","train\\Abnormal\\00000772.png","train\\Abnormal\\00000772.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000803.png","weighted_hn14_risk_consistency","","train","Abnormal","00000803.png","train\\Abnormal\\00000803.png","train\\Abnormal\\00000803.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000875.png","weighted_hn14_risk_consistency","","train","Abnormal","00000875.png","train\\Abnormal\\00000875.png","train\\Abnormal\\00000875.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000942.png","weighted_hn14_risk_consistency","","train","Abnormal","00000942.png","train\\Abnormal\\00000942.png","train\\Abnormal\\00000942.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00000953.png","weighted_hn14_risk_consistency","","train","Abnormal","00000953.png","train\\Abnormal\\00000953.png","train\\Abnormal\\00000953.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00001061.png","weighted_hn14_risk_consistency","","train","Abnormal","00001061.png","train\\Abnormal\\00001061.png","train\\Abnormal\\00001061.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00001150.png","weighted_hn14_risk_consistency","","train","Abnormal","00001150.png","train\\Abnormal\\00001150.png","train\\Abnormal\\00001150.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00001163.png","weighted_hn14_risk_consistency","","train","Abnormal","00001163.png","train\\Abnormal\\00001163.png","train\\Abnormal\\00001163.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00001213.png","weighted_hn14_risk_consistency","","train","Abnormal","00001213.png","train\\Abnormal\\00001213.png","train\\Abnormal\\00001213.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00001340.png","weighted_hn14_risk_consistency","","train","Abnormal","00001340.png","train\\Abnormal\\00001340.png","train\\Abnormal\\00001340.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00001453.png","weighted_hn14_risk_consistency","","train","Abnormal","00001453.png","train\\Abnormal\\00001453.png","train\\Abnormal\\00001453.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00001584.png","weighted_hn14_risk_consistency","","train","Abnormal","00001584.png","train\\Abnormal\\00001584.png","train\\Abnormal\\00001584.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00001604.png","weighted_hn14_risk_consistency","","train","Abnormal","00001604.png","train\\Abnormal\\00001604.png","train\\Abnormal\\00001604.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00001717.png","weighted_hn14_risk_consistency","","train","Abnormal","00001717.png","train\\Abnormal\\00001717.png","train\\Abnormal\\00001717.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00001718.png","weighted_hn14_risk_consistency","","train","Abnormal","00001718.png","train\\Abnormal\\00001718.png","train\\Abnormal\\00001718.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00001755.png","weighted_hn14_risk_consistency","","train","Abnormal","00001755.png","train\\Abnormal\\00001755.png","train\\Abnormal\\00001755.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002046.png","weighted_hn14_risk_consistency","","train","Abnormal","00002046.png","train\\Abnormal\\00002046.png","train\\Abnormal\\00002046.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002197.png","weighted_hn14_risk_consistency","","train","Abnormal","00002197.png","train\\Abnormal\\00002197.png","train\\Abnormal\\00002197.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002198.png","weighted_hn14_risk_consistency","","train","Abnormal","00002198.png","train\\Abnormal\\00002198.png","train\\Abnormal\\00002198.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002305.png","weighted_hn14_risk_consistency","","train","Abnormal","00002305.png","train\\Abnormal\\00002305.png","train\\Abnormal\\00002305.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002358.png","weighted_hn14_risk_consistency","","train","Abnormal","00002358.png","train\\Abnormal\\00002358.png","train\\Abnormal\\00002358.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002359.png","weighted_hn14_risk_consistency","","train","Abnormal","00002359.png","train\\Abnormal\\00002359.png","train\\Abnormal\\00002359.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002427.png","weighted_hn14_risk_consistency","","train","Abnormal","00002427.png","train\\Abnormal\\00002427.png","train\\Abnormal\\00002427.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002475.png","weighted_hn14_risk_consistency","","train","Abnormal","00002475.png","train\\Abnormal\\00002475.png","train\\Abnormal\\00002475.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002517.png","weighted_hn14_risk_consistency","","train","Abnormal","00002517.png","train\\Abnormal\\00002517.png","train\\Abnormal\\00002517.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002518.png","weighted_hn14_risk_consistency","","train","Abnormal","00002518.png","train\\Abnormal\\00002518.png","train\\Abnormal\\00002518.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002519.png","weighted_hn14_risk_consistency","","train","Abnormal","00002519.png","train\\Abnormal\\00002519.png","train\\Abnormal\\00002519.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002567.png","weighted_hn14_risk_consistency","","train","Abnormal","00002567.png","train\\Abnormal\\00002567.png","train\\Abnormal\\00002567.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002622.png","weighted_hn14_risk_consistency","","train","Abnormal","00002622.png","train\\Abnormal\\00002622.png","train\\Abnormal\\00002622.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002652.png","weighted_hn14_risk_consistency","","train","Abnormal","00002652.png","train\\Abnormal\\00002652.png","train\\Abnormal\\00002652.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002693.png","weighted_hn14_risk_consistency","","train","Abnormal","00002693.png","train\\Abnormal\\00002693.png","train\\Abnormal\\00002693.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002694.png","weighted_hn14_risk_consistency","","train","Abnormal","00002694.png","train\\Abnormal\\00002694.png","train\\Abnormal\\00002694.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002698.png","weighted_hn14_risk_consistency","","train","Abnormal","00002698.png","train\\Abnormal\\00002698.png","train\\Abnormal\\00002698.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002700.png","weighted_hn14_risk_consistency","","train","Abnormal","00002700.png","train\\Abnormal\\00002700.png","train\\Abnormal\\00002700.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002701.png","weighted_hn14_risk_consistency","","train","Abnormal","00002701.png","train\\Abnormal\\00002701.png","train\\Abnormal\\00002701.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00002921.png","weighted_hn14_risk_consistency","","train","Abnormal","00002921.png","train\\Abnormal\\00002921.png","train\\Abnormal\\00002921.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00003000.png","weighted_hn14_risk_consistency","","train","Abnormal","00003000.png","train\\Abnormal\\00003000.png","train\\Abnormal\\00003000.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00003010.png","weighted_hn14_risk_consistency","","train","Abnormal","00003010.png","train\\Abnormal\\00003010.png","train\\Abnormal\\00003010.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00003116.png","weighted_hn14_risk_consistency","","train","Abnormal","00003116.png","train\\Abnormal\\00003116.png","train\\Abnormal\\00003116.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00003129.png","weighted_hn14_risk_consistency","","train","Abnormal","00003129.png","train\\Abnormal\\00003129.png","train\\Abnormal\\00003129.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00003206.png","weighted_hn14_risk_consistency","","train","Abnormal","00003206.png","train\\Abnormal\\00003206.png","train\\Abnormal\\00003206.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00003213.png","weighted_hn14_risk_consistency","","train","Abnormal","00003213.png","train\\Abnormal\\00003213.png","train\\Abnormal\\00003213.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00003238.png","weighted_hn14_risk_consistency","","train","Abnormal","00003238.png","train\\Abnormal\\00003238.png","train\\Abnormal\\00003238.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00003319.png","weighted_hn14_risk_consistency","","train","Abnormal","00003319.png","train\\Abnormal\\00003319.png","train\\Abnormal\\00003319.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00003352.png","weighted_hn14_risk_consistency","","train","Abnormal","00003352.png","train\\Abnormal\\00003352.png","train\\Abnormal\\00003352.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00003370.png","weighted_hn14_risk_consistency","","train","Abnormal","00003370.png","train\\Abnormal\\00003370.png","train\\Abnormal\\00003370.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00003402.png","weighted_hn14_risk_consistency","","train","Abnormal","00003402.png","train\\Abnormal\\00003402.png","train\\Abnormal\\00003402.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00003471.png","weighted_hn14_risk_consistency","","train","Abnormal","00003471.png","train\\Abnormal\\00003471.png","train\\Abnormal\\00003471.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00003698.png","weighted_hn14_risk_consistency","","train","Abnormal","00003698.png","train\\Abnormal\\00003698.png","train\\Abnormal\\00003698.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00003713.png","weighted_hn14_risk_consistency","","train","Abnormal","00003713.png","train\\Abnormal\\00003713.png","train\\Abnormal\\00003713.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00003744.png","weighted_hn14_risk_consistency","","train","Abnormal","00003744.png","train\\Abnormal\\00003744.png","train\\Abnormal\\00003744.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00003745.png","weighted_hn14_risk_consistency","","train","Abnormal","00003745.png","train\\Abnormal\\00003745.png","train\\Abnormal\\00003745.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00003746.png","weighted_hn14_risk_consistency","","train","Abnormal","00003746.png","train\\Abnormal\\00003746.png","train\\Abnormal\\00003746.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00004213.png","weighted_hn14_risk_consistency","","train","Abnormal","00004213.png","train\\Abnormal\\00004213.png","train\\Abnormal\\00004213.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00004264.png","weighted_hn14_risk_consistency","","train","Abnormal","00004264.png","train\\Abnormal\\00004264.png","train\\Abnormal\\00004264.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00004545.png","weighted_hn14_risk_consistency","","train","Abnormal","00004545.png","train\\Abnormal\\00004545.png","train\\Abnormal\\00004545.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00004782.png","weighted_hn14_risk_consistency","","train","Abnormal","00004782.png","train\\Abnormal\\00004782.png","train\\Abnormal\\00004782.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00004783.png","weighted_hn14_risk_consistency","","train","Abnormal","00004783.png","train\\Abnormal\\00004783.png","train\\Abnormal\\00004783.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00004907.png","weighted_hn14_risk_consistency","","train","Abnormal","00004907.png","train\\Abnormal\\00004907.png","train\\Abnormal\\00004907.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00004946.png","weighted_hn14_risk_consistency","","train","Abnormal","00004946.png","train\\Abnormal\\00004946.png","train\\Abnormal\\00004946.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00004952.png","weighted_hn14_risk_consistency","","train","Abnormal","00004952.png","train\\Abnormal\\00004952.png","train\\Abnormal\\00004952.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00004979.png","weighted_hn14_risk_consistency","","train","Abnormal","00004979.png","train\\Abnormal\\00004979.png","train\\Abnormal\\00004979.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00005124.png","weighted_hn14_risk_consistency","","train","Abnormal","00005124.png","train\\Abnormal\\00005124.png","train\\Abnormal\\00005124.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00005126.png","weighted_hn14_risk_consistency","","train","Abnormal","00005126.png","train\\Abnormal\\00005126.png","train\\Abnormal\\00005126.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00005127.png","weighted_hn14_risk_consistency","","train","Abnormal","00005127.png","train\\Abnormal\\00005127.png","train\\Abnormal\\00005127.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00005445.png","weighted_hn14_risk_consistency","","train","Abnormal","00005445.png","train\\Abnormal\\00005445.png","train\\Abnormal\\00005445.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00005457.png","weighted_hn14_risk_consistency","","train","Abnormal","00005457.png","train\\Abnormal\\00005457.png","train\\Abnormal\\00005457.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00005489.png","weighted_hn14_risk_consistency","","train","Abnormal","00005489.png","train\\Abnormal\\00005489.png","train\\Abnormal\\00005489.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00005682.png","weighted_hn14_risk_consistency","","train","Abnormal","00005682.png","train\\Abnormal\\00005682.png","train\\Abnormal\\00005682.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00005697.png","weighted_hn14_risk_consistency","","train","Abnormal","00005697.png","train\\Abnormal\\00005697.png","train\\Abnormal\\00005697.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00005731.png","weighted_hn14_risk_consistency","","train","Abnormal","00005731.png","train\\Abnormal\\00005731.png","train\\Abnormal\\00005731.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00005741.png","weighted_hn14_risk_consistency","","train","Abnormal","00005741.png","train\\Abnormal\\00005741.png","train\\Abnormal\\00005741.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00005756.png","weighted_hn14_risk_consistency","","train","Abnormal","00005756.png","train\\Abnormal\\00005756.png","train\\Abnormal\\00005756.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00005879.png","weighted_hn14_risk_consistency","","train","Abnormal","00005879.png","train\\Abnormal\\00005879.png","train\\Abnormal\\00005879.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00005931.png","weighted_hn14_risk_consistency","","train","Abnormal","00005931.png","train\\Abnormal\\00005931.png","train\\Abnormal\\00005931.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00005986.png","weighted_hn14_risk_consistency","","train","Abnormal","00005986.png","train\\Abnormal\\00005986.png","train\\Abnormal\\00005986.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006045.png","weighted_hn14_risk_consistency","","train","Abnormal","00006045.png","train\\Abnormal\\00006045.png","train\\Abnormal\\00006045.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006048.png","weighted_hn14_risk_consistency","","train","Abnormal","00006048.png","train\\Abnormal\\00006048.png","train\\Abnormal\\00006048.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006099.png","weighted_hn14_risk_consistency","","train","Abnormal","00006099.png","train\\Abnormal\\00006099.png","train\\Abnormal\\00006099.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006100.png","weighted_hn14_risk_consistency","","train","Abnormal","00006100.png","train\\Abnormal\\00006100.png","train\\Abnormal\\00006100.png","direct","True"
"weighted_hn14_risk_consistency\train\Abnormal\00006279.png","weighted_hn14_risk_consistency","","train","Abnormal","00006279.png","train\\Abnormal\\00006279.png","train\\Abnormal\\00006279.png","direct","True"
