finding_id,severity,title,expert_locations,impact,impact_supplied,expert_evidence,expert_evidence_supplied,expert_required_fix,source_json,source_line,v3_status,v3_source_refs,local_reproduction,observed_result,remaining_risk,required_action
P0-01,P0,K-fold OOF 被错误建模为 sample×epoch×(seed×fold) 完整立方体,src/stage1_replay/data/oof.py:171-199; tests/conftest.py:36-42; tests/test_oof_mmap_conversion.py:14-30,标准 K-fold OOF 中每个样本只由其 held-out fold 模型产生预测。把 fold 拼入全局 trajectory_id 会制造结构性缺失；strict 模式拒绝真实数据，allow_missing 又会把缺失轨迹污染为未学习/不可靠。,true,2 folds×2 seeds 的标准 OOF 复现产生 50% 结构性缺失；默认可靠性逻辑排除全部 4 个样本。,true,trajectory 轴只表示真正重复的 OOF repetition/seed/model；fold 作为每样本 assignment 元数据。验证每个预测来自未训练过该样本的模型，并新增真实 K-fold 单测。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,35,PARTIALLY_MITIGATED,stage1_dynamic_replay_v3/oof_reference.py:104-140;stage1_dynamic_replay_v3/oof_reference.py:178-199,local_v3_p0_20260809/V3_P0_REPRODUCTION.json:p0_01_oof,v3 uses one held-out row per sample instead of a fold Cartesian cube but accepts contradictory path-fold metadata.,The producing model is not cryptographically proven to exclude the sample from training.,Bind sample fold assignment to checkpoint and training-member exclusion manifests and reject row-path-model contradictions.
P0-02,P0,训练后优先使用 best.pt，但 Ultralytics 分类 fitness 与业务目标不一致,src/stage1_replay/training/runner.py:42-48; src/stage1_replay/training/ultralytics_backend.py:141-147,默认 best.pt 由分类 top-1/top-5 fitness 决定，不是 TN_at_FN95/FN_at_TN68253；不同 arm 可能因此按错误目标选择不同 epoch，破坏公平比较。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,预注册固定 final epoch 并统一用 last.pt，或保存所有 epoch 后仅在独立 val_model 上按冻结业务规则选 epoch；记录 selected_epoch、criterion、checkpoint SHA。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,48,CONFIRMED_ABSENT,stage1_dynamic_replay_v3/matrix.py:28-31;stage1_dynamic_replay_v3/ultralytics_overlay.py:384-390,local_v3_p0_20260809/V3_P0_REPRODUCTION.json:p0_02_checkpoint,The primary endpoint is fixed to epoch 200 and the overlay commits self.last rather than best.pt.,A released worker still needs to bind every evaluated checkpoint SHA to the logical run.,Keep epoch 200 as the sole primary endpoint and publish immutable checkpoint lineage.
P0-03,P0,val_op 同时用于 Critical-CLD/目标梯度构造和工作阈值选择,src/stage1_replay/dynamics/critical.py:37-55; docs/METHODS_AND_LITERATURE.md:182+; docs/RUNBOOK_WINDOWS.md:65,方法本身已经适配了 val_op 标签/分数，之后又在同一集合选择 operating threshold，导致方法构造与阈值调优共享监督信号。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,新增独立 val_target/val_study；Critical-CLD/gradient alignment 只能使用该集合。val_op 仅用于冻结两个工作点。若必须拆现有数据，按 video/pipe/source 分组拆分。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,59,PARTIALLY_MITIGATED,stage1_dynamic_replay_v3/evaluation.py:21-23;stage1_dynamic_replay_v3/ultralytics_overlay.py:44-50,local_v3_p0_20260809/V3_P0_REPRODUCTION.json:p0_03_data_roles,The leaking CLD and alignment methods are absent and val_model is separate from val_op.,There is no independent val_target for the future A mechanism.,Create group-disjoint val_target before implementing target alignment and keep val_op threshold-only.
P0-04,P0,默认 canonical_source=test_oracle_curve，存在 test 自适应复用,"configs/project_learnability.example.yaml:107-112; src/stage1_replay/eval/pipeline.py:36,70-85; src/stage1_replay/cli.py:235; src/stage1_replay/experiment/run.py:97",若用 canonical test oracle 在 7/11 个方法、3 个预算和多个 seed 中筛赢家，最终 test 变成开发集，结论乐观偏倚。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,canonical 必须是开发阶段的 val_model/val_study 结果；最终 test 只在方法、预算、规则和阈值完全冻结后运行一次。test oracle 只能标注为 analysis-only，不能进入选优表。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,71,CONFIRMED_ABSENT,stage1_dynamic_replay_v3/ultralytics_overlay.py:131-140;stage1_dynamic_replay_v3/matrix.py:28-31,local_v3_p0_20260809/V3_P0_REPRODUCTION.json:p0_04_test_oracle,No test oracle is referenced by the current runtime and formal jobs are held.,The sealed-test access gate is not yet an end-to-end release artifact.,Require an immutable one-time blind-holdout authorization after method freeze.
P0-05,P0,新评估管线用一个冻结阈值同时填两个不同业务指标,src/stage1_replay/eval/pipeline.py:46-75; src/stage1_replay/evaluation.py:41-52,TN_at_FN95 与 FN_at_TN68253 对应两个独立约束问题，一般需要两个阈值。单阈值会把第二个指标计算成“FN 限制阈值下的 FN”，不等于目标定义。,true,"差分复现显示两阈值不同；旧 evaluation.py 反而正确保存两套阈值。曲线枚举本身通过 4,860 个随机/极端/tie 用例。",true,分别在 val_op 冻结 threshold_fn95 和 threshold_tn68253，并在 test 分别应用。输出两个 confusion matrix 和阈值来源。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,84,CONFIRMED_ABSENT,stage1_dynamic_replay_v3/evaluation.py:141-165,local_v3_p0_20260809/V3_P0_REPRODUCTION.json:p0_05_dual_threshold,FN-constrained TN and TN-constrained FN are computed from independent feasible candidate sets.,The target-TN threshold and tie group are not yet retained in a dedicated endpoint record.,Persist both thresholds and both confusion matrices with their independent derivations.
P0-06,P0,Critical-CLD 两套实现不一致，且旧路径跨 trajectory 边界计算 loss drop,"src/stage1_replay/dynamics/critical.py:80,94-123; src/stage1_replay/features/alignment.py:211-283",旧实现先按 epoch 汇总 target、按 sample 排序后 shift，忽略 seed/fold/model matching；同一样本多轨迹时可跨轨迹做差。新实现又先跨 trajectory 取 median，仍非原论文的 matched-trajectory 做法。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,保留一个 canonical 实现：每个 matched seed/model trajectory 内计算样本 loss difference 与独立 target 的 class-specific/critical loss difference 相关，再跨 trajectory 聚合；保留 anti-CLD 控制。明确命名 FN95-Critical-CLD adaptation。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,96,NOT_APPLICABLE_CAPABILITY_ABSENT,stage1_dynamic_replay_v3/matrix.py:52-109,local_v3_p0_20260809/V3_P0_REPRODUCTION.json:p0_06_cld,Current v3 contains no CLD or target-gradient arm so the reviewed cross-trajectory bug is absent.,The required A mechanism is also absent.,Implement one matched-trajectory FN95 target-direction path only after val_target is frozen.
P0-07,P0,正式大矩阵当前为 NO-GO,repository-wide,当前测试自洽不等于真实协议正确；实际 K-fold OOF、Ultralytics GPU/DDP、实际曝光账本、checkpoint 目标和数据角色隔离均未被验证。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,完成本报告 GO checklist 的全部阻断项后，先跑 1-epoch 单卡与 DDP parity smoke，再允许正式实验。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,107,CONFIRMED_PRESENT,stage1_dynamic_replay_v3/matrix.py:120-128,local_v3_p0_20260809/V3_P0_REPRODUCTION.json:p0_07_matrix,The 236-run matrix is internally consistent but all jobs are HELD and the matrix is scientifically superseded.,Running it would spend compute on RHO-only questions without Q A D or R2.,Replace it with the literature-backed staged Q/R/A/D matrix after evidence synthesis and canary gates.
H-01,High,核心功能存在重复且可能分叉的实现,dynamics/features vs features/dynamics; metrics.py vs eval/*; calibration.py vs eval/calibration.py; training/ultralytics_adapter.py vs ultralytics_backend.py; statistics.py vs stats/*,同一命令/配置可能走不同语义，修复一处不等于修复全部。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,确定唯一 canonical path，legacy 明确弃用；为两路径建立 equivalence tests，之后删除重复实现。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,117,PARTIALLY_MITIGATED,stage1_dynamic_replay_v3/runtime_controller.py:13-23;stage1_dynamic_replay_v3/matrix.py:52-109,STATIC_SOURCE_AUDIT_20260809,v3 has one online controller surface and one enumerated policy matrix rather than duplicate CLD feature paths.,The missing expert source prevents equivalence review and the final canonical Q/R/A/D pipeline is not built.,Keep one versioned implementation per mechanism and add equivalence tests before retiring any legacy path.
H-02,High,计划曝光数不等于 DDP 中实际 optimizer-visible 曝光数,src/stage1_replay/selection/schedule.py:218-236; Ultralytics/PyTorch distributed sampler integration,DistributedSampler(drop_last=False) 会补索引以整除 replica 数；resume/partial epoch 也可改变实际消费量，使 T/R1/R2 预算不完全相等。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,实现 exact distributed sampler 或每 rank、每 batch 的 sample_id 实际消费账本；同时报告 logical schedule 与 actual optimizer-visible exposures。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,131,PARTIALLY_MITIGATED,stage1_dynamic_replay_v3/trajectory.py:79-188;stage1_dynamic_replay_v3/ultralytics_overlay.py:201-206,tests/stage1_dynamic_replay_v3/test_trajectory.py:28-47,v3 records optimizer-visible sample identity per batch and formally forbids multi-GPU execution.,Actual-exposure parity has not been demonstrated on a real GPU canary and no DDP contract exists.,Keep formal jobs single GPU and validate actual exposure on real canaries before release.
H-03,High,依赖版本过宽，且 optimizer:auto 破坏科学冻结,pyproject.toml:13-39; configs/project_learnability.example.yaml:74-90; configs/frozen_stage1.example.yaml:14-28,Ultralytics 内部 API 高频变化；auto optimizer 可能忽略/重解释 lr、momentum，并随版本/模型变化。,true,NOT_SUPPLIED_IN_EXPERT_JSON,false,冻结 Python/PyTorch/CUDA/cuDNN/Ultralytics 精确版本或容器 digest；显式 optimizer/lr/momentum；保存 resolved args、param groups 和环境哈希。,artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/01_field_audit/expert_review_reproductions/source_evidence_v1/Stage1_BudgetedReplay_v1.0.0_Findings.json,142,CONFIRMED_PRESENT,pyproject.toml:6-25;stage1_dynamic_replay_v3/ultralytics_overlay.py:395-396,STATIC_DEPENDENCY_AUDIT_20260809,Torch torchvision and several core dependencies are not exactly pinned and resolved optimizer settings are not persisted here.,Different machines can resolve scientifically different environments or optimizer behavior.,Freeze exact environment or container digest and persist resolved optimizer parameter groups and training arguments.
