row_id,img_id,split,gt_label,gt_index,img_rel_path,img_path,pred_label,pred_index,correct,top5_correct,top1_prob,top2_label,top2_prob,top3_label,top3_prob,margin,entropy,entropy_norm,p_normal,p_abnormal,abnormal_conf,width,height,aspect_ratio,embedding_index,top5_labels_json,top5_probs_json,probs_json
602,00002200,val,Normal,1,val/Normal/00002200.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\val\Normal\00002200.png,Abnormal,0,0,1,0.9999227523803711,Normal,7.719687710050493e-05,Normal,7.719687710050493e-05,0.9998455555032706,0.000808233564700833,0.0011660345556739008,7.719687710050493e-05,0.9999228031228995,0.9999228031228995,720,576,1.25,602,"[""Abnormal"", ""Normal""]","[0.9999227523803711, 7.719687710050493e-05]","{""Abnormal"": 0.9999227523803711, ""Normal"": 7.719687710050493e-05}"
604,00016640,val,Normal,1,val/Normal/00016640.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\val\Normal\00016640.png,Abnormal,0,0,1,0.9990515112876892,Normal,0.0009485295740887523,Normal,0.0009485295740887523,0.9981029817136005,0.007550371421319698,0.010892883406407683,0.0009485295740887523,0.9990514704259112,0.9990514704259112,720,576,1.25,604,"[""Abnormal"", ""Normal""]","[0.9990515112876892, 0.0009485295740887523]","{""Abnormal"": 0.9990515112876892, ""Normal"": 0.0009485295740887523}"
605,00020484,val,Normal,1,val/Normal/00020484.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\val\Normal\00020484.png,Abnormal,0,0,1,0.9969366788864136,Normal,0.0030633145943284035,Normal,0.0030633145943284035,0.9938733642920852,0.020789878783811527,0.029993455022087567,0.0030633145943284035,0.9969366854056716,0.9969366854056716,720,576,1.25,605,"[""Abnormal"", ""Normal""]","[0.9969366788864136, 0.0030633145943284035]","{""Abnormal"": 0.9969366788864136, ""Normal"": 0.0030633145943284035}"
607,00022696,val,Normal,1,val/Normal/00022696.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\val\Normal\00022696.png,Abnormal,0,0,1,0.9999978542327881,Normal,2.1208102225500625e-06,Normal,2.1208102225500625e-06,0.9999957334225655,2.9851419631207504e-05,4.306649506543852e-05,2.1208102225500625e-06,0.9999978791897774,0.9999978791897774,720,576,1.25,607,"[""Abnormal"", ""Normal""]","[0.9999978542327881, 2.1208102225500625e-06]","{""Abnormal"": 0.9999978542327881, ""Normal"": 2.1208102225500625e-06}"
614,00139300,val,Normal,1,val/Normal/00139300.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\val\Normal\00139300.png,Abnormal,0,0,1,0.9973272085189819,Normal,0.002672749338671565,Normal,0.002672749338671565,0.9946544591803104,0.018504314399524838,0.02669608261924472,0.002672749338671565,0.9973272506613284,0.9973272506613284,720,576,1.25,614,"[""Abnormal"", ""Normal""]","[0.9973272085189819, 0.002672749338671565]","{""Abnormal"": 0.9973272085189819, ""Normal"": 0.002672749338671565}"
615,00155501,val,Normal,1,val/Normal/00155501.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\val\Normal\00155501.png,Abnormal,0,0,1,0.999972939491272,Normal,2.706496525206603e-05,Normal,2.706496525206603e-05,0.9999458745260199,0.0003117097021785606,0.0004497020415299851,2.706496525206603e-05,0.9999729350347479,0.9999729350347479,720,576,1.25,615,"[""Abnormal"", ""Normal""]","[0.999972939491272, 2.706496525206603e-05]","{""Abnormal"": 0.999972939491272, ""Normal"": 2.706496525206603e-05}"
616,00161450,val,Normal,1,val/Normal/00161450.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\val\Normal\00161450.png,Abnormal,0,0,1,0.9976576566696167,Normal,0.0023423756938427687,Normal,0.0023423756938427687,0.9953152809757739,0.016526406191874222,0.0238425642567336,0.0023423756938427687,0.9976576243061572,0.9976576243061572,720,576,1.25,616,"[""Abnormal"", ""Normal""]","[0.9976576566696167, 0.0023423756938427687]","{""Abnormal"": 0.9976576566696167, ""Normal"": 0.0023423756938427687}"
627,00290825,val,Normal,1,val/Normal/00290825.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\val\Normal\00290825.png,Abnormal,0,0,1,0.9266520142555237,Normal,0.07334796339273453,Normal,0.07334796339273453,0.8533040508627892,0.26221425876071386,0.3782952107644573,0.07334796339273453,0.9266520366072655,0.9266520366072655,352,288,1.222222,627,"[""Abnormal"", ""Normal""]","[0.9266520142555237, 0.07334796339273453]","{""Abnormal"": 0.9266520142555237, ""Normal"": 0.07334796339273453}"
631,00315236,val,Normal,1,val/Normal/00315236.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\val\Normal\00315236.png,Abnormal,0,0,1,0.9950096607208252,Normal,0.004990327637642622,Normal,0.004990327637642622,0.9900193330831826,0.031427869359615536,0.045340831270823535,0.004990327637642622,0.9950096723623574,0.9950096723623574,352,288,1.222222,631,"[""Abnormal"", ""Normal""]","[0.9950096607208252, 0.004990327637642622]","{""Abnormal"": 0.9950096607208252, ""Normal"": 0.004990327637642622}"
641,00326802,val,Normal,1,val/Normal/00326802.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\val\Normal\00326802.png,Abnormal,0,0,1,0.9998748302459717,Normal,0.00012510144733823836,Normal,0.00012510144733823836,0.9997497287986334,0.0012493717612528602,0.0018024624441862114,0.00012510144733823836,0.9998748985526618,0.9998748985526618,352,288,1.222222,641,"[""Abnormal"", ""Normal""]","[0.9998748302459717, 0.00012510144733823836]","{""Abnormal"": 0.9998748302459717, ""Normal"": 0.00012510144733823836}"
