split,main,holdout,count
train,PF,BE,19
train,PF,RO,0
train,PF,IN,10
train,PF,FO,0
train,DE,BE,25
train,DE,RO,4
train,DE,IN,1
train,DE,FO,10
train,FS,BE,919
train,FS,RO,374
train,FS,IN,334
train,FS,FO,75
train,RB,BE,167
train,RB,RO,49
train,RB,IN,81
train,RB,FO,21
train,AF,BE,188
train,AF,RO,49
train,AF,IN,73
train,AF,FO,23
train,OB,BE,869
train,OB,RO,294
train,OB,IN,313
train,OB,FO,41
val_cal,PF,BE,3
val_cal,PF,RO,0
val_cal,PF,IN,2
val_cal,PF,FO,0
val_cal,DE,BE,5
val_cal,DE,RO,1
val_cal,DE,IN,0
val_cal,DE,FO,1
val_cal,FS,BE,109
val_cal,FS,RO,35
val_cal,FS,IN,50
val_cal,FS,FO,8
val_cal,RB,BE,22
val_cal,RB,RO,5
val_cal,RB,IN,13
val_cal,RB,FO,4
val_cal,AF,BE,24
val_cal,AF,RO,3
val_cal,AF,IN,12
val_cal,AF,FO,1
val_cal,OB,BE,108
val_cal,OB,RO,28
val_cal,OB,IN,49
val_cal,OB,FO,2
val_op,PF,BE,1
val_op,PF,RO,0
val_op,PF,IN,2
val_op,PF,FO,1
val_op,DE,BE,5
val_op,DE,RO,0
val_op,DE,IN,2
val_op,DE,FO,2
val_op,FS,BE,241
val_op,FS,RO,97
val_op,FS,IN,83
val_op,FS,FO,3
val_op,RB,BE,42
val_op,RB,RO,18
val_op,RB,IN,21
val_op,RB,FO,2
val_op,AF,BE,45
val_op,AF,RO,13
val_op,AF,IN,16
val_op,AF,FO,1
val_op,OB,BE,228
val_op,OB,RO,81
val_op,OB,IN,81
val_op,OB,FO,1
test,PF,BE,8
test,PF,RO,0
test,PF,IN,7
test,PF,FO,3
test,DE,BE,9
test,DE,RO,1
test,DE,IN,3
test,DE,FO,9
test,FS,BE,786
test,FS,RO,356
test,FS,IN,294
test,FS,FO,47
test,RB,BE,128
test,RB,RO,53
test,RB,IN,64
test,RB,FO,19
test,AF,BE,158
test,AF,RO,49
test,AF,IN,59
test,AF,FO,18
test,OB,BE,748
test,OB,RO,253
test,OB,IN,302
test,OB,FO,29
