rank_desc,img_rel_path,p_abnormal,in_top250,image_stub
1,train\Normal\00467510.png,0.978027,True,00467510
2,train\Normal\00329365.png,0.953613,True,00329365
3,train\Normal\00149587.png,0.923828,True,00149587
4,train\Normal\00130666.png,0.904297,True,00130666
5,train\Normal\00160652.png,0.898926,True,00160652
6,train\Normal\00144495.png,0.898438,True,00144495
7,train\Normal\00323059.png,0.89209,True,00323059
8,train\Normal\00505638.png,0.886719,True,00505638
9,train\Normal\00021678.png,0.868164,True,00021678
10,train\Normal\00022521.png,0.854492,True,00022521
11,train\Normal\00292889.png,0.851074,True,00292889
12,train\Normal\00375607.png,0.848633,True,00375607
13,train\Normal\00500159.png,0.84668,True,00500159
14,train\Normal\00019908.png,0.82666,True,00019908
15,train\Normal\00431431.png,0.823242,True,00431431
16,train\Normal\00314643.png,0.793457,True,00314643
17,train\Normal\00405652.png,0.789062,True,00405652
18,train\Normal\00397824.png,0.782227,True,00397824
19,train\Normal\00421443.png,0.781738,True,00421443
20,train\Normal\00161664.png,0.773438,True,00161664
21,train\Normal\00317919.png,0.752441,True,00317919
22,train\Normal\00288653.png,0.735352,True,00288653
23,train\Normal\00281638.png,0.73291,True,00281638
24,train\Normal\00022588.png,0.731934,True,00022588
25,train\Normal\00348831.png,0.712402,True,00348831
26,train\Normal\00350801.png,0.693359,True,00350801
27,train\Normal\00300113.png,0.683594,True,00300113
28,train\Normal\00458420.png,0.675781,True,00458420
29,train\Normal\00388181.png,0.674805,True,00388181
30,train\Normal\00414024.png,0.65918,True,00414024
31,train\Normal\00453020.png,0.64502,True,00453020
32,train\Normal\00314789.png,0.63916,True,00314789
33,train\Normal\00365492.png,0.633789,True,00365492
34,train\Normal\00347413.png,0.631348,True,00347413
35,train\Normal\00359446.png,0.623535,True,00359446
36,train\Normal\00449921.png,0.621582,True,00449921
37,train\Normal\00437560.png,0.604004,True,00437560
38,train\Normal\00022864.png,0.600586,True,00022864
39,train\Normal\00141992.png,0.594238,True,00141992
40,train\Normal\00339405.png,0.59375,True,00339405
41,train\Normal\00160245.png,0.59082,True,00160245
42,train\Normal\00351805.png,0.588867,True,00351805
43,train\Normal\00022239.png,0.572754,True,00022239
44,train\Normal\00341441.png,0.571777,True,00341441
45,train\Normal\00331791.png,0.571289,True,00331791
46,train\Normal\00025314.png,0.568359,True,00025314
47,train\Normal\00143693.png,0.551758,True,00143693
48,train\Normal\00158209.png,0.537109,True,00158209
49,train\Normal\00340160.png,0.53418,True,00340160
50,train\Normal\00384016.png,0.53418,True,00384016
51,train\Normal\00261378.png,0.530762,True,00261378
52,train\Normal\00314262.png,0.527344,True,00314262
53,train\Normal\00016807.png,0.524902,True,00016807
54,train\Normal\00397769.png,0.520508,True,00397769
55,train\Normal\00491047.png,0.498047,True,00491047
56,train\Normal\00382971.png,0.487793,True,00382971
57,train\Normal\00499653.png,0.481445,True,00499653
58,train\Normal\00462787.png,0.474365,True,00462787
59,train\Normal\00428317.png,0.471191,True,00428317
60,train\Normal\00313867.png,0.462646,True,00313867
61,train\Normal\00312268.png,0.461182,True,00312268
62,train\Normal\00471490.png,0.45752,True,00471490
63,train\Normal\00317503.png,0.456299,True,00317503
64,train\Normal\00018926.png,0.447998,True,00018926
65,train\Normal\00345686.png,0.446045,True,00345686
66,train\Normal\00463730.png,0.436279,True,00463730
67,train\Normal\00321463.png,0.429932,True,00321463
68,train\Normal\00344448.png,0.427979,True,00344448
69,train\Normal\00354695.png,0.425293,True,00354695
70,train\Normal\00473308.png,0.423584,True,00473308
71,train\Normal\00399031.png,0.421875,True,00399031
72,train\Normal\00013447.png,0.419434,True,00013447
73,train\Normal\00368992.png,0.412109,True,00368992
74,train\Normal\00479528.png,0.408691,True,00479528
75,train\Normal\00369033.png,0.404785,True,00369033
76,train\Normal\00341812.png,0.404541,True,00341812
77,train\Normal\00315400.png,0.401855,True,00315400
78,train\Normal\00306773.png,0.39624,True,00306773
79,train\Normal\00038009.png,0.391357,True,00038009
80,train\Normal\00400764.png,0.387695,True,00400764
81,train\Normal\00035450.png,0.370361,True,00035450
82,train\Normal\00277841.png,0.368408,True,00277841
83,train\Normal\00481075.png,0.366211,True,00481075
84,train\Normal\00350271.png,0.365479,True,00350271
85,train\Normal\00006200.png,0.362793,True,00006200
86,train\Normal\00402029.png,0.361328,True,00402029
87,train\Normal\00348805.png,0.360596,True,00348805
88,train\Normal\00374379.png,0.360596,True,00374379
89,train\Normal\00444328.png,0.360352,True,00444328
90,train\Normal\00153734.png,0.359375,True,00153734
91,train\Normal\00314982.png,0.35791,True,00314982
92,train\Normal\00001524.png,0.357178,True,00001524
93,train\Normal\00132693.png,0.357178,True,00132693
94,train\Normal\00477476.png,0.355957,True,00477476
95,train\Normal\00383285.png,0.350586,True,00383285
96,train\Normal\00039977.png,0.348877,True,00039977
97,train\Normal\00285297.png,0.345459,True,00285297
98,train\Normal\00498029.png,0.344727,True,00498029
99,train\Normal\00399106.png,0.343994,True,00399106
100,train\Normal\00491113.png,0.34082,True,00491113
101,train\Normal\00380312.png,0.3396,True,00380312
102,train\Normal\00509588.png,0.337891,True,00509588
103,train\Normal\00137177.png,0.335693,True,00137177
104,train\Normal\00421255.png,0.329834,True,00421255
105,train\Normal\00436092.png,0.32373,True,00436092
106,train\Normal\00312330.png,0.323486,True,00312330
107,train\Normal\00405592.png,0.323486,True,00405592
108,train\Normal\00341239.png,0.32251,True,00341239
109,train\Normal\00391827.png,0.317139,True,00391827
110,train\Normal\00029682.png,0.316895,True,00029682
111,train\Normal\00288624.png,0.313965,True,00288624
112,train\Normal\00306064.png,0.312744,True,00306064
113,train\Normal\00279179.png,0.309814,True,00279179
114,train\Normal\00387104.png,0.307129,True,00387104
115,train\Normal\00159576.png,0.303223,True,00159576
116,train\Normal\00276363.png,0.30127,True,00276363
117,train\Normal\00503763.png,0.298584,True,00503763
118,train\Normal\00315540.png,0.296143,True,00315540
119,train\Normal\00308456.png,0.296143,True,00308456
120,train\Normal\00278336.png,0.294922,True,00278336
121,train\Normal\00002861.png,0.292969,True,00002861
