group,class_name,img_rel_path,score
correct_high_conf,Abnormal,val/Abnormal/00010716.png,1.0
correct_high_conf,Abnormal,val/Abnormal/00012201.png,1.0
correct_high_conf,Abnormal,val/Abnormal/00012242.png,1.0
correct_high_conf,Abnormal,val/Abnormal/00012250.png,1.0
correct_high_conf,Abnormal,val/Abnormal/00016752.png,1.0
correct_high_conf,Abnormal,val/Abnormal/00019357.png,1.0
correct_high_conf,Abnormal,val/Abnormal/00028598.png,1.0
correct_high_conf,Abnormal,val/Abnormal/00032297.png,1.0
correct_high_conf,Abnormal,val/Abnormal/00032651.png,1.0
correct_high_conf,Abnormal,val/Abnormal/00033057.png,1.0
correct_high_conf,Abnormal,val/Abnormal/00033227.png,1.0
correct_high_conf,Abnormal,val/Abnormal/00033708.png,1.0
correct_high_conf,Abnormal,val/Abnormal/00034615.png,1.0
correct_high_conf,Abnormal,val/Abnormal/00035714.png,1.0
correct_high_conf,Abnormal,val/Abnormal/00035917.png,1.0
correct_high_conf,Abnormal,val/Abnormal/00040135.png,1.0
correct_high_conf,Abnormal,val/Abnormal/00041477.png,1.0
correct_high_conf,Abnormal,val/Abnormal/00130462.png,1.0
correct_high_conf,Abnormal,val/Abnormal/00130467.png,1.0
correct_high_conf,Abnormal,val/Abnormal/00131867.png,1.0
correct_low_conf,Abnormal,val/Abnormal/00388524.png,0.6026270389556885
correct_low_conf,Abnormal,val/Abnormal/00329704.png,0.6082322001457214
correct_low_conf,Abnormal,val/Abnormal/00424488.png,0.6146160364151001
correct_low_conf,Abnormal,val/Abnormal/00321928.png,0.6382840871810913
correct_low_conf,Abnormal,val/Abnormal/00395399.png,0.6454848647117615
correct_low_conf,Abnormal,val/Abnormal/00464705.png,0.6647282838821411
correct_low_conf,Abnormal,val/Abnormal/00381217.png,0.7004907131195068
correct_low_conf,Abnormal,val/Abnormal/00403711.png,0.7260763049125671
correct_low_conf,Abnormal,val/Abnormal/00040558.png,0.7329208254814148
correct_low_conf,Abnormal,val/Abnormal/00009048.png,0.7401125431060791
correct_low_conf,Abnormal,val/Abnormal/00309016.png,0.7410482168197632
correct_low_conf,Abnormal,val/Abnormal/00406068.png,0.7503554224967957
correct_low_conf,Abnormal,val/Abnormal/00141003.png,0.7576434016227722
correct_low_conf,Abnormal,val/Abnormal/00498567.png,0.8096822500228882
correct_low_conf,Abnormal,val/Abnormal/00032521.png,0.8259033560752869
correct_low_conf,Abnormal,val/Abnormal/00499579.png,0.8636298775672913
correct_low_conf,Abnormal,val/Abnormal/00420953.png,0.8682321310043335
correct_low_conf,Abnormal,val/Abnormal/00291426.png,0.8686088919639587
correct_low_conf,Abnormal,val/Abnormal/00466328.png,0.8772165775299072
correct_low_conf,Abnormal,val/Abnormal/00477482.png,0.8802993297576904
correct_high_conf,Normal,val/Normal/00373727.png,0.9999996423721313
correct_high_conf,Normal,val/Normal/00413042.png,0.9999996423721313
correct_high_conf,Normal,val/Normal/00330269.png,0.9999979734420776
correct_high_conf,Normal,val/Normal/00038550.png,0.9999945163726807
correct_high_conf,Normal,val/Normal/00287931.png,0.999992847442627
correct_high_conf,Normal,val/Normal/00460021.png,0.9999905824661255
correct_high_conf,Normal,val/Normal/00282687.png,0.9999861717224121
correct_high_conf,Normal,val/Normal/00478757.png,0.9999791383743286
correct_high_conf,Normal,val/Normal/00488034.png,0.9999713897705078
correct_high_conf,Normal,val/Normal/00446800.png,0.9999678134918213
correct_high_conf,Normal,val/Normal/00376799.png,0.9999639987945557
correct_high_conf,Normal,val/Normal/00489534.png,0.99994957447052
correct_high_conf,Normal,val/Normal/00010505.png,0.9999445676803589
correct_high_conf,Normal,val/Normal/00323337.png,0.9999364614486694
correct_high_conf,Normal,val/Normal/00330762.png,0.9999353885650635
correct_high_conf,Normal,val/Normal/00036133.png,0.9999279975891113
correct_high_conf,Normal,val/Normal/00283018.png,0.9999274015426636
correct_high_conf,Normal,val/Normal/00267471.png,0.999909520149231
correct_high_conf,Normal,val/Normal/00282238.png,0.9999055862426758
correct_high_conf,Normal,val/Normal/00269978.png,0.9998810291290283
correct_low_conf,Normal,val/Normal/00163892.png,0.5166589021682739
correct_low_conf,Normal,val/Normal/00346933.png,0.5448447465896606
correct_low_conf,Normal,val/Normal/00429268.png,0.5554012656211853
correct_low_conf,Normal,val/Normal/00324129.png,0.570770263671875
correct_low_conf,Normal,val/Normal/00518662.png,0.7634455561637878
correct_low_conf,Normal,val/Normal/00360512.png,0.7674948573112488
correct_low_conf,Normal,val/Normal/00320657.png,0.8073121905326843
correct_low_conf,Normal,val/Normal/00272737.png,0.8773760199546814
correct_low_conf,Normal,val/Normal/00360613.png,0.8799073100090027
correct_low_conf,Normal,val/Normal/00365613.png,0.8886030912399292
correct_low_conf,Normal,val/Normal/00320522.png,0.8952630758285522
correct_low_conf,Normal,val/Normal/00389803.png,0.9016848802566528
correct_low_conf,Normal,val/Normal/00409364.png,0.9157581329345703
correct_low_conf,Normal,val/Normal/00365919.png,0.9230855107307434
correct_low_conf,Normal,val/Normal/00470969.png,0.9274550080299377
correct_low_conf,Normal,val/Normal/00387823.png,0.9358680248260498
correct_low_conf,Normal,val/Normal/00324358.png,0.9482867121696472
correct_low_conf,Normal,val/Normal/00358043.png,0.9511752128601074
correct_low_conf,Normal,val/Normal/00463103.png,0.9573304653167725
correct_low_conf,Normal,val/Normal/00392218.png,0.95844566822052
wrong_high_conf,Abnormal,val/Abnormal/00004815.png,0.9999356269836426
wrong_high_conf,Abnormal,val/Abnormal/00320226.png,0.9998780488967896
