monitor_rank,monitor_group,monitor_group_rank,sample_id,y_true,oof_fold,dynamic_bucket,oof_mean_p_defect,oof_correct_rate,oof_std_p_defect,group_population_size,sampling_rule
1,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,1,Det/images/normal_train/01286806.png,0,0,learnable_hard,0.7133060028,0.255,0.3795711642,300,top nested Treatment ranks covering 0.5 percent of the normal class
2,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,2,Det/images/normal_train/01278209.png,0,5,learnable_hard,0.5201865841,0.435,0.4069800831,300,top nested Treatment ranks covering 0.5 percent of the normal class
3,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,3,Det/images/normal_train/00604801.png,0,2,learnable_hard,0.5659372262,0.41,0.3941211042,300,top nested Treatment ranks covering 0.5 percent of the normal class
4,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,4,Det/images/normal_train/00744956.png,0,6,learnable_hard,0.496437339,0.45,0.3950273885,300,top nested Treatment ranks covering 0.5 percent of the normal class
5,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,5,Det/images/normal_train/01167498.png,0,1,learnable_hard,0.557757952,0.385,0.3570990389,300,top nested Treatment ranks covering 0.5 percent of the normal class
6,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,6,Det/images/normal_train/00462733.png,0,3,learnable_hard,0.6595950395,0.315,0.3728725694,300,top nested Treatment ranks covering 0.5 percent of the normal class
7,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,7,Det/images/normal_train/00399718.png,0,8,learnable_hard,0.4901774526,0.415,0.3723692226,300,top nested Treatment ranks covering 0.5 percent of the normal class
8,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,8,Det/images/normal_train/01014733.png,0,4,learnable_hard,0.4946231438,0.445,0.4118685106,300,top nested Treatment ranks covering 0.5 percent of the normal class
9,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,9,Det/images/normal_train/01232333.png,0,9,learnable_hard,0.5477898077,0.405,0.3946567413,300,top nested Treatment ranks covering 0.5 percent of the normal class
10,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,10,Det/images/normal_train/00382051.png,0,0,learnable_hard,0.7539430711,0.2,0.344410282,300,top nested Treatment ranks covering 0.5 percent of the normal class
11,NORMAL_REPLAY_CORE_0P5_CLASS_PERCENT,11,Det/images/normal_train/00944979.png,0,5,learnable_hard,0.5977177417,0.375,0.3658855883,300,top nested Treatment ranks covering 0.5 percent of the normal class
