legacy_paper_id,paper_id,canonical_work_id,title,current_method_source_path,pdf_sha256,legacy_note_path,legacy_note_bytes,legacy_note_sha256,evidence_provenance_class,independent_content_rereview_performed
P006,P0020,CWE6B9AC3B38B527C49DFD,GLISTER: Generalization based Data Subset Selection for Efficient and Robust Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0020.pdf,88ECDA6540A7E528B2CB7C7763492CFB5763A0D421580ADB50E130FB9551BAF6,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/02_literature/FULL_TEXT_EVIDENCE_NOTES/P006_GLISTER_2021.md,14501,811EBA8F2B0A04B5F09690B2DA05D85D5188795B53B46BA5DCCDD3E4DA261517,USER_ACCEPTED_INHERITED_EVIDENCE,false
P007,P0340,CW2058BFE8C66EA619873D,An Empirical Study of Example Forgetting during Deep Neural Network Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0340.pdf,0CEEF9C602D22B977BAF61E1E62897EE0D3D1A043E93D34129B3A448A9120C89,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/02_literature/FULL_TEXT_EVIDENCE_NOTES/P007_Example_Forgetting_2019.md,12616,96229D4FB735C17270838CD7B7655FF2B8D749F68455F011427F5FB59B886953,USER_ACCEPTED_INHERITED_EVIDENCE,false
P010,P0057,CWE157D064AB0EE690BCEA,Dataset Cartography: Mapping and Diagnosing Datasets with Training Dynamics,staging/broad_freeze_canonical_repaired_v4/sources/P0057.pdf,E3D807F0E007FF03A22F6B80176F4BBC9F734E7804061C61792C6FF1B97C550F,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/02_literature/FULL_TEXT_EVIDENCE_NOTES/P010_Dataset_Cartography_2020.md,14400,3470B1E9E171E46231E9EFFD67414EDBF2469E6C5667F309977252C94325F91F,USER_ACCEPTED_INHERITED_EVIDENCE,false
P011,P0430,CWA30DF06C8D4A2F1ECC29,Estimating Training Data Influence by Tracing Gradient Descent,staging/broad_freeze_canonical_repaired_v4/sources/P0430.pdf,B31C94316EF78E2E5F28553FE7F54098E2AAFB431405471D5624D073465D09C9,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/02_literature/FULL_TEXT_EVIDENCE_NOTES/P011_TracIn_2020.md,14327,8A5D96B3B9BDEED38CAFCCE57A232E9D971905664C295727A31F6B0AF6DE088F,USER_ACCEPTED_INHERITED_EVIDENCE,false
P012,P0422,CW4393E96BD48909A90BAF,Understanding Black-box Predictions via Influence Functions,sources/legacy_core/P012_Influence_Functions_2017.pdf,715FB9F935B0AF32C7AE1F0D834FD5158EDB279A575A4AE91196D1830F281F65,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/02_literature/FULL_TEXT_EVIDENCE_NOTES/P012_Influence_Functions_2017.md,12548,554EBCE7A962B28A45B7CFE6CA440174B11248AF701AB09CC1C11F5A62A38675,USER_ACCEPTED_INHERITED_EVIDENCE,false
P016,P0229,CW15F14534F94F6674F9AB,TRAK: Attributing Model Behavior at Scale,sources/legacy_core/P016_TRAK_2023.pdf,9A3AA5C2B83511DDAC253B2368DAF808590E9C8714089A51BE5CF4BFE069B96E,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/02_literature/FULL_TEXT_EVIDENCE_NOTES/P016_TRAK_2023.md,12518,AAB8263F120AA5FAC90DC595B9C6441BB8A8C58DCC082D989CC7BBC0C89943AE,USER_ACCEPTED_INHERITED_EVIDENCE,false
P019,P0142,CW538E0F4861D2EB4BB06D,Learn the Time to Learn: Replay Scheduling in Continual Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0142.pdf,C10C3AC54DD62ED5D38ED16E0AD446194A6F2779011B2489FA0EBF1007829D4E,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/02_literature/FULL_TEXT_EVIDENCE_NOTES/P019_Replay_Scheduling_TMLR_2023.md,13024,F9F640EFF319142C9424261FD7C3BC9A9BAD555800EA98307AA8EA04685896A5,USER_ACCEPTED_INHERITED_EVIDENCE,false
P020,P0039,CWF7C5971D7D4A537B18DA,Early-Learning Regularization Prevents Memorization of Noisy Labels,sources/legacy_core/P020_Early_Learning_Regularization_NeurIPS_2020.pdf,D29F8D401B62E9E7CDABAAF5B45E08AB2CBB8CB0122A7D610F03573062C4F331,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/02_literature/FULL_TEXT_EVIDENCE_NOTES/P020_Early_Learning_Regularization_NeurIPS_2020.md,12902,9FB7F4E0E47A19A3B3FB515A83977BAA98037BD2477AD82F31D9E7CAACAAC4A9,USER_ACCEPTED_INHERITED_EVIDENCE,false
P027,P0341,CW60DE20FF6EBD0732725C,A Structural SVM Based Approach for Optimizing Partial AUC,staging/broad_freeze_canonical_repaired_v4/sources/P0341.pdf,3181AD0BD445DEB002F3F3D6C4A415E5FA008F61219A79DE6078856DB84DF51B,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/02_literature/FULL_TEXT_EVIDENCE_NOTES/P027_Structural_SVM_Partial_AUC_ICML_2013.md,10288,CDC37E64879C5D260511C03F28C6806B2DC145BCB8675DCF965FBA9A44ED600C,USER_ACCEPTED_INHERITED_EVIDENCE,false
P035,P0073,CWAD8481EF113E1665A9A3,"Deep Batch Active Learning by Diverse, Uncertain Gradient Lower Bounds",staging/broad_freeze_canonical_repaired_v4/sources/P0073.pdf,D3901AA393ACB598BEED4A5432F52F080237E50AD443659A18E65B1B1F4CE176,C:/GitHub/YOLO-CV/artifacts/stage1_sample_value_experiments/experiments/dynamic_replay_budget_efficiency_20260807/02_literature/FULL_TEXT_EVIDENCE_NOTES/P035_BADGE_ICLR_2020.md,11893,3BCFFD29AE1AAD2CE808C58BA44C321894A2C9D7D43D196AB6C8C831AF761E41,USER_ACCEPTED_INHERITED_EVIDENCE,false
