deep_rank,selection_role,paper_id,queue_id,canonical_work_id,title,quota_rq,secondary_rqs,directness,relevance_class,effect_relation,selection_phase,tie_break_key,method_source_path,method_source_sha256,method_source_bytes,current_screened_review,legacy_deep_note,ready_evidence_status,formal_deep_credit
1,PRIMARY,P0194,RGD6744A33C84AA47F,CW2E9EA87882D74BF36AF5,AudioDER: A Deduplication-Enhanced Reasoning Dataset for Post-Training Large Audio-Language Models,RQ7,RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,00367EF52F7096DB1BA905F4BC0434B7FF94ACEA34E1E1FACAF9D074B99E10D6,staging/broad_freeze_canonical_repaired_v4/sources/P0194.pdf,C232B0D436CA3C02FA62A64CBCBDDB699197C04140BBDE7BE51DDB1B6D612DA2,3624177,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
2,PRIMARY,P0464,RGF42CC730BDD8DD9B,CW9931898DACDCBE6274B7,Partitioned Gradient Matching-based Data Subset Selection for Compute-Efficient Robust ASR Training,RQ2,RQ3;RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,MANDATORY_ANCHOR,02E251E432CF52202A90C8BB602815044029EE238CE4340D6EDA90BADCDFE522,staging/broad_freeze_canonical_repaired_v4/sources/P0464.pdf,314D7A78B2256141654D7F2CE5E5481A14A24BFA358430B6D9D249271FD78C1B,523812,HASH_BOUND_PRESENT,NOT_AVAILABLE,INHERITED_EVIDENCE_PRESENT,false
3,PRIMARY,P0290,RGF7DADDC419CAC4B3,CW873DA6584A48FA664017,Selectivity Drives Efficiency: Dataset Pruning for Visual Place Recognition,RQ5,RQ2,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,MANDATORY_ANCHOR,02E4FAE2F5163B4009C4D224516310D8B1E1DFE5331C4B08EF1A19303C51A5FC,staging/broad_freeze_canonical_repaired_v4/sources/P0290.pdf,1D3A39CC5DEC4802A78DA0696DE255908A202C53B6875F97E5E156B549B2382F,3119361,HASH_BOUND_PRESENT,NOT_AVAILABLE,INHERITED_EVIDENCE_PRESENT,false
4,PRIMARY,P0159,RG059D396208B88E50,CWAE64A5F7A61963ECD851,Language Model-Driven Data Pruning Enables Efficient Active Learning,RQ4,RQ5;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,035154E81D6DFD01281068D2EC4F11AD2BD399C3FA38A902F04351044816C971,staging/broad_freeze_canonical_repaired_v4/sources/P0159.pdf,6F65F070C9ACBA518D19D9801AE06DD034FEC425BA67EA3049AF252AF8FF2D0B,1001424,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
5,PRIMARY,P0452,RG09C0B0AB9A8300CA,CW6B8DDE7C8E793D3D2709,Bridging Saliency Detection to Weakly Supervised Object Detection Based on Self-paced Curriculum Learning,RQ6,RQ1;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,035C159638C43ED78F0698834E2A18B5C47C7733004F8849FF13F303ACBC74B2,staging/broad_freeze_canonical_repaired_v4/sources/P0452.pdf,40A1576454268337A325FAA5C4294C0C7E781F838E2A7BD3773471C4F7ED6997,2537266,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
6,PRIMARY,P0218,RG23DF024E49773E64,CW8A5F6E2BA4431C0EF008,A Snapshot of Influence: A Local Data Attribution Framework for Online Reinforcement Learning,RQ3,RQ1;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,03C3A89B1E2E9DA8AAA9F2A12D9FA896756F0205C9D607A8CD92017E16BBE2CA,staging/broad_freeze_canonical_repaired_v4/sources/P0218.pdf,52CCD00DB9526D921553DA6510F6F01B0F37CA6CC741B8A9918624C667EC2A10,3051316,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
7,PRIMARY,P0401,RGA5EBD152AB01B763,CWBC032AFCC4E1994E33E8,A Study on Training Data Selection Method for EEG Emotion Analysis using Machine Learning Algorithm,RQ2,RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,040CCC6406DDED59F5C7BBDD9E5A7DF8C913D9521C6C093EE688865D0BEF2B69,staging/broad_freeze_canonical_repaired_v4/sources/P0401.pdf,47A240A115AFDD5A4BCB6468A281469286CF5D8E9F5F04BC04BA45D9B08A588E,465783,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
8,PRIMARY,P0104,AX501F9ECF2E222F25,CW501F9ECF2E222F2564D1,Active Bias: Training More Accurate Neural Networks by Emphasizing High Variance Samples,RQ6,RQ1,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,MANDATORY_ANCHOR,06A32661FEB94C1094D021CD99F503A2DE572B11268FEA033DACB87BF2EA71D3,staging/broad_freeze_canonical_repaired_v4/sources/P0104.pdf,0D71370BC89D5CF65DAEB2EC55447732E7ABAD58D32CAABEA5769C052B24301F,924820,HASH_BOUND_PRESENT,NOT_AVAILABLE,INHERITED_EVIDENCE_PRESENT,false
9,PRIMARY,P0378,RG6EB3043E42C08BA8,CW03A17809C6D2DDE03410,Remember More by Recalling Less: Investigating the Role of Batch Size in Continual Learning with Experience Replay (Student Abstract),RQ8,RQ5;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,06D414AE7E220E5EDF75AAE79AD84396689AFFF107930811CF09453700BF31B0,staging/broad_freeze_canonical_repaired_v4/sources/P0378.pdf,5AC1F158D9074938CA9624C8262A55B90FBEBB274AD6A58166FA5985DEE2FECC,145065,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
10,PRIMARY,P0229,RG58273450C7E07FB2,CW15F14534F94F6674F9AB,TRAK: Attributing Model Behavior at Scale,RQ3,RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,MANDATORY_ANCHOR,0977E5D69ADFD7C37B46DF1E17102C691A7627996B72F27CD0201ADEB34EB618,sources/legacy_core/P016_TRAK_2023.pdf,9A3AA5C2B83511DDAC253B2368DAF808590E9C8714089A51BE5CF4BFE069B96E,8636031,HASH_BOUND_PRESENT,BYTE_IDENTICAL_PRESENT,INHERITED_EVIDENCE_PRESENT,false
11,PRIMARY,P0173,RGBB8E4E864A80CC35,CWF8F6623D2632364B5CFB,GRAD-MATCH: Gradient Matching based Data Subset Selection for Efficient Deep Model Training,RQ3,RQ2;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,MANDATORY_ANCHOR,09FA3ED8903407AD695AE2BD7DCAB5B7C42BE7318AFA835BB0179FDA006D994D,staging/broad_freeze_canonical_repaired_v4/sources/P0173.pdf,27CA3618BE53A4F5F4F783A48629D2A17C0D7C93FAFE359E6729CBB18879CE79,1120432,HASH_BOUND_PRESENT,NOT_AVAILABLE,INHERITED_EVIDENCE_PRESENT,false
12,PRIMARY,P0103,RG884EC55CA7201C25,CWF500847CB8ED6525F3D3,Data pruning and neural scaling laws: fundamental limitations of score-based algorithms,RQ1,RQ2;RQ5,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,NULL_NEGATIVE,MANDATORY_ANCHOR,0B2CE43867366CB363B7F36A98A49FC0151E62B70A04E0A74EC781A4BBAA51C2,staging/broad_freeze_canonical_repaired_v4/sources/P0103.pdf,AA86DD12B4B6457897CA8119CDA350C8E7E7AE6979D65D57B65F3328067A32A7,2592289,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
13,PRIMARY,P0448,RGD850F26F2CCD3E44,CW8C4501EE38AAC4C4BEFC,The Impact of Coreset Selection on Spurious Correlations and Group Robustness,RQ4,RQ1;RQ5;RQ7,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,NULL_NEGATIVE,RQ_MINIMUM,0BD192368CDD5C4B66B26E1514FF9CB0EFF8F1B08DA1211D85C5763CCA414BEA,staging/broad_freeze_canonical_repaired_v4/sources/P0448.pdf,B6CA15CC4FFCF62ADB9E39AFCB4C9529B1CB83E04ED121BD7975A0572ADCC3BA,661239,PENDING,NOT_AVAILABLE,FULL_REVIEW_PENDING,false
