run_slot,triad_id,phase,condition_slot,condition_id,method,budget,guard_ratio,arm,training_seed,selection_seed,discovery_or_confirmation
RUN_016,TRIAD_006,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,T,1343723075,1331300276,discovery
RUN_017,TRIAD_006,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R1,1343723075,672619350,discovery
RUN_018,TRIAD_006,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R2,1343723075,1774735714,discovery
RUN_046,TRIAD_016,A,A06,A06_Confidence-Clean_B3000,Confidence-Clean,3000,0.0,T,1829910790,1978989517,discovery
RUN_047,TRIAD_016,A,A06,A06_Confidence-Clean_B3000,Confidence-Clean,3000,0.0,R1,1829910790,1134291800,discovery
RUN_048,TRIAD_016,A,A06,A06_Confidence-Clean_B3000,Confidence-Clean,3000,0.0,R2,1829910790,877555200,discovery
RUN_076,TRIAD_026,A,A09,A09_Persistent-0.5-Clean_B600,Persistent-0.5-Clean,600,0.0,T,1385197443,2139884968,discovery
RUN_077,TRIAD_026,A,A09,A09_Persistent-0.5-Clean_B600,Persistent-0.5-Clean,600,0.0,R1,1385197443,919733015,discovery
RUN_078,TRIAD_026,A,A09,A09_Persistent-0.5-Clean_B600,Persistent-0.5-Clean,600,0.0,R2,1385197443,1212394420,discovery
RUN_106,TRIAD_036,A,A12,A12_EndpointTrend_B3000,EndpointTrend,3000,0.0,T,1343723075,1507525319,discovery
RUN_107,TRIAD_036,A,A12,A12_EndpointTrend_B3000,EndpointTrend,3000,0.0,R1,1343723075,1176928739,discovery
RUN_108,TRIAD_036,A,A12,A12_EndpointTrend_B3000,EndpointTrend,3000,0.0,R2,1343723075,240604594,discovery
RUN_136,TRIAD_046,A,A16,A16_GapResidual-Strict_B3000,GapResidual-Strict,3000,0.0,T,1829910790,478814057,discovery
RUN_137,TRIAD_046,A,A16,A16_GapResidual-Strict_B3000,GapResidual-Strict,3000,0.0,R1,1829910790,994254849,discovery
RUN_138,TRIAD_046,A,A16,A16_GapResidual-Strict_B3000,GapResidual-Strict,3000,0.0,R2,1829910790,726616246,discovery
RUN_166,TRIAD_056,A,A19,A19_GapCritical-Strict-TimeMatched_B3000,GapCritical-Strict-TimeMatched,3000,0.0,T,1385197443,2016664369,discovery
RUN_167,TRIAD_056,A,A19,A19_GapCritical-Strict-TimeMatched_B3000,GapCritical-Strict-TimeMatched,3000,0.0,R1,1385197443,937479027,discovery
RUN_168,TRIAD_056,A,A19,A19_GapCritical-Strict-TimeMatched_B3000,GapCritical-Strict-TimeMatched,3000,0.0,R2,1385197443,1650961424,discovery
RUN_196,TRIAD_066,B,B03,B03_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.05,T,1343723075,193458329,discovery
RUN_197,TRIAD_066,B,B03,B03_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.05,R1,1343723075,931974345,discovery
RUN_198,TRIAD_066,B,B03,B03_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.05,R2,1343723075,1567632726,discovery
RUN_226,TRIAD_076,C,A02,C_A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,T,440790218,1959738498,confirmation
RUN_227,TRIAD_076,C,A02,C_A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R1,440790218,262224897,confirmation
RUN_228,TRIAD_076,C,A02,C_A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R2,440790218,789825436,confirmation
