run_slot,triad_id,phase,condition_slot,condition_id,method,budget,guard_ratio,arm,training_seed,selection_seed,discovery_or_confirmation
RUN_022,TRIAD_008,A,A03,A03_GapCritical-Strict_B6000,GapCritical-Strict,6000,0.0,T,1385197443,201779297,discovery
RUN_023,TRIAD_008,A,A03,A03_GapCritical-Strict_B6000,GapCritical-Strict,6000,0.0,R1,1385197443,1733888523,discovery
RUN_024,TRIAD_008,A,A03,A03_GapCritical-Strict_B6000,GapCritical-Strict,6000,0.0,R2,1385197443,487722083,discovery
RUN_052,TRIAD_018,A,A06,A06_Confidence-Clean_B3000,Confidence-Clean,3000,0.0,T,1343723075,1099683289,discovery
RUN_053,TRIAD_018,A,A06,A06_Confidence-Clean_B3000,Confidence-Clean,3000,0.0,R1,1343723075,1114613193,discovery
RUN_054,TRIAD_018,A,A06,A06_Confidence-Clean_B3000,Confidence-Clean,3000,0.0,R2,1343723075,1214796635,discovery
RUN_082,TRIAD_028,A,A10,A10_Persistent-0.5-Clean_B3000,Persistent-0.5-Clean,3000,0.0,T,1829910790,1771359607,discovery
RUN_083,TRIAD_028,A,A10,A10_Persistent-0.5-Clean_B3000,Persistent-0.5-Clean,3000,0.0,R1,1829910790,1313852010,discovery
RUN_084,TRIAD_028,A,A10,A10_Persistent-0.5-Clean_B3000,Persistent-0.5-Clean,3000,0.0,R2,1829910790,1601959621,discovery
RUN_112,TRIAD_038,A,A13,A13_BottomGap-3000-stress-control_B3000,BottomGap-3000-stress-control,3000,0.0,T,1385197443,28095403,discovery
RUN_113,TRIAD_038,A,A13,A13_BottomGap-3000-stress-control_B3000,BottomGap-3000-stress-control,3000,0.0,R1,1385197443,311180952,discovery
RUN_114,TRIAD_038,A,A13,A13_BottomGap-3000-stress-control_B3000,BottomGap-3000-stress-control,3000,0.0,R2,1385197443,611213726,discovery
RUN_142,TRIAD_048,A,A16,A16_GapResidual-Strict_B3000,GapResidual-Strict,3000,0.0,T,1343723075,1217211708,discovery
RUN_143,TRIAD_048,A,A16,A16_GapResidual-Strict_B3000,GapResidual-Strict,3000,0.0,R1,1343723075,1211636253,discovery
RUN_144,TRIAD_048,A,A16,A16_GapResidual-Strict_B3000,GapResidual-Strict,3000,0.0,R2,1343723075,170175844,discovery
RUN_172,TRIAD_058,B,B01,B01_LowConfidence-Defect_B3000,LowConfidence-Defect,3000,0.1,T,1829910790,423740299,discovery
RUN_173,TRIAD_058,B,B01,B01_LowConfidence-Defect_B3000,LowConfidence-Defect,3000,0.1,R1,1829910790,1061938137,discovery
RUN_174,TRIAD_058,B,B01,B01_LowConfidence-Defect_B3000,LowConfidence-Defect,3000,0.1,R2,1829910790,38575325,discovery
RUN_202,TRIAD_068,B,B04,B04_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.1,T,1385197443,1892084187,discovery
RUN_203,TRIAD_068,B,B04,B04_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.1,R1,1385197443,983341386,discovery
RUN_204,TRIAD_068,B,B04,B04_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.1,R2,1385197443,1594622484,discovery
RUN_232,TRIAD_078,C,A02,C_A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,T,1024521099,1565667283,confirmation
RUN_233,TRIAD_078,C,A02,C_A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R1,1024521099,858212386,confirmation
RUN_234,TRIAD_078,C,A02,C_A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R2,1024521099,234411702,confirmation
