run_slot,triad_id,phase,condition_slot,condition_id,method,budget,guard_ratio,arm,training_seed,selection_seed,discovery_or_confirmation
RUN_010,TRIAD_004,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,T,1829910790,213681350,discovery
RUN_011,TRIAD_004,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R1,1829910790,1871590197,discovery
RUN_012,TRIAD_004,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R2,1829910790,274805210,discovery
RUN_040,TRIAD_014,A,A05,A05_Confidence-Clean_B600,Confidence-Clean,600,0.0,T,1385197443,518621082,discovery
RUN_041,TRIAD_014,A,A05,A05_Confidence-Clean_B600,Confidence-Clean,600,0.0,R1,1385197443,1185119600,discovery
RUN_042,TRIAD_014,A,A05,A05_Confidence-Clean_B600,Confidence-Clean,600,0.0,R2,1385197443,1321237343,discovery
RUN_070,TRIAD_024,A,A08,A08_Boundary-0.5-Clean_B3000,Boundary-0.5-Clean,3000,0.0,T,1343723075,245025017,discovery
RUN_071,TRIAD_024,A,A08,A08_Boundary-0.5-Clean_B3000,Boundary-0.5-Clean,3000,0.0,R1,1343723075,2100154704,discovery
RUN_072,TRIAD_024,A,A08,A08_Boundary-0.5-Clean_B3000,Boundary-0.5-Clean,3000,0.0,R2,1343723075,1849420543,discovery
RUN_100,TRIAD_034,A,A12,A12_EndpointTrend_B3000,EndpointTrend,3000,0.0,T,1829910790,1064670156,discovery
RUN_101,TRIAD_034,A,A12,A12_EndpointTrend_B3000,EndpointTrend,3000,0.0,R1,1829910790,510450299,discovery
RUN_102,TRIAD_034,A,A12,A12_EndpointTrend_B3000,EndpointTrend,3000,0.0,R2,1829910790,1890081013,discovery
RUN_130,TRIAD_044,A,A15,A15_GroupDiverse-Gap_B3000,GroupDiverse-Gap,3000,0.0,T,1385197443,276642340,discovery
RUN_131,TRIAD_044,A,A15,A15_GroupDiverse-Gap_B3000,GroupDiverse-Gap,3000,0.0,R1,1385197443,1991832991,discovery
RUN_132,TRIAD_044,A,A15,A15_GroupDiverse-Gap_B3000,GroupDiverse-Gap,3000,0.0,R2,1385197443,1115133061,discovery
RUN_160,TRIAD_054,A,A18,A18_GapCritical-Global-B6000_B6000,GapCritical-Global-B6000,6000,0.0,T,1343723075,1810912760,discovery
RUN_161,TRIAD_054,A,A18,A18_GapCritical-Global-B6000_B6000,GapCritical-Global-B6000,6000,0.0,R1,1343723075,1736102504,discovery
RUN_162,TRIAD_054,A,A18,A18_GapCritical-Global-B6000_B6000,GapCritical-Global-B6000,6000,0.0,R2,1343723075,1922945361,discovery
RUN_190,TRIAD_064,B,B03,B03_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.05,T,1829910790,404224109,discovery
RUN_191,TRIAD_064,B,B03,B03_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.05,R1,1829910790,188431012,discovery
RUN_192,TRIAD_064,B,B03,B03_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.05,R2,1829910790,790846475,discovery
RUN_220,TRIAD_074,B,B06,B06_GapGuard-ClassStrat_B3000,GapGuard-ClassStrat,3000,0.1,T,1385197443,1212393685,discovery
RUN_221,TRIAD_074,B,B06,B06_GapGuard-ClassStrat_B3000,GapGuard-ClassStrat,3000,0.1,R1,1385197443,173040095,discovery
RUN_222,TRIAD_074,B,B06,B06_GapGuard-ClassStrat_B3000,GapGuard-ClassStrat,3000,0.1,R2,1385197443,997972020,discovery
