run_slot,triad_id,phase,condition_slot,condition_id,method,budget,guard_ratio,arm,training_seed,selection_seed,discovery_or_confirmation
RUN_013,TRIAD_005,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,T,1385197443,663082709,discovery
RUN_014,TRIAD_005,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R1,1385197443,587133428,discovery
RUN_015,TRIAD_005,A,A02,A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R2,1385197443,1066367518,discovery
RUN_043,TRIAD_015,A,A05,A05_Confidence-Clean_B600,Confidence-Clean,600,0.0,T,1343723075,939425895,discovery
RUN_044,TRIAD_015,A,A05,A05_Confidence-Clean_B600,Confidence-Clean,600,0.0,R1,1343723075,1966178195,discovery
RUN_045,TRIAD_015,A,A05,A05_Confidence-Clean_B600,Confidence-Clean,600,0.0,R2,1343723075,494129566,discovery
RUN_073,TRIAD_025,A,A09,A09_Persistent-0.5-Clean_B600,Persistent-0.5-Clean,600,0.0,T,1829910790,1345487629,discovery
RUN_074,TRIAD_025,A,A09,A09_Persistent-0.5-Clean_B600,Persistent-0.5-Clean,600,0.0,R1,1829910790,1505086467,discovery
RUN_075,TRIAD_025,A,A09,A09_Persistent-0.5-Clean_B600,Persistent-0.5-Clean,600,0.0,R2,1829910790,1347729858,discovery
RUN_103,TRIAD_035,A,A12,A12_EndpointTrend_B3000,EndpointTrend,3000,0.0,T,1385197443,976176117,discovery
RUN_104,TRIAD_035,A,A12,A12_EndpointTrend_B3000,EndpointTrend,3000,0.0,R1,1385197443,2017143728,discovery
RUN_105,TRIAD_035,A,A12,A12_EndpointTrend_B3000,EndpointTrend,3000,0.0,R2,1385197443,1589216007,discovery
RUN_133,TRIAD_045,A,A15,A15_GroupDiverse-Gap_B3000,GroupDiverse-Gap,3000,0.0,T,1343723075,1703632046,discovery
RUN_134,TRIAD_045,A,A15,A15_GroupDiverse-Gap_B3000,GroupDiverse-Gap,3000,0.0,R1,1343723075,963122165,discovery
RUN_135,TRIAD_045,A,A15,A15_GroupDiverse-Gap_B3000,GroupDiverse-Gap,3000,0.0,R2,1343723075,150549446,discovery
RUN_163,TRIAD_055,A,A19,A19_GapCritical-Strict-TimeMatched_B3000,GapCritical-Strict-TimeMatched,3000,0.0,T,1829910790,1628441657,discovery
RUN_164,TRIAD_055,A,A19,A19_GapCritical-Strict-TimeMatched_B3000,GapCritical-Strict-TimeMatched,3000,0.0,R1,1829910790,1502301675,discovery
RUN_165,TRIAD_055,A,A19,A19_GapCritical-Strict-TimeMatched_B3000,GapCritical-Strict-TimeMatched,3000,0.0,R2,1829910790,110467283,discovery
RUN_193,TRIAD_065,B,B03,B03_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.05,T,1385197443,170354163,discovery
RUN_194,TRIAD_065,B,B03,B03_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.05,R1,1385197443,26510226,discovery
RUN_195,TRIAD_065,B,B03,B03_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.05,R2,1385197443,1313321562,discovery
RUN_223,TRIAD_075,B,B06,B06_GapGuard-ClassStrat_B3000,GapGuard-ClassStrat,3000,0.1,T,1343723075,1068614179,discovery
RUN_224,TRIAD_075,B,B06,B06_GapGuard-ClassStrat_B3000,GapGuard-ClassStrat,3000,0.1,R1,1343723075,1587761889,discovery
RUN_225,TRIAD_075,B,B06,B06_GapGuard-ClassStrat_B3000,GapGuard-ClassStrat,3000,0.1,R2,1343723075,719353651,discovery
