run_slot,triad_id,phase,condition_slot,condition_id,method,budget,guard_ratio,arm,training_seed,selection_seed,discovery_or_confirmation
RUN_028,TRIAD_010,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,T,1829910790,26275082,discovery
RUN_029,TRIAD_010,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,R1,1829910790,1613901897,discovery
RUN_030,TRIAD_010,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,R2,1829910790,2028548297,discovery
RUN_058,TRIAD_020,A,A07,A07_Boundary-0.5-Clean_B600,Boundary-0.5-Clean,600,0.0,T,1385197443,765669078,discovery
RUN_059,TRIAD_020,A,A07,A07_Boundary-0.5-Clean_B600,Boundary-0.5-Clean,600,0.0,R1,1385197443,219383886,discovery
RUN_060,TRIAD_020,A,A07,A07_Boundary-0.5-Clean_B600,Boundary-0.5-Clean,600,0.0,R2,1385197443,291105307,discovery
RUN_088,TRIAD_030,A,A10,A10_Persistent-0.5-Clean_B3000,Persistent-0.5-Clean,3000,0.0,T,1343723075,541724197,discovery
RUN_089,TRIAD_030,A,A10,A10_Persistent-0.5-Clean_B3000,Persistent-0.5-Clean,3000,0.0,R1,1343723075,1000601045,discovery
RUN_090,TRIAD_030,A,A10,A10_Persistent-0.5-Clean_B3000,Persistent-0.5-Clean,3000,0.0,R2,1343723075,1796941351,discovery
RUN_118,TRIAD_040,A,A14,A14_FoldBalanced-Gap_B3000,FoldBalanced-Gap,3000,0.0,T,1829910790,1787742610,discovery
RUN_119,TRIAD_040,A,A14,A14_FoldBalanced-Gap_B3000,FoldBalanced-Gap,3000,0.0,R1,1829910790,1287451921,discovery
RUN_120,TRIAD_040,A,A14,A14_FoldBalanced-Gap_B3000,FoldBalanced-Gap,3000,0.0,R2,1829910790,618537976,discovery
RUN_148,TRIAD_050,A,A17,A17_WindowEarlyLate40_B3000,WindowEarlyLate40,3000,0.0,T,1385197443,2087502397,discovery
RUN_149,TRIAD_050,A,A17,A17_WindowEarlyLate40_B3000,WindowEarlyLate40,3000,0.0,R1,1385197443,1149286160,discovery
RUN_150,TRIAD_050,A,A17,A17_WindowEarlyLate40_B3000,WindowEarlyLate40,3000,0.0,R2,1385197443,536635280,discovery
RUN_178,TRIAD_060,B,B01,B01_LowConfidence-Defect_B3000,LowConfidence-Defect,3000,0.1,T,1343723075,557963550,discovery
RUN_179,TRIAD_060,B,B01,B01_LowConfidence-Defect_B3000,LowConfidence-Defect,3000,0.1,R1,1343723075,1359538428,discovery
RUN_180,TRIAD_060,B,B01,B01_LowConfidence-Defect_B3000,LowConfidence-Defect,3000,0.1,R2,1343723075,1025934106,discovery
RUN_208,TRIAD_070,B,B05,B05_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.2,T,1829910790,1403913016,discovery
RUN_209,TRIAD_070,B,B05,B05_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.2,R1,1829910790,1719462789,discovery
RUN_210,TRIAD_070,B,B05,B05_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.2,R2,1829910790,1604841168,discovery
RUN_238,TRIAD_080,C,A02,C_A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,T,53303004,1432937773,confirmation
RUN_239,TRIAD_080,C,A02,C_A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R1,53303004,1965309379,confirmation
RUN_240,TRIAD_080,C,A02,C_A02_GapCritical-Strict_B3000,GapCritical-Strict,3000,0.0,R2,53303004,166766958,confirmation
