run_slot,triad_id,phase,condition_slot,condition_id,method,budget,guard_ratio,arm,training_seed,selection_seed,discovery_or_confirmation
RUN_001,TRIAD_001,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,T,1829910790,1228591616,discovery
RUN_002,TRIAD_001,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,R1,1829910790,402136193,discovery
RUN_003,TRIAD_001,A,A01,A01_GapCritical-Strict_B600,GapCritical-Strict,600,0.0,R2,1829910790,496611123,discovery
RUN_031,TRIAD_011,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,T,1385197443,2116633375,discovery
RUN_032,TRIAD_011,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,R1,1385197443,1148495985,discovery
RUN_033,TRIAD_011,A,A04,A04_GapCritical-Global_B3000,GapCritical-Global,3000,0.0,R2,1385197443,306811237,discovery
RUN_061,TRIAD_021,A,A07,A07_Boundary-0.5-Clean_B600,Boundary-0.5-Clean,600,0.0,T,1343723075,309254528,discovery
RUN_062,TRIAD_021,A,A07,A07_Boundary-0.5-Clean_B600,Boundary-0.5-Clean,600,0.0,R1,1343723075,1597834894,discovery
RUN_063,TRIAD_021,A,A07,A07_Boundary-0.5-Clean_B600,Boundary-0.5-Clean,600,0.0,R2,1343723075,1849050892,discovery
RUN_091,TRIAD_031,A,A11,A11_EndpointTrend_B600,EndpointTrend,600,0.0,T,1829910790,116752763,discovery
RUN_092,TRIAD_031,A,A11,A11_EndpointTrend_B600,EndpointTrend,600,0.0,R1,1829910790,138194905,discovery
RUN_093,TRIAD_031,A,A11,A11_EndpointTrend_B600,EndpointTrend,600,0.0,R2,1829910790,599831945,discovery
RUN_121,TRIAD_041,A,A14,A14_FoldBalanced-Gap_B3000,FoldBalanced-Gap,3000,0.0,T,1385197443,1447515152,discovery
RUN_122,TRIAD_041,A,A14,A14_FoldBalanced-Gap_B3000,FoldBalanced-Gap,3000,0.0,R1,1385197443,987373371,discovery
RUN_123,TRIAD_041,A,A14,A14_FoldBalanced-Gap_B3000,FoldBalanced-Gap,3000,0.0,R2,1385197443,587321689,discovery
RUN_151,TRIAD_051,A,A17,A17_WindowEarlyLate40_B3000,WindowEarlyLate40,3000,0.0,T,1343723075,2018778730,discovery
RUN_152,TRIAD_051,A,A17,A17_WindowEarlyLate40_B3000,WindowEarlyLate40,3000,0.0,R1,1343723075,30649141,discovery
RUN_153,TRIAD_051,A,A17,A17_WindowEarlyLate40_B3000,WindowEarlyLate40,3000,0.0,R2,1343723075,697224136,discovery
RUN_181,TRIAD_061,B,B02,B02_Persistent-FN_B3000,Persistent-FN,3000,0.1,T,1829910790,1211924448,discovery
RUN_182,TRIAD_061,B,B02,B02_Persistent-FN_B3000,Persistent-FN,3000,0.1,R1,1829910790,998419963,discovery
RUN_183,TRIAD_061,B,B02,B02_Persistent-FN_B3000,Persistent-FN,3000,0.1,R2,1829910790,800112628,discovery
RUN_211,TRIAD_071,B,B05,B05_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.2,T,1385197443,1700867627,discovery
RUN_212,TRIAD_071,B,B05,B05_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.2,R1,1385197443,1484933370,discovery
RUN_213,TRIAD_071,B,B05,B05_GapGuard-Raw_B3000,GapGuard-Raw,3000,0.2,R2,1385197443,841457295,discovery
