setting_id,setting_name,signal,bucket,bucket_rank,image_id,img_rel_path,pool_rank,calibrated_p,R,C,D,S,pi,duplication_count,selected_flag
R-Q1,r_q1_bucket_uniform151,R,Q1,1,Normal_00005623,train/Normal/00005623.png,161,0.309186,0.973244,0.341813,0.546892,0.973244,0.02,3,1
R-Q1,r_q1_bucket_uniform151,R,Q1,2,Normal_00496516,train/Normal/00496516.png,244,0.281923,0.937899,0.264684,0.867034,0.937899,0.02,3,1
R-Q1,r_q1_bucket_uniform151,R,Q1,3,Normal_00039977,train/Normal/00039977.png,96,0.275998,0.875104,0.358411,0.952316,0.875104,0.02,3,1
R-Q1,r_q1_bucket_uniform151,R,Q1,4,Normal_00439640,train/Normal/00439640.png,155,0.30465,0.836654,0.709529,0.47183,0.836654,0.02,3,1
R-Q1,r_q1_bucket_uniform151,R,Q1,5,Normal_00491918,train/Normal/00491918.png,184,0.274276,0.826299,0.35553,0.625892,0.826299,0.02,3,1
R-Q1,r_q1_bucket_uniform151,R,Q1,6,Normal_00488120,train/Normal/00488120.png,242,0.304268,0.82608,0.740085,0.906757,0.82608,0.02,4,1
R-Q1,r_q1_bucket_uniform151,R,Q1,7,Normal_00320225,train/Normal/00320225.png,246,0.273844,0.814473,0.196009,0.638883,0.814473,0.02,3,1
R-Q1,r_q1_bucket_uniform151,R,Q1,8,Normal_00335362,train/Normal/00335362.png,211,0.272976,0.791261,0.000469,0.859695,0.791261,0.02,3,1
R-Q1,r_q1_bucket_uniform151,R,Q1,9,Normal_00480646,train/Normal/00480646.png,134,0.317312,0.783708,0.151611,0.740538,0.783708,0.02,3,1
R-Q1,r_q1_bucket_uniform151,R,Q1,10,Normal_00399106,train/Normal/00399106.png,99,0.318039,0.764945,0.63238,0.916535,0.764945,0.02,3,1
R-Q1,r_q1_bucket_uniform151,R,Q1,11,Normal_00133710,train/Normal/00133710.png,159,0.318401,0.75575,0.152127,0.805383,0.75575,0.02,3,1
R-Q1,r_q1_bucket_uniform151,R,Q1,12,Normal_00015255,train/Normal/00015255.png,224,0.288924,0.742708,0.460657,0.790946,0.742708,0.02,3,1
R-Q1,r_q1_bucket_uniform151,R,Q1,13,Normal_00396948,train/Normal/00396948.png,180,0.319487,0.72889,0.819404,0.71226,0.72889,0.02,3,1
R-Q1,r_q1_bucket_uniform151,R,Q1,14,Normal_00337016,train/Normal/00337016.png,185,0.300421,0.726661,0.999928,0.154767,0.726661,0.02,3,1
R-Q1,r_q1_bucket_uniform151,R,Q1,15,Normal_00143068,train/Normal/00143068.png,231,0.269914,0.71447,0.048201,0.930791,0.71447,0.02,3,1
R-Q1,r_q1_bucket_uniform151,R,Q1,16,Normal_00025314,train/Normal/00025314.png,46,0.269473,0.704044,0.552542,0.881581,0.704044,0.02,3,1
R-Q1,r_q1_bucket_uniform151,R,Q1,17,Normal_00315400,train/Normal/00315400.png,77,0.320928,0.694704,0.220493,0.762706,0.694704,0.02,3,1
R-Q1,r_q1_bucket_uniform151,R,Q1,18,Normal_00341812,train/Normal/00341812.png,76,0.290944,0.694328,0.749933,0.945661,0.694328,0.02,3,1
