setting_id,setting_name,signal,bucket,bucket_rank,image_id,img_rel_path,pool_rank,calibrated_p,R,C,D,S,pi,duplication_count,selected_flag
D-Q1,d_q1_bucket_uniform151,D,Q1,1,Normal_00315086,train/Normal/00315086.png,129,0.365102,0.159337,0.789107,1.0,1.0,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,2,Normal_00400764,train/Normal/00400764.png,80,0.452835,0.008556,0.859606,0.988064,0.988064,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,3,Normal_00353710,train/Normal/00353710.png,201,0.443924,0.011515,0.704978,0.986502,0.986502,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,4,Normal_00344448,train/Normal/00344448.png,68,0.78654,0.0,0.914665,0.984704,0.984704,0.02,4,1
D-Q1,d_q1_bucket_uniform151,D,Q1,5,Normal_00373194,train/Normal/00373194.png,214,0.512765,0.001161,0.077336,0.983971,0.983971,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,6,Normal_00453020,train/Normal/00453020.png,31,0.466202,0.005479,0.123434,0.983968,0.983968,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,7,Normal_00444253,train/Normal/00444253.png,181,0.442295,0.012157,0.556921,0.983026,0.983026,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,8,Normal_00471047,train/Normal/00471047.png,199,0.24369,0.298097,0.131106,0.981957,0.981957,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,9,Normal_00491599,train/Normal/00491599.png,158,0.740867,1e-06,0.154626,0.981739,0.981739,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,10,Normal_00313509,train/Normal/00313509.png,179,0.386807,0.077286,0.288011,0.980712,0.980712,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,11,Normal_00136785,train/Normal/00136785.png,164,0.473369,0.004315,0.46042,0.977592,0.977592,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,12,Normal_00482040,train/Normal/00482040.png,150,0.362265,0.175142,0.058577,0.975231,0.975231,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,13,Normal_00354695,train/Normal/00354695.png,69,0.519491,0.000927,0.008236,0.974461,0.974461,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,14,Normal_00471904,train/Normal/00471904.png,191,0.593339,7.9e-05,0.834108,0.971772,0.971772,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,15,Normal_00015075,train/Normal/00015075.png,178,0.692035,3e-06,0.454264,0.967102,0.967102,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,16,Normal_00348805,train/Normal/00348805.png,87,0.589628,9e-05,0.461278,0.966914,0.966914,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,17,Normal_00317503,train/Normal/00317503.png,63,0.418566,0.026813,0.289211,0.961504,0.961504,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,18,Normal_00486991,train/Normal/00486991.png,145,0.486312,0.002803,0.54844,0.960022,0.960022,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,19,Normal_00313362,train/Normal/00313362.png,203,0.235525,0.227073,0.600623,0.959238,0.959238,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,20,Normal_00444256,train/Normal/00444256.png,140,0.680152,4e-06,0.010848,0.958561,0.958561,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,21,Normal_00341441,train/Normal/00341441.png,44,0.594772,7.5e-05,0.244632,0.957978,0.957978,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,22,Normal_00513364,train/Normal/00513364.png,160,0.755375,0.0,0.000304,0.955997,0.955997,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,23,Normal_00416011,train/Normal/00416011.png,143,0.741737,1e-06,0.110466,0.955301,0.955301,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,24,Normal_00369013,train/Normal/00369013.png,229,0.418566,0.026813,0.906829,0.953911,0.953911,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,25,Normal_00312268,train/Normal/00312268.png,61,0.298085,0.672225,0.0,0.952743,0.952743,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,26,Normal_00039977,train/Normal/00039977.png,96,0.275998,0.875104,0.358411,0.952316,0.952316,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,27,Normal_00415416,train/Normal/00415416.png,176,0.414907,0.030291,0.007331,0.950103,0.950103,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,28,Normal_00452559,train/Normal/00452559.png,226,0.479189,0.003554,0.013581,0.948472,0.948472,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,29,Normal_00341812,train/Normal/00341812.png,76,0.290944,0.694328,0.749933,0.945661,0.945661,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,30,Normal_00314262,train/Normal/00314262.png,52,0.266808,0.644207,0.035435,0.942989,0.942989,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,31,Normal_00387838,train/Normal/00387838.png,141,0.664095,7e-06,0.536083,0.941631,0.941631,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,32,Normal_00147703,train/Normal/00147703.png,165,0.604043,5.5e-05,0.430785,0.940958,0.940958,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,33,Normal_00423666,train/Normal/00423666.png,137,0.598953,6.6e-05,0.20342,0.939804,0.939804,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,34,Normal_00038009,train/Normal/00038009.png,79,0.500921,0.001722,0.712893,0.939765,0.939765,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,35,Normal_00437877,train/Normal/00437877.png,236,0.322004,0.670227,7e-05,0.939708,0.939708,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,36,Normal_00471490,train/Normal/00471490.png,62,0.397417,0.054264,0.004279,0.938541,0.938541,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,37,Normal_00484751,train/Normal/00484751.png,156,0.70378,2e-06,0.55496,0.937632,0.937632,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,38,Normal_00374379,train/Normal/00374379.png,88,0.43025,0.018163,0.026983,0.934116,0.934116,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,39,Normal_00397769,train/Normal/00397769.png,54,0.73977,1e-06,0.158022,0.932227,0.932227,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,40,Normal_00143068,train/Normal/00143068.png,231,0.269914,0.71447,0.048201,0.930791,0.930791,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,41,Normal_00288624,train/Normal/00288624.png,111,0.661371,8e-06,0.096244,0.930267,0.930267,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,42,Normal_00168417,train/Normal/00168417.png,186,0.655327,1e-05,0.338959,0.928851,0.928851,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,43,Normal_00417012,train/Normal/00417012.png,122,0.375944,0.111011,0.067699,0.927799,0.927799,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,44,Normal_00503763,train/Normal/00503763.png,117,0.522001,0.000853,0.940259,0.926747,0.926747,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,45,Normal_00486171,train/Normal/00486171.png,200,0.593052,8e-05,0.173732,0.924759,0.924759,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,46,Normal_00490366,train/Normal/00490366.png,241,0.533133,0.000589,0.123503,0.923516,0.923516,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,47,Normal_00402029,train/Normal/00402029.png,86,0.388889,0.072105,0.001671,0.922895,0.922895,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,48,Normal_00463730,train/Normal/00463730.png,66,0.382615,0.088878,0.410172,0.922481,0.922481,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,49,Normal_00377670,train/Normal/00377670.png,208,0.600837,6.2e-05,0.064815,0.921403,0.921403,0.02,3,1
D-Q1,d_q1_bucket_uniform151,D,Q1,50,Normal_00384016,train/Normal/00384016.png,50,0.675412,5e-06,0.092279,0.919335,0.919335,0.02,3,1
