run_slot,triad_id,condition_id,arm,training_seed,selection_seed,rank,sample_id,y_true,oof_fold,dynamic_bucket,mean_p_defect,correct_rate,std_p_defect,replay_role,source_method
RUN_086,TRIAD_029,A10_Persistent-0.5-Clean_B3000,R1,1385197443,414599903,1,Det/images/normal_train/01140705.png,0,00,easy_clean,0.0146196663,1.0,0.0220860959,normal_replay,Persistent-0.5-Clean
RUN_086,TRIAD_029,A10_Persistent-0.5-Clean_B3000,R1,1385197443,414599903,2,Det/images/normal_train/00187327.png,0,03,ordinary,0.2629376837,1.0,0.1084971411,normal_replay,Persistent-0.5-Clean
RUN_086,TRIAD_029,A10_Persistent-0.5-Clean_B3000,R1,1385197443,414599903,3,Det/images/normal_train/00760237.png,0,04,easy_clean,0.0140234799,1.0,0.016240351,normal_replay,Persistent-0.5-Clean
RUN_086,TRIAD_029,A10_Persistent-0.5-Clean_B3000,R1,1385197443,414599903,4,Det/images/normal_train/00321689.png,0,03,easy_clean,0.0064951845,1.0,0.0301080659,normal_replay,Persistent-0.5-Clean
RUN_086,TRIAD_029,A10_Persistent-0.5-Clean_B3000,R1,1385197443,414599903,5,Det/images/normal_train/01039084.png,0,01,easy_clean,0.012243411,1.0,0.0229124404,normal_replay,Persistent-0.5-Clean
RUN_086,TRIAD_029,A10_Persistent-0.5-Clean_B3000,R1,1385197443,414599903,6,Det/images/normal_train/00907344.png,0,02,easy_clean,0.0027667945,1.0,0.0160762839,normal_replay,Persistent-0.5-Clean
RUN_086,TRIAD_029,A10_Persistent-0.5-Clean_B3000,R1,1385197443,414599903,7,Det/images/normal_train/01054392.png,0,00,easy_clean,0.0070636285,1.0,0.0101744221,normal_replay,Persistent-0.5-Clean
RUN_086,TRIAD_029,A10_Persistent-0.5-Clean_B3000,R1,1385197443,414599903,8,Det/images/normal_train/00894480.png,0,05,easy_clean,0.0058642204,1.0,0.0122832886,normal_replay,Persistent-0.5-Clean
RUN_086,TRIAD_029,A10_Persistent-0.5-Clean_B3000,R1,1385197443,414599903,9,Det/images/normal_train/00844747.png,0,00,learnable_hard,0.0368184643,0.995,0.0745625966,normal_replay,Persistent-0.5-Clean
RUN_086,TRIAD_029,A10_Persistent-0.5-Clean_B3000,R1,1385197443,414599903,10,Det/images/normal_train/00933597.png,0,03,easy_clean,0.0140334301,1.0,0.0169918173,normal_replay,Persistent-0.5-Clean
RUN_086,TRIAD_029,A10_Persistent-0.5-Clean_B3000,R1,1385197443,414599903,11,Det/images/normal_train/00553392.png,0,04,easy_clean,0.0020133541,1.0,0.0037620522,normal_replay,Persistent-0.5-Clean
RUN_086,TRIAD_029,A10_Persistent-0.5-Clean_B3000,R1,1385197443,414599903,12,Det/images/normal_train/00532475.png,0,07,easy_clean,0.0005606083,1.0,0.0007915468,normal_replay,Persistent-0.5-Clean
RUN_086,TRIAD_029,A10_Persistent-0.5-Clean_B3000,R1,1385197443,414599903,13,Det/images/normal_train/00585718.png,0,05,easy_clean,0.0012939411,1.0,0.002059116,normal_replay,Persistent-0.5-Clean
RUN_086,TRIAD_029,A10_Persistent-0.5-Clean_B3000,R1,1385197443,414599903,14,Det/images/normal_train/00373118.png,0,03,easy_clean,0.0723529028,1.0,0.078768494,normal_replay,Persistent-0.5-Clean
