img_path,img_rel_path,gt,pred,p_abnormal,p_normal,top1_label,top1_prob,top2_label,top2_prob,top3_label,top3_prob,heuristic_group,heuristic_reason
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00022521.png,train\Normal\00022521.png,Normal,Normal,0.491699,0.508301,Normal,0.508301,Abnormal,0.491699,,0.0,其他,未命中显著启发式规则。
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00312268.png,train\Normal\00312268.png,Normal,Normal,0.354492,0.645508,Normal,0.645508,Abnormal,0.354492,,0.0,其他,未命中显著启发式规则。
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00449921.png,train\Normal\00449921.png,Normal,Normal,0.344238,0.655762,Normal,0.655762,Abnormal,0.344238,,0.0,污渍,亮度与颜色波动同时较强。
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00315400.png,train\Normal\00315400.png,Normal,Normal,0.291992,0.708008,Normal,0.708008,Abnormal,0.291992,,0.0,其他,未命中显著启发式规则。
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00021678.png,train\Normal\00021678.png,Normal,Normal,0.279785,0.720215,Normal,0.720215,Abnormal,0.279785,,0.0,其他,未命中显著启发式规则。
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00313867.png,train\Normal\00313867.png,Normal,Normal,0.256348,0.743652,Normal,0.743652,Abnormal,0.256348,,0.0,其他,未命中显著启发式规则。
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00375408.png,train\Normal\00375408.png,Normal,Normal,0.244995,0.754883,Normal,0.754883,Abnormal,0.244995,,0.0,其他,未命中显著启发式规则。
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00022588.png,train\Normal\00022588.png,Normal,Normal,0.242065,0.757812,Normal,0.757812,Abnormal,0.242065,,0.0,水膜,饱和度较低且整体亮度变化平缓。
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00279179.png,train\Normal\00279179.png,Normal,Normal,0.210571,0.789551,Normal,0.789551,Abnormal,0.210571,,0.0,其他,未命中显著启发式规则。
C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Normal\00283590.png,train\Normal\00283590.png,Normal,Normal,0.194946,0.805176,Normal,0.805176,Abnormal,0.194946,,0.0,污渍,亮度与颜色波动同时较强。
