target_id,title,authors,year,venue,primary_url,full_text_url,doi_or_repository_id,proposed_rq_ids,directness_hint,discovery_query,discovered_at,duplicate_check_status,screening_status,version_group_note
TP001,Rethinking Data Selection: The Importance of Coverage over Difficulty in Generative Fine-Tuning,Lalchand Pandia; Kanishka Misra; Allyson Ettinger,2026,ICLR 2026 Workshop DATA-FM,https://openreview.net/forum?id=qImiy98UhN,https://openreview.net/pdf?id=qImiy98UhN,OPENREVIEW:qImiy98UhN,RQ2;RQ5;RQ7,D1_DIRECT_UTILITY,"exact title, coverage over difficulty, random baseline",2026-08-09T23:33:07+08:00,NO_EXACT_TITLE_OR_DOI_MATCH_IN_OPENALEX_V1,PENDING_PRIMARY_SOURCE_REVIEW,Workshop version; do not merge with the anonymous ICLR submission without manual version review.
TP002,A Label is Worth A Thousand Images in Dataset Distillation,Tian Qin; Zhiwei Deng; David Alvarez-Melis,2024,NeurIPS 2024,https://openreview.net/forum?id=oNMnR0NJ2e,https://openreview.net/pdf?id=oNMnR0NJ2e,OPENREVIEW:oNMnR0NJ2e,RQ2;RQ5,D4_APPLICATION_TRANSFER,"exact title, dataset distillation, difficulty quantiles",2026-08-09T23:33:07+08:00,NO_EXACT_TITLE_OR_DOI_MATCH_IN_OPENALEX_V1,PENDING_PRIMARY_SOURCE_REVIEW,Synthetic-label distillation study; transfer to replay must be justified rather than assumed.
TP003,Investigating Multi-source Active Learning for Natural Language Inference,Ard Snijders; Douwe Kiela; Katerina Margatina,2023,EACL 2023,https://aclanthology.org/2023.eacl-main.160/,https://aclanthology.org/2023.eacl-main.160.pdf,10.18653/v1/2023.eacl-main.160,RQ1;RQ2;RQ4;RQ5;RQ7,D1_DIRECT_UTILITY,"exact title, multi-source active learning, collective outliers",2026-08-09T23:33:07+08:00,NO_EXACT_TITLE_OR_DOI_MATCH_IN_OPENALEX_V1,PENDING_PRIMARY_SOURCE_REVIEW,Active-learning acquisition is not identical to replay; random-control failure mechanism is directly relevant.
TP004,Mind Your Outliers! Investigating the Negative Impact of Outliers on Active Learning for Visual Question Answering,Siddharth Karamcheti; Ranjay Krishna; Li Fei-Fei; Christopher Manning,2021,ACL-IJCNLP 2021,https://aclanthology.org/2021.acl-long.564/,https://aclanthology.org/2021.acl-long.564.pdf,10.18653/v1/2021.acl-long.564,RQ1;RQ2;RQ4;RQ5;RQ7,D1_DIRECT_UTILITY,"exact title, active learning, collective outliers, random selection",2026-08-09T23:33:07+08:00,NO_EXACT_TITLE_OR_DOI_MATCH_IN_OPENALEX_V1,PENDING_PRIMARY_SOURCE_REVIEW,Primary ACL version; acquisition findings require a replay-specific falsifier.
TP005,Learnability Matters: Active Learning for Video Captioning,Yiqian Zhang; Buyu Liu; Jun Bao; Qiang Huang; Min Zhang; Jun Yu,2024,NeurIPS 2024,https://papers.nips.cc/paper_files/paper/2024/hash/43069caa6776eac8bca4bfd74d4a476d-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2024/file/43069caa6776eac8bca4bfd74d4a476d-Paper-Conference.pdf,10.52202/079017-1198,RQ1;RQ2;RQ4;RQ5;RQ7,D2_DIRECT_MECHANISM,"exact title, learnability, active learning, video captioning",2026-08-09T23:33:07+08:00,NO_EXACT_TITLE_OR_DOI_MATCH_IN_OPENALEX_V1,PENDING_PRIMARY_SOURCE_REVIEW,Video task offers a redundancy and learnability mechanism but not a Stage1 replay efficacy claim.
TP006,Data-Efficient Training by Evolved Sampling,Ziheng Cheng; Zhong Li; Jiang Bian,2024,AFM 2024,https://openreview.net/forum?id=pzCzqFdHd3,https://openreview.net/pdf?id=pzCzqFdHd3,OPENREVIEW:pzCzqFdHd3,RQ1;RQ2;RQ6;RQ7,D2_DIRECT_MECHANISM,"exact title, evolved sampling, loss differences, dynamic selection",2026-08-09T23:33:07+08:00,NO_EXACT_TITLE_OR_DOI_MATCH_IN_OPENALEX_V1,PENDING_PRIMARY_SOURCE_REVIEW,"Version family includes OpenReview 2CflgSMLoK, 35yxQ6CuVT and arXiv 2509.23461; canonical identity requires manual comparison."
TP007,GRASP: A Rehearsal Policy for Efficient Online Continual Learning,Md Yousuf Harun; Jhair Gallardo; Junyu Chen; Christopher Kanan,2025,Proceedings of The 3rd Conference on Lifelong Learning Agents,https://proceedings.mlr.press/v274/harun25a.html,https://raw.githubusercontent.com/mlresearch/v274/main/assets/harun25a/harun25a.pdf,PMLR:v274/harun25a,RQ1;RQ2;RQ5;RQ6;RQ7,D1_DIRECT_UTILITY,"exact title, rehearsal policy, easy to hard, uniform random",2026-08-09T23:33:07+08:00,NO_EXACT_TITLE_OR_DOI_MATCH_IN_OPENALEX_V1,PENDING_PRIMARY_SOURCE_REVIEW,Published in 2025 for the 2024 CoLLAs event; rehearsal setting differs from fixed-distribution replay.
TP008,Rethinking Data Shapley for Data Selection Tasks: Misleads and Merits,Jiachen T. Wang; Tianji Yang; James Zou; Yongchan Kwon; Ruoxi Jia,2024,ICML 2024,https://proceedings.mlr.press/v235/wang24cg.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/wang24cg/wang24cg.pdf,PMLR:v235/wang24cg,RQ3;RQ5;RQ7,D3_INFERENCE_CONTROL,"exact title, Data Shapley, random selection, limitations",2026-08-09T23:33:07+08:00,NO_EXACT_TITLE_OR_DOI_MATCH_IN_OPENALEX_V1,PENDING_PRIMARY_SOURCE_REVIEW,Theoretical and empirical counterevidence candidate; not a replay implementation.
TP009,Spaced Scheduling for Large Language Model Training,Amine El Hattami; Nicolas Chapados; Christopher Pal,2025,Transactions on Machine Learning Research,https://openreview.net/forum?id=p0KTYl2B9T,https://openreview.net/pdf?id=p0KTYl2B9T,OPENREVIEW:p0KTYl2B9T,RQ1;RQ2;RQ6;RQ7,D2_DIRECT_MECHANISM,"exact title, spaced scheduling, adaptive data selection, random baseline",2026-08-09T23:33:07+08:00,NO_EXACT_TITLE_OR_DOI_MATCH_IN_OPENALEX_V1,PENDING_PRIMARY_SOURCE_REVIEW,"OpenReview landing metadata is authoritative here; PDF contains spelling variants Chappados and Christoper that require note-level disclosure."
TP010,SEED: Targeted Data Selection by Weighted Independent Set,Yuan Zhang; Lifeng Guo; Junwen Pan; Chang Liu; Wenzhao Zheng; Kuan Cheng; Kurt Keutzer; Shanghang Zhang,2026,arXiv,https://arxiv.org/abs/2605.15691,https://arxiv.org/pdf/2605.15691,ARXIV:2605.15691,RQ3;RQ5;RQ7,D2_DIRECT_MECHANISM,"exact title, influence, weighted independent set, diversity",2026-08-09T23:33:07+08:00,NO_EXACT_TITLE_OR_DOI_MATCH_IN_OPENALEX_V1,PENDING_PRIMARY_SOURCE_REVIEW,Recent preprint; claims require full-text and cross-domain scrutiny before any Stage1 transfer.
