anchor_id,family,rq_ids,canonical_title,canonical_authors,year,queue_id,canonical_work_id,current_status,inclusion_basis,evidence_role,primary_url,full_text_url
A001,TRAINING_DYNAMICS,RQ1;RQ4,Dataset Cartography: Mapping and Diagnosing Datasets with Training Dynamics,Swabha Swayamdipta; Roy Schwartz; Nicholas Lourie; Yizhong Wang; Hannaneh Hajishirzi; Noah A. Smith; Yejin Choi,2020,RGC9DBF113F856F4FE,CWE157D064AB0EE690BCEA,DISCOVERED_NOT_BROAD_SCREENED,Defines confidence-variability data maps and hard-to-learn region,FOUNDATIONAL_MECHANISM,https://aclanthology.org/2020.emnlp-main.746/,https://aclanthology.org/2020.emnlp-main.746.pdf
A002,TRAINING_DYNAMICS,RQ1;RQ8,An Empirical Study of Example Forgetting during Deep Neural Network Learning,Mariya Toneva; Alessandro Sordoni; Remi Tachet des Combes; Adam Trischler; Yoshua Bengio; Geoffrey J. Gordon,2018,RGC0D4513EFDAC52B7,CW2058BFE8C66EA619873D,DISCOVERED_NOT_BROAD_SCREENED,Defines forgetting events and exposes training-order dependence,FOUNDATIONAL_MECHANISM,https://arxiv.org/abs/1812.05159,https://arxiv.org/pdf/1812.05159
A003,TRAINING_DYNAMICS,RQ1;RQ2,Deep Learning on a Data Diet: Finding Important Examples Early in Training,Mansheej Paul; Surya Ganguli; Gintare Karolina Dziugaite,2021,RG254E81CD85A50D22,CW1ECA2D0D8F67549BD4E1,BROAD_V2_ELIGIBLE,Defines GraNd and EL2N early-training importance scores,FOUNDATIONAL_MECHANISM,https://arxiv.org/abs/2107.07075,https://arxiv.org/pdf/2107.07075
A004,TRAINING_DYNAMICS,RQ1;RQ4,Identifying Mislabeled Data using the Area Under the Margin Ranking,Geoff Pleiss; Tianyi Zhang; Ethan R. Elenberg; Kilian Q. Weinberger,2020,RGCD2D2100BA9A77FD,CWBEC6D4B8418EE862A458,BROAD_V2_ELIGIBLE,Defines AUM trajectory statistic for suspicious-label detection,RELIABILITY_MECHANISM,https://arxiv.org/abs/2001.10528,https://arxiv.org/pdf/2001.10528
A005,TRAINING_DYNAMICS,RQ1;RQ6,Active Bias: Training More Accurate Neural Networks by Emphasizing High Variance Samples,Haw-Shiuan Chang; Erik Learned-Miller; Andrew McCallum,2017,AX501F9ECF2E222F25,CW501F9ECF2E222F2564D1,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN,Uses online prediction variance and threshold proximity with burn-in and exploration,FOUNDATIONAL_MECHANISM,https://proceedings.neurips.cc/paper/2017/hash/2f37d10131f2a483a8dd005b3d14b0d9-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2017/file/2f37d10131f2a483a8dd005b3d14b0d9-Paper.pdf
A006,TRAINING_DYNAMICS,RQ1;RQ6,Changing the Training Data Distribution to Reduce Simplicity Bias Improves In-distribution Generalization,Tuan Hai Dang Nguyen; Paymon Haddad; Eric Gan; Baharan Mirzasoleiman,2024,AXA06EB02B84C505EE,CWA06EB02B84C505EE335C,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN,Defines USEFUL early-output clustering and one-time upsampling with random controls,FOUNDATIONAL_INTERVENTION,https://proceedings.neurips.cc/paper_files/paper/2024/hash/7f5f9a88c6516469c83d074c6f2976fb-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/7f5f9a88c6516469c83d074c6f2976fb-Paper-Conference.pdf
A007,TRAINING_DYNAMICS,RQ1;RQ6,When Dynamic Data Selection Meets Data Augmentation,Yang Suorong; Peng Ye; Furao Shen; Dongzhan Zhou,2025,RG86DA247B35C3DF85,CWB5B86A61D2D40B74403B,BROAD_V2_ELIGIBLE,Studies dynamic selection coupled to augmentation and refresh timing,DYNAMIC_INTERVENTION,https://arxiv.org/abs/2505.03809,https://arxiv.org/pdf/2505.03809
A008,REDUCIBLE_LEARNABILITY,RQ2;RQ6,Prioritized Training on Points that are Learnable Worth Learning and Not Yet Learnt,Soren Mindermann; Jan Brauner; Muhammed Razzak; Mrinank Sharma; Andreas Kirsch; Winnie Xu; Benedikt Holtgen; Aidan N. Gomez; Adrien Morisot; Sebastian Farquhar; Yarin Gal,2022,RGED1DACF969323F31,CW1C4264F5AD37FAA5A2B2,BROAD_V2_ELIGIBLE,Defines reducible loss as current loss minus irreducible reference loss,FOUNDATIONAL_MECHANISM,https://proceedings.mlr.press/v162/mindermann22a.html,https://proceedings.mlr.press/v162/mindermann22a/mindermann22a.pdf
A009,REDUCIBLE_LEARNABILITY,RQ2;RQ7,BWS: Best Window Selection Based on Sample Scores for Data Pruning across Broad Ranges,Hoyong Choi; Nohyun Ki; Hye Won Chung,2024,AX9313629F9AEE4C10,CW9313629F9AEE4C100021,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN,Tests budget-dependent windows rather than always taking the hardest tail,BUDGET_DEPENDENCE,https://proceedings.mlr.press/v235/choi24c.html,https://proceedings.mlr.press/v235/choi24c/choi24c.pdf
A010,REDUCIBLE_LEARNABILITY,RQ2;RQ7,A Negative Result on Gradient Matching for Selective Backprop,Lukas Balles; Cedric Archambeau; Giovanni Zappella,2023,RG365E4B43FCF0F871,CW95905E41363466AB9C06,BROAD_V2_ELIGIBLE,Shows loss and last-layer gradient matching need not beat aligned random baselines,STRICT_NEGATIVE_CONTROL,https://arxiv.org/abs/2312.05021,https://arxiv.org/pdf/2312.05021
A011,DIRECTION_INFLUENCE,RQ3,Understanding Black-box Predictions via Influence Functions,Pang Wei Koh; Percy Liang,2017,RGA2645A37BA2ADFA3,CW4393E96BD48909A90BAF,BROAD_V2_ELIGIBLE,Foundational parameter-removal influence approximation,FOUNDATIONAL_MECHANISM,https://proceedings.mlr.press/v70/koh17a.html,https://proceedings.mlr.press/v70/koh17a/koh17a.pdf
A012,DIRECTION_INFLUENCE,RQ3;RQ8,Estimating Training Data Influence by Tracing Gradient Descent,Garima Pruthi; Frederick Liu; Satyen Kale; Mukund Sundararajan,2020,RG73E7B805F9AD76C7,CWA30DF06C8D4A2F1ECC29,DISCOVERED_NOT_BROAD_SCREENED,Defines checkpoint-traced gradient influence and harmful direction,FOUNDATIONAL_MECHANISM,https://proceedings.neurips.cc/paper/2020/hash/e6385d39ec9394f2f3a354d9d2b88eec-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2020/file/e6385d39ec9394f2f3a354d9d2b88eec-Paper.pdf
A013,DIRECTION_INFLUENCE,RQ3;RQ4,Learning to Reweight Examples for Robust Deep Learning,Mengye Ren; Wenyuan Zeng; Bin Yang; Raquel Urtasun,2018,RG3DABAD3E9CB489E4,CW3073B4D03E5D1D452B9F,BROAD_V2_ELIGIBLE,Defines validation-gradient-driven example reweighting,TARGET_DIRECTION_MECHANISM,https://proceedings.mlr.press/v80/ren18a.html,https://proceedings.mlr.press/v80/ren18a/ren18a.pdf
A014,DIRECTION_INFLUENCE,RQ3;RQ5;RQ7,GLISTER: Generalization based Data Subset Selection for Efficient and Robust Learning,Krishnateja Killamsetty; Durga Sivasubramanian; Ganesh Ramakrishnan; Rishabh Iyer,2021,RG08D4BDEF38C63D1C,CWE6B9AC3B38B527C49DFD,DISCOVERED_NOT_BROAD_SCREENED,Optimizes validation objective under subset budget and supports diversity terms,TARGET_SET_UTILITY,https://ojs.aaai.org/index.php/AAAI/article/view/16988,https://ojs.aaai.org/index.php/AAAI/article/download/16988/16795
A015,DIRECTION_INFLUENCE,RQ3;RQ5,GRAD-MATCH: Gradient Matching based Data Subset Selection for Efficient Deep Model Training,Krishnateja Killamsetty; Durga Sivasubramanian; Ganesh Ramakrishnan; Abir De; Rishabh Iyer,2021,RGBB8E4E864A80CC35,CWF8F6623D2632364B5CFB,BROAD_V2_ELIGIBLE,Defines gradient-matching coreset objective,FOUNDATIONAL_MECHANISM,https://proceedings.mlr.press/v139/killamsetty21a.html,https://proceedings.mlr.press/v139/killamsetty21a/killamsetty21a.pdf
A016,DIRECTION_INFLUENCE,RQ3;RQ5;RQ6,GREATS: Online Selection of High-Quality Data for LLM Training in Every Iteration,Jiachen T. Wang; Tong Wu; Dawn Song; Prateek Mittal; Ruoxi Jia,2024,AX6987DB4646B2490F,CW6987DB4646B2490FEC86,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN,Treats online batch value as a set function using Taylor approximation,TARGET_SET_UTILITY,https://proceedings.neurips.cc/paper_files/paper/2024/hash/ed165f2ff227cf36c7e3ef88957dadd9-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/ed165f2ff227cf36c7e3ef88957dadd9-Paper-Conference.pdf
A017,DIRECTION_INFLUENCE,RQ3;RQ8,TRAK: Attributing Model Behavior at Scale,Sung Min Park; Kristian Georgiev; Andrew Ilyas; Guillaume Leclerc; Aleksander Madry,2023,RG58273450C7E07FB2,CW15F14534F94F6674F9AB,BROAD_V2_ELIGIBLE,Scalable attribution across model training randomness,ATTRIBUTION_MECHANISM,https://proceedings.mlr.press/v202/park23c.html,https://proceedings.mlr.press/v202/park23c/park23c.pdf
A018,DIRECTION_INFLUENCE,RQ3;RQ5,Data curation via joint example selection further accelerates multimodal learning,Talfan Evans; Nikhil Parthasarathy; Hamza Merzic; Olivier J. Henaff,2024,AX5D5392D5D7F1038E,CW6B8A991F073C69958D99,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN,Shows batch composition changes learnability beyond independent point scores,SET_INTERACTION_MECHANISM,https://proceedings.neurips.cc/paper_files/paper/2024/hash/ff8d608f6dcebec401df78ca76617e95-Abstract-Datasets_and_Benchmarks_Track.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/ff8d608f6dcebec401df78ca76617e95-Paper-Datasets_and_Benchmarks_Track.pdf
