query_id,database,exact_query,searched_at,result_start,result_end,raw_result_count,primary_result_url,candidate_id,provenance_status
TQ001,PRIMARY_SITE_EXACT_TITLE_SEARCH,"site:openreview.net Rethinking Data Selection The Importance of Coverage over Difficulty",2026-08-09T23:20:00+08:00,1,1,NOT_REPORTED_BY_SEARCH_PROVIDER,https://openreview.net/forum?id=qImiy98UhN,TP001,PRIMARY_PAGE_IDENTITY_CHECKED_CANDIDATE_ONLY
TQ002,PRIMARY_SITE_EXACT_TITLE_SEARCH,"site:openreview.net A Label is Worth a Thousand Images in Dataset Distillation",2026-08-09T23:20:00+08:00,1,1,NOT_REPORTED_BY_SEARCH_PROVIDER,https://openreview.net/forum?id=oNMnR0NJ2e,TP002,PRIMARY_PAGE_IDENTITY_CHECKED_CANDIDATE_ONLY
TQ003,PRIMARY_SITE_EXACT_TITLE_SEARCH,"site:aclanthology.org Investigating Multi-source Active Learning for Natural Language Inference",2026-08-09T23:20:00+08:00,1,1,NOT_REPORTED_BY_SEARCH_PROVIDER,https://aclanthology.org/2023.eacl-main.160/,TP003,PRIMARY_PAGE_IDENTITY_CHECKED_CANDIDATE_ONLY
TQ004,PRIMARY_SITE_EXACT_TITLE_SEARCH,"site:aclanthology.org Mind Your Outliers Investigating the Negative Impact of Outliers",2026-08-09T23:20:00+08:00,1,1,NOT_REPORTED_BY_SEARCH_PROVIDER,https://aclanthology.org/2021.acl-long.564/,TP004,PRIMARY_PAGE_IDENTITY_CHECKED_CANDIDATE_ONLY
TQ005,PRIMARY_SITE_EXACT_TITLE_SEARCH,"site:papers.nips.cc Learnability Matters Active Learning for Video Captioning",2026-08-09T23:20:00+08:00,1,1,NOT_REPORTED_BY_SEARCH_PROVIDER,https://papers.nips.cc/paper_files/paper/2024/hash/43069caa6776eac8bca4bfd74d4a476d-Abstract-Conference.html,TP005,PRIMARY_PAGE_IDENTITY_CHECKED_CANDIDATE_ONLY
TQ006,PRIMARY_SITE_EXACT_TITLE_SEARCH,"site:openreview.net Data-Efficient Training by Evolved Sampling",2026-08-09T23:20:00+08:00,1,3,NOT_REPORTED_BY_SEARCH_PROVIDER,https://openreview.net/forum?id=pzCzqFdHd3,TP006,PRIMARY_PAGE_IDENTITY_CHECKED_VERSION_FAMILY_UNRESOLVED
TQ007,PRIMARY_SITE_EXACT_TITLE_SEARCH,"site:proceedings.mlr.press GRASP rehearsal policy Harun",2026-08-09T23:20:00+08:00,1,1,NOT_REPORTED_BY_SEARCH_PROVIDER,https://proceedings.mlr.press/v274/harun25a.html,TP007,PRIMARY_PAGE_IDENTITY_CHECKED_CANDIDATE_ONLY
TQ008,PRIMARY_SITE_EXACT_TITLE_SEARCH,"site:proceedings.mlr.press Rethinking Data Shapley for Data Selection",2026-08-09T23:20:00+08:00,1,1,NOT_REPORTED_BY_SEARCH_PROVIDER,https://proceedings.mlr.press/v235/wang24cg.html,TP008,PRIMARY_PAGE_IDENTITY_CHECKED_CANDIDATE_ONLY
TQ009,PRIMARY_SITE_EXACT_TITLE_SEARCH,"site:openreview.net Spaced Scheduling for Large Language Model Training",2026-08-09T23:20:00+08:00,1,1,NOT_REPORTED_BY_SEARCH_PROVIDER,https://openreview.net/forum?id=p0KTYl2B9T,TP009,PRIMARY_PAGE_IDENTITY_CHECKED_CANDIDATE_ONLY
TQ010,PRIMARY_SITE_EXACT_TITLE_SEARCH,"site:arxiv.org 2605.15691 SEED Targeted Data Selection Weighted Independent Set",2026-08-09T23:20:00+08:00,1,1,NOT_REPORTED_BY_SEARCH_PROVIDER,https://arxiv.org/abs/2605.15691,TP010,PRIMARY_PAGE_IDENTITY_CHECKED_CANDIDATE_ONLY
