paper_id,queue_id,anchor_id,family,quota_rq,rq_ids,selection_role,title,authors,year,primary_url,full_text_url,source_path,source_sha256,text_path,text_sha256,current_status
RGC9DBF113F856F4FE,RGC9DBF113F856F4FE,A001,TRAINING_DYNAMICS,RQ1;RQ4,RQ1;RQ4,MANDATORY_ANCHOR,Dataset Cartography: Mapping and Diagnosing Datasets with Training Dynamics,Swabha Swayamdipta; Roy Schwartz; Nicholas Lourie; Yizhong Wang; Hannaneh Hajishirzi; Noah A. Smith; Yejin Choi,2020,https://aclanthology.org/2020.emnlp-main.746/,https://aclanthology.org/2020.emnlp-main.746.pdf,sources/anchor_supplement_v2/RGC9DBF113F856F4FE.pdf,E3D807F0E007FF03A22F6B80176F4BBC9F734E7804061C61792C6FF1B97C550F,discovery/anchor_text_v2/RGC9DBF113F856F4FE.txt,1EFFF214ADE8635FF648EB2E4E1FA94E08ECD62694AEB0A129127788125AFE8F,DISCOVERED_NOT_BROAD_SCREENED
RGC0D4513EFDAC52B7,RGC0D4513EFDAC52B7,A002,TRAINING_DYNAMICS,RQ1;RQ8,RQ1;RQ8,MANDATORY_ANCHOR,An Empirical Study of Example Forgetting during Deep Neural Network Learning,Mariya Toneva; Alessandro Sordoni; Remi Tachet des Combes; Adam Trischler; Yoshua Bengio; Geoffrey J. Gordon,2018,https://arxiv.org/abs/1812.05159,https://arxiv.org/pdf/1812.05159,sources/anchor_supplement_v2/RGC0D4513EFDAC52B7.pdf,0CEEF9C602D22B977BAF61E1E62897EE0D3D1A043E93D34129B3A448A9120C89,discovery/anchor_text_v2/RGC0D4513EFDAC52B7.txt,1B0024B95D6E0BAE7A905A0C13D2A43C7772EE080EAF70F0180483CC57A5B83F,DISCOVERED_NOT_BROAD_SCREENED
AX501F9ECF2E222F25,AX501F9ECF2E222F25,A005,TRAINING_DYNAMICS,RQ1;RQ6,RQ1;RQ6,MANDATORY_ANCHOR,Active Bias: Training More Accurate Neural Networks by Emphasizing High Variance Samples,Haw-Shiuan Chang; Erik Learned-Miller; Andrew McCallum,2017,https://proceedings.neurips.cc/paper/2017/hash/2f37d10131f2a483a8dd005b3d14b0d9-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2017/file/2f37d10131f2a483a8dd005b3d14b0d9-Paper.pdf,sources/anchor_supplement_v2/AX501F9ECF2E222F25.pdf,0D71370BC89D5CF65DAEB2EC55447732E7ABAD58D32CAABEA5769C052B24301F,discovery/anchor_text_v2/AX501F9ECF2E222F25.txt,9F5B54B5A585AD9D33341292931030CCE16EAAF888A3B4F96612B666AB113179,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN
AXA06EB02B84C505EE,AXA06EB02B84C505EE,A006,TRAINING_DYNAMICS,RQ1;RQ6,RQ1;RQ6,MANDATORY_ANCHOR,Changing the Training Data Distribution to Reduce Simplicity Bias Improves In-distribution Generalization,Tuan Hai Dang Nguyen; Paymon Haddad; Eric Gan; Baharan Mirzasoleiman,2024,https://proceedings.neurips.cc/paper_files/paper/2024/hash/7f5f9a88c6516469c83d074c6f2976fb-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/7f5f9a88c6516469c83d074c6f2976fb-Paper-Conference.pdf,sources/anchor_supplement_v2/AXA06EB02B84C505EE.pdf,4F4ADFD9D367CB447D022ADD228233495B2D7295932892BD2E16A8041BE2CBA7,discovery/anchor_text_v2/AXA06EB02B84C505EE.txt,ED07212C882C891692CD748068F62DBE2909AABFAF3C4A228DDC839FFD22E54F,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN
AX9313629F9AEE4C10,AX9313629F9AEE4C10,A009,REDUCIBLE_LEARNABILITY,RQ2;RQ7,RQ2;RQ7,MANDATORY_ANCHOR,BWS: Best Window Selection Based on Sample Scores for Data Pruning across Broad Ranges,Hoyong Choi; Nohyun Ki; Hye Won Chung,2024,https://proceedings.mlr.press/v235/choi24c.html,https://proceedings.mlr.press/v235/choi24c/choi24c.pdf,sources/anchor_supplement_v2/AX9313629F9AEE4C10.pdf,298402A15EC7252BB871E9948CFF856F5C1CE7A9A672273C49B730444C0F6FCB,discovery/anchor_text_v2/AX9313629F9AEE4C10.txt,4B16878F7AAD2D521441ECA739941DC5E1F7EC3CA0423AFE8AF49A280CC81950,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN
RG73E7B805F9AD76C7,RG73E7B805F9AD76C7,A012,DIRECTION_INFLUENCE,RQ3;RQ8,RQ3;RQ8,MANDATORY_ANCHOR,Estimating Training Data Influence by Tracing Gradient Descent,Garima Pruthi; Frederick Liu; Satyen Kale; Mukund Sundararajan,2020,https://proceedings.neurips.cc/paper/2020/hash/e6385d39ec9394f2f3a354d9d2b88eec-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2020/file/e6385d39ec9394f2f3a354d9d2b88eec-Paper.pdf,sources/anchor_supplement_v2/RG73E7B805F9AD76C7.pdf,B31C94316EF78E2E5F28553FE7F54098E2AAFB431405471D5624D073465D09C9,discovery/anchor_text_v2/RG73E7B805F9AD76C7.txt,671C63052DAC83C76B478046007BA3AB94E5F0EA3C8593C5716446D11052CCC5,DISCOVERED_NOT_BROAD_SCREENED
RG08D4BDEF38C63D1C,RG08D4BDEF38C63D1C,A014,DIRECTION_INFLUENCE,RQ3;RQ5;RQ7,RQ3;RQ5;RQ7,MANDATORY_ANCHOR,GLISTER: Generalization based Data Subset Selection for Efficient and Robust Learning,Krishnateja Killamsetty; Durga Sivasubramanian; Ganesh Ramakrishnan; Rishabh Iyer,2021,https://ojs.aaai.org/index.php/AAAI/article/view/16988,https://ojs.aaai.org/index.php/AAAI/article/download/16988/16795,sources/anchor_supplement_v2/RG08D4BDEF38C63D1C.pdf,88ECDA6540A7E528B2CB7C7763492CFB5763A0D421580ADB50E130FB9551BAF6,discovery/anchor_text_v2/RG08D4BDEF38C63D1C.txt,A59C155D4D3780F19C4BA49F636927323E2ECA850393900FE982A9710211BB78,DISCOVERED_NOT_BROAD_SCREENED
AX6987DB4646B2490F,AX6987DB4646B2490F,A016,DIRECTION_INFLUENCE,RQ3;RQ5;RQ6,RQ3;RQ5;RQ6,MANDATORY_ANCHOR,GREATS: Online Selection of High-Quality Data for LLM Training in Every Iteration,Jiachen T. Wang; Tong Wu; Dawn Song; Prateek Mittal; Ruoxi Jia,2024,https://proceedings.neurips.cc/paper_files/paper/2024/hash/ed165f2ff227cf36c7e3ef88957dadd9-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/ed165f2ff227cf36c7e3ef88957dadd9-Paper-Conference.pdf,sources/anchor_supplement_v2/AX6987DB4646B2490F.pdf,EE7336CAE82A2390065097122B29E8148F58F84E9CBF40A7E518ACC067508952,discovery/anchor_text_v2/AX6987DB4646B2490F.txt,B3463FD743884AB0F3157E14C17E7CECF43C7627914CAD2A8A247AA37A5B4A0C,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN
AX5D5392D5D7F1038E,AX5D5392D5D7F1038E,A018,DIRECTION_INFLUENCE,RQ3;RQ5,RQ3;RQ5,MANDATORY_ANCHOR,Data curation via joint example selection further accelerates multimodal learning,Talfan Evans; Nikhil Parthasarathy; Hamza Merzic; Olivier J. Henaff,2024,https://proceedings.neurips.cc/paper_files/paper/2024/hash/ff8d608f6dcebec401df78ca76617e95-Abstract-Datasets_and_Benchmarks_Track.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/ff8d608f6dcebec401df78ca76617e95-Paper-Datasets_and_Benchmarks_Track.pdf,sources/anchor_supplement_v2/AX5D5392D5D7F1038E.pdf,8454D8C0109249B7F32FBA9AC349699C342FE16A779BC9CEAEDC607425C79361,discovery/anchor_text_v2/AX5D5392D5D7F1038E.txt,F7BAC103AF15D861B501B42EEAE8358CCD0A2E2B86E850D12928508A6B17BE24,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN
AX6B828EA30AEEF829,AX6B828EA30AEEF829,A020,LABEL_RELIABILITY,RQ4,RQ4,MANDATORY_ANCHOR,DivideMix: Learning with Noisy Labels as Semi-Supervised Learning,Junnan Li; Richard Socher; Steven C. H. Hoi,2020,https://openreview.net/forum?id=HJgExaVtwr,https://openreview.net/pdf?id=HJgExaVtwr,sources/anchor_supplement_v2/AX6B828EA30AEEF829.pdf,1FF51BF883305E7601E5D7126077F6FFC35247D9D1367F57CF93D312807161AA,discovery/anchor_text_v2/AX6B828EA30AEEF829.txt,5329D60B9B5B5840A5D1C5186036A88B7C97326767EAFBFC6AAB063320CDD8AF,EXTERNAL_PRIMARY_IDENTITY_VERIFIED_PENDING_SCREEN
