query_id,database,exact_query,searched_at,result_start,result_end,raw_result_count,snapshot_path,snapshot_sha256,snapshot_bytes
OA001,OpenAlex,example forgetting training dynamics sample selection,2026-08-09T22:44:26.326549+08:00,1,100,37568,discovery/raw/openalex_v1/OA001.json,0A3527EDAE702E1E0A5BB4D741FA4226B9165679A5DD507C4B029B53C9A774FA,2962329
OA002,OpenAlex,dataset cartography training dynamics difficult examples,2026-08-09T22:44:29.327160+08:00,1,100,4489,discovery/raw/openalex_v1/OA002.json,8750CA237975B76C453A6C66CADFEEBC406AEC9849692AA47EB3BDDAAD010A9A,3180086
OA003,OpenAlex,sample learnability slow learning hard to learn training data,2026-08-09T22:44:32.775530+08:00,1,100,163266,discovery/raw/openalex_v1/OA003.json,8F7353D4AD69578D6B75038DC1399ECC113D7F0C4C83D7FC32A312CBEC017D7D,2647955
OA004,OpenAlex,learning dynamics curriculum sample difficulty deep learning,2026-08-09T22:44:36.026812+08:00,1,100,69261,discovery/raw/openalex_v1/OA004.json,9AC48FDEA536A6403BA1D6EBFE7ACF0D711BDE9F4CBF5A22B224ADCCFCBDC3E8,2370595
OA005,OpenAlex,prediction confidence variability training trajectories data quality,2026-08-09T22:44:39.365368+08:00,1,100,34354,discovery/raw/openalex_v1/OA005.json,88B76B916F7A47B10D91CA3F22D24A3B2BA99BB1D65D6B07B919EB20BFD8E792,4249992
OA006,OpenAlex,reducible loss irreducible loss holdout model data selection,2026-08-09T22:44:42.101545+08:00,1,100,164,discovery/raw/openalex_v1/OA006.json,D38C2E438C38B39993E7D2FCCD78D4C98693683F752FCF1ABBFCDBBAF977AB10,1936026
OA007,OpenAlex,learnable worth learning not yet learnt sample selection,2026-08-09T22:44:45.309421+08:00,1,100,9923,discovery/raw/openalex_v1/OA007.json,5BC8BA75F382CEA3EA51D89A0C14C698DF2544DDDBCE33DF17958E5019D20440,2741900
OA008,OpenAlex,reducible loss online batch selection deep learning,2026-08-09T22:44:47.529193+08:00,1,100,109734,discovery/raw/openalex_v1/OA008.json,D3FB07C9414803E9FA8555AC25C1AC9E2FD904690C7F9DC561CC27D4DF9C62BA,3331449
OA009,OpenAlex,data diet EL2N GraNd sample importance training,2026-08-09T22:44:50.098139+08:00,1,74,74,discovery/raw/openalex_v1/OA009.json,6125B42CC2B27E8F58CA79755C3EBA45C255922F9E965146BE1EE225C6AF5B28,1121852
OA010,OpenAlex,importance sampling online batch selection neural network training,2026-08-09T22:44:53.188002+08:00,1,100,70367,discovery/raw/openalex_v1/OA010.json,26D0B249B044CD52213E012D8C67B64D0CB3E2D02C5C380FB7AE04F9AA768F5A,2651018
OA011,OpenAlex,validation gradient alignment sample reweighting training data,2026-08-09T22:44:56.233849+08:00,1,100,5745,discovery/raw/openalex_v1/OA011.json,872618321485915941191B629E475DEA895843BA08679A1DB34055B95D7621E3,2408511
OA012,OpenAlex,gradient matching data subset selection deep learning,2026-08-09T22:44:59.537929+08:00,1,100,55505,discovery/raw/openalex_v1/OA012.json,85AFBEAF92CA8E2D654C7827CB8C467974D9300E6AC659638777FD4B651B21F4,3069909
OA013,OpenAlex,training data influence target validation loss sample selection,2026-08-09T22:45:03.678236+08:00,1,100,296929,discovery/raw/openalex_v1/OA013.json,CBF64DB651443BABA5998476A1B8847884277E7DC2C2818D97A1A07AFB8A1D92,4050410
OA014,OpenAlex,training data attribution sample utility gradient influence,2026-08-09T22:45:07.272505+08:00,1,100,14187,discovery/raw/openalex_v1/OA014.json,9F34B5E5CB0ED89301789A35762903C37DEDCC5B673489DCA9B18DE13DE2F50F,3136527
